# Top 50 Chart Patterns - Composite Scoring (1-Month Optimized)
# Market: NYSE_Yahoo | End Date: 2026-02-04
# Format: Rank,Symbol,Date,Pattern,Price,Composite,Tier,Pattern,Momentum,Volatility,Volume,Risk
#
1,WAL,2026-02-03,CupHandle,91.35,72.5,3,80.6,81.8,9.9,56.9,0.0
2,CNM,2026-01-26,CupHandle,57.14,68.6,3,75.6,85.9,13.0,55.8,0.0
3,KVUE,2026-02-04,CupHandle,18.01,67.9,3,76.9,65.5,36.5,47.0,0.0
4,CHCT,2026-02-03,CupHandle,17.55,67.0,3,68.9,89.1,43.2,53.1,0.0
5,RAL,2026-02-04,CupHandle,56.28,66.6,3,67.4,84.1,50.0,81.5,0.0
6,VATE,2026-02-04,CupHandle,5.95,66.4,3,70.4,70.0,72.9,57.6,16.4
7,ALG,2026-02-04,CupHandle,203.23,65.6,3,66.6,86.9,50.0,64.8,0.0
8,TPB,2026-02-04,CupHandle,127.13,65.6,3,72.3,71.0,42.2,54.0,0.0
9,FFWM,2026-01-22,CupHandle,6.39,64.8,4,75.9,70.9,7.3,76.7,0.0
10,ECVT,2026-01-29,CupHandle,10.82,63.2,4,73.5,67.4,24.0,61.1,0.0
11,AVNT,2026-01-15,CupHandle,36.00,63.0,4,73.7,79.1,1.0,65.2,0.0
12,MLP,2026-02-04,CupHandle,17.31,62.8,4,67.2,59.0,91.7,54.5,17.2
13,CEE,2026-02-02,CupHandle,18.98,62.1,4,74.7,68.3,20.3,56.8,14.6
14,SOBO,2026-01-29,Spoon,28.63,61.9,4,72.2,58.1,46.9,38.3,0.0
15,GXO,2026-01-28,CupHandle,57.56,61.9,4,74.9,57.6,20.3,70.0,0.0
16,CMP,2026-01-23,CupHandle,25.57,61.8,4,76.1,43.9,40.1,52.6,0.0
17,CTOS,2026-02-03,CupHandle,6.55,61.4,4,70.5,65.4,34.4,66.5,0.0
18,CNH,2026-02-04,CupHandle,11.96,61.3,4,73.3,71.2,13.0,47.3,1.6
19,GFF,2026-02-04,CupHandle,84.73,61.2,4,72.9,60.8,24.5,68.8,0.0
20,NPK,2026-02-02,CupHandle,131.95,60.8,4,75.5,50.0,29.7,58.2,4.6
21,THO,2026-02-03,CupHandle,118.23,60.6,4,70.1,65.8,35.4,54.0,0.0
22,INR,2026-01-26,CupHandle,15.41,60.6,4,68.1,73.9,35.4,52.5,0.0
23,MATV,2026-02-04,CupHandle,13.79,60.2,4,75.1,50.0,26.0,54.9,0.0
24,JBTM,2026-02-02,CupHandle,163.35,59.9,4,65.3,83.7,33.9,52.3,0.0
25,WTTR,2026-01-29,CupHandle,12.06,59.9,4,76.3,50.0,15.1,59.2,0.0
26,LII,2026-01-16,CupHandle,525.87,59.8,4,70.6,76.1,13.5,57.7,6.0
27,AMTB,2026-01-23,CupHandle,21.26,59.4,4,72.4,69.9,1.6,70.6,0.0
28,CYD,2026-01-21,CupHandle,44.17,59.3,4,78.4,50.0,1.0,50.1,0.0
29,SW,2026-01-23,CupHandle,43.80,58.7,4,70.3,78.9,0.5,57.5,0.0
30,Sw,2026-01-23,CupHandle,43.80,58.7,4,70.3,78.9,0.5,57.5,0.0
31,WHR,2026-02-04,CupHandle,87.69,58.7,4,76.0,50.0,3.6,84.7,1.6
32,LOB,2026-01-21,CupHandle,39.00,58.6,4,67.6,89.3,1.0,54.9,0.0
33,HZO,2026-02-02,CupHandle,30.00,58.5,4,75.0,50.0,3.6,100.0,0.0
34,SWK,2026-02-04,CupHandle,84.63,58.3,4,71.9,65.9,3.1,77.7,0.0
35,AROC,2026-01-30,CupHandle,29.59,58.2,4,68.7,70.0,21.9,60.8,0.1
36,CINT,2026-02-03,CupHandle,5.04,57.8,4,71.1,68.4,2.6,75.7,1.0
37,GEV,2026-01-27,CupHandle,692.70,57.8,4,64.4,74.3,45.3,57.3,6.0
38,CVEO,2026-02-04,CupHandle,26.22,57.6,4,64.2,85.7,32.3,54.7,12.4
39,DVN,2026-01-29,CupHandle,39.94,57.4,4,67.0,83.7,2.6,77.2,2.5
40,AX,2026-01-29,CupHandle,94.64,57.4,4,71.7,62.1,4.2,82.4,0.0
41,DXYZ,2026-01-28,CupHandle,35.42,57.1,4,74.8,42.3,19.8,68.8,2.0
42,MTRN,2026-01-15,CupHandle,149.19,57.0,4,68.7,71.5,14.6,57.4,2.0
43,BOC,2026-02-02,CupHandle,12.78,57.0,4,56.4,70.7,93.2,62.7,0.0
44,CE,2026-02-04,CupHandle,52.81,57.0,4,76.2,50.0,0.5,53.5,0.0
45,DECK,2026-01-30,CupHandle,119.34,56.7,4,71.6,63.8,0.5,83.0,4.2
46,AVNS,2026-01-15,CupHandle,12.34,56.6,4,69.7,66.4,14.1,51.7,0.0
47,KRO,2026-02-04,CupHandle,6.17,56.5,4,66.5,75.0,19.3,54.4,0.0
48,HUM,2026-01-20,CupHandle,268.00,56.4,4,71.0,59.8,17.7,61.1,7.0
49,DAR,2026-01-15,CupHandle,40.43,56.4,4,70.7,70.8,0.5,53.5,2.3
50,GAP,2026-01-22,CupHandle,27.21,56.2,4,61.6,81.6,42.2,44.2,0.0
