# Top 20 Chart Patterns - Last 20 Days
# Market: AMEX_Yahoo | End Date: 2026-03-13
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,INTT,2026-02-27,DarvasBox,11.65,5.59x,68.0,Box:[9.35-10.88] Ht:14.1% Vol:5.59x Boxes:2 Stop:9.35
2,JOB,2026-03-10,CupHandle,0.23,139.99x,80.0,Depth:19.0% Handle:2.5% Vol:139.99x Target:0.27
3,OPTT,2026-03-10,CupHandle,0.49,10.48x,80.0,Depth:31.0% Handle:0.0% Vol:10.48x Target:0.62
4,AXIL,2026-03-02,CupHandle,7.10,2.47x,44.7,Depth:27.3% Handle:0.0% Vol:2.47x Target:8.71
5,XPL,2026-02-26,CupHandle,0.79,1.35x,33.5,Depth:26.0% Handle:5.3% Vol:1.35x Target:0.98
6,CMCL,2026-03-03,CupHandle,29.79,1.52x,40.2,Depth:24.8% Handle:12.5% Vol:1.52x Target:37.37
7,BDL,2026-03-12,CupHandle,34.42,2.18x,51.8,Depth:18.2% Handle:0.0% Vol:2.18x Target:40.57
8,XPL,2026-03-02,CupHandle,0.79,2.38x,43.8,Depth:27.0% Handle:5.0% Vol:2.38x Target:0.99
9,BKTI,2026-03-02,CupHandle,86.62,1.36x,33.6,Depth:28.1% Handle:7.4% Vol:1.36x Target:110.04
10,ACU,2026-02-24,Spoon,44.98,0.78x,22.8,Depth:19.7% Roundness:0.00 Vol:0.78x Days:102
11,XPL,2026-03-04,CupHandle,0.79,1.97x,44.7,Depth:28.0% Handle:14.3% Vol:1.97x Target:1.00
12,CIX,2026-03-05,CupHandle,24.24,2.17x,46.7,Depth:18.5% Handle:0.0% Vol:2.17x Target:28.85
13,NML,2026-02-27,DarvasBox,10.22,1.77x,35.7,Box:[9.62-9.94] Ht:3.2% Vol:1.77x Boxes:7 Stop:9.62
14,UUU,2026-03-10,CupHandle,5.59,3.82x,68.2,Depth:29.2% Handle:10.7% Vol:3.82x Target:7.09
15,BDL,2026-02-25,CupHandle,33.70,7.20x,70.0,Depth:21.7% Handle:0.0% Vol:7.20x Target:40.99
16,HYLN,2026-02-26,CupHandle,2.15,1.97x,39.7,Depth:25.7% Handle:14.8% Vol:1.97x Target:2.69
17,EPM,2026-03-02,CupHandle,4.56,1.82x,38.2,Depth:27.8% Handle:14.7% Vol:1.82x Target:5.79
18,EPM,2026-03-09,CupHandle,4.64,2.12x,51.2,Depth:29.0% Handle:13.1% Vol:2.12x Target:5.94
19,AXIL,2026-02-26,CupHandle,7.00,1.85x,38.5,Depth:28.5% Handle:0.0% Vol:1.85x Target:8.71
20,VNTG,2026-03-02,CupHandle,0.95,8.25x,70.0,Depth:20.5% Handle:11.1% Vol:8.25x Target:1.13
