# Top 20 Chart Patterns - Last 20 Days
# Market: AMEX_Yahoo | End Date: 2026-04-07
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,MPTI,2026-03-26,DarvasBox,72.15,5.16x,68.0,Box:[61.42-68.50] Ht:10.3% Vol:5.16x Boxes:4 Stop:61.42
2,BHM,2026-03-19,CupHandle,10.75,1.63x,36.3,Depth:30.6% Handle:10.6% Vol:1.63x Target:14.26
3,NML,2026-03-27,DarvasBox,10.58,1.56x,33.6,Box:[9.93-10.44] Ht:4.9% Vol:1.56x Boxes:8 Stop:9.93
4,EGG,2026-03-24,CupHandle,5.70,1.81x,38.1,Depth:30.1% Handle:14.6% Vol:1.81x Target:7.21
5,DMYY,2026-03-19,Spoon,13.50,0.56x,20.6,Depth:11.5% Roundness:1.00 Vol:0.56x Days:176
6,UUU,2026-04-07,CupHandle,6.05,2.21x,52.1,Depth:28.9% Handle:10.2% Vol:2.21x Target:7.52
7,PTN,2026-03-20,CupHandle,21.45,1.77x,37.7,Depth:34.1% Handle:8.4% Vol:1.77x Target:28.61
8,DIT,2026-03-18,CupHandle,118.50,4.51x,65.1,Depth:12.3% Handle:0.0% Vol:4.51x Target:132.81
9,ARMN,2026-04-07,POS,N/A,1.00x,30.0,Peak=MA21
10,ARMN,2026-04-06,POS,N/A,1.00x,30.0,Peak=MA21
11,ARMN,2026-04-02,POS,N/A,1.00x,30.0,Peak=MA21
12,ARMN,2026-04-01,POS,N/A,1.00x,25.0,Peak=MA21
13,ARMN,2026-03-31,POS,N/A,1.00x,25.0,Peak=MA21
14,ARMN,2026-03-24,POS,N/A,1.00x,20.0,Peak=MA21
15,ARMN,2026-03-23,POS,N/A,1.00x,20.0,Peak=MA21
16,ARMN,2026-03-20,POS,N/A,1.00x,20.0,Peak=MA21
17,ARMN,2026-03-19,POS,N/A,1.00x,20.0,Peak=MA21
18,ARMN,2026-03-18,POS,N/A,1.00x,20.0,Peak=MA21
19,AULTPD,2026-03-25,CupHandle,21.53,1.68x,36.8,Depth:18.4% Handle:14.1% Vol:1.68x Target:25.58
20,SPY,2026-04-07,POS,N/A,1.00x,30.0,Peak=MA21
