# Top 20 Chart Patterns - Last 20 Days
# Market: NASDAQ_Yahoo | End Date: 2026-08-13
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,AMZN,2026-07-31,CupHandle,271.58,2.27x,42.7,Depth:21.7% Handle:7.2% Vol:2.27x Target:325.95
2,GOOGL,2026-07-31,CupHandle,356.13,1.44x,34.4,Depth:22.1% Handle:13.7% Vol:1.44x Target:433.31
3,GOOGL,2026-08-03,CupHandle,373.51,1.32x,38.2,Depth:16.1% Handle:4.6% Vol:1.32x Target:425.89
4,CRWD,2026-08-13,POS,N/A,1.00x,30.0,Peak=MA21
5,CRWD,2026-08-12,POS,N/A,1.00x,30.0,Peak=MA21
6,CRWD,2026-08-11,POS,N/A,1.00x,30.0,Peak=MA21
7,CRWD,2026-08-10,POS,N/A,1.00x,30.0,Peak=MA21
8,CRWD,2026-08-07,POS,N/A,1.00x,25.0,Peak=MA21
9,CRWD,2026-08-06,POS,N/A,1.00x,25.0,Peak=MA21
10,CRWD,2026-08-05,POS,N/A,1.00x,25.0,Peak=MA21
11,CRWD,2026-08-04,POS,N/A,1.00x,25.0,Peak=MA21
12,CRWD,2026-08-03,POS,N/A,1.00x,25.0,Peak=MA21
13,CRWD,2026-07-31,POS,N/A,1.00x,20.0,Peak=MA21
14,CRWD,2026-07-28,POS,N/A,1.00x,20.0,Peak=MA21
15,CRWD,2026-07-27,POS,N/A,1.00x,20.0,Peak=MA21
16,CRWD,2026-07-24,POS,N/A,1.00x,20.0,Peak=MA21
17,NVDA,2026-08-13,POS,N/A,1.00x,30.0,Peak=MA21
18,NVDA,2026-08-12,POS,N/A,1.00x,30.0,Peak=MA21
19,NVDA,2026-08-11,POS,N/A,1.00x,30.0,Peak=MA21
20,NVDA,2026-08-10,POS,N/A,1.00x,30.0,Peak=MA21
