# Top 50 Chart Patterns - Composite Scoring (1-Month Optimized)
# Market: AMEX_Yahoo | End Date: 2026-04-14
# Format: Rank,Symbol,Date,Pattern,Price,Composite,Tier,Pattern,Momentum,Volatility,Volume,Risk
#
1,MPTI,2026-03-26,DarvasBox,72.15,75.7,1,98.0,65.0,100.0,31.8,22.9
2,AAP,2026-04-10,CupHandle,54.59,72.1,1,64.2,65.0,100.0,53.5,11.4
3,AAp,2026-04-10,CupHandle,54.59,72.1,1,64.2,65.0,100.0,53.5,11.4
4,LGCY,2026-04-09,CupHandle,13.70,69.9,1,100.0,65.0,100.0,68.7,20.3
5,OZ,2026-04-02,Spoon,56.00,68.1,1,100.0,65.0,100.0,72.6,33.6
6,INFU,2026-04-14,CupHandle,9.99,64.3,1,68.5,65.0,100.0,41.9,12.8
7,CVR,2026-04-09,CupHandle,10.26,63.8,1,57.7,68.0,100.0,53.3,26.6
8,NML,2026-03-27,DarvasBox,10.58,63.8,1,79.7,65.0,100.0,34.3,22.9
9,AXIL,2026-04-08,CupHandle,7.14,55.8,1,51.8,65.0,100.0,38.5,23.7
10,BDL,2026-04-08,CupHandle,32.00,52.9,2,64.8,70.1,100.0,78.1,37.0
11,AULTpD,2026-04-09,CupHandle,22.00,52.0,2,63.4,56.6,100.0,100.0,26.2
12,SIM,2026-04-08,CupHandle,34.35,49.5,2,65.2,72.5,20.8,100.0,22.1
13,CKX,2026-04-13,CupHandle,10.72,48.4,2,58.1,69.9,100.0,100.0,37.3
14,UUU,2026-04-07,CupHandle,6.05,48.3,2,59.9,65.0,100.0,41.2,20.3
15,ORLA,2026-04-14,CupHandle,17.79,46.2,2,55.6,65.0,100.0,47.8,12.9
16,CIX,2026-04-09,CupHandle,23.27,45.2,2,52.0,65.0,100.0,51.9,25.3
17,AULTPD,2026-04-09,CupHandle,22.00,31.2,4,56.4,30.9,17.7,100.0,26.2
