# Top 50 Chart Patterns - Composite Scoring (1-Month Optimized)
# Market: NYSE_Yahoo | End Date: 2026-04-09
# Format: Rank,Symbol,Date,Pattern,Price,Composite,Tier,Pattern,Momentum,Volatility,Volume,Risk
#
1,DELL,2026-03-20,CupHandle,157.67,93.5,1,100.0,65.0,100.0,28.1,14.3
2,NIO,2026-04-09,CupHandle,6.07,83.0,1,74.1,65.0,100.0,50.8,11.4
3,WSR,2026-04-09,DarvasBox,18.93,82.7,1,88.5,68.0,35.4,100.0,6.4
4,ETR,2026-03-27,DarvasBox,109.88,80.0,1,84.0,64.4,28.6,41.8,0.1
5,AAMI,2026-04-08,DarvasBox,59.43,79.3,1,78.7,68.0,67.7,60.7,2.4
6,TWN,2026-04-09,DarvasBox,72.06,79.3,1,83.1,68.0,33.3,88.6,10.1
7,MCB,2026-04-09,CupHandle,90.06,77.7,1,68.0,68.0,98.4,62.6,0.0
8,QUAD,2026-04-07,CupHandle,7.05,77.4,1,74.4,60.6,79.7,54.3,0.7
9,BWXT,2026-04-08,DarvasBox,231.78,76.9,1,76.3,68.0,59.4,46.8,0.0
10,CTOS,2026-04-09,CupHandle,7.28,76.6,1,71.3,74.6,77.1,51.9,0.7
11,CHH,2026-03-26,CupHandle,101.54,76.4,1,69.9,68.0,97.4,48.4,5.7
12,GRMN,2026-04-08,Spoon,252.79,76.2,1,71.9,68.0,76.6,56.4,0.0
13,TG,2026-04-07,CupHandle,8.38,75.9,1,68.4,74.1,80.2,60.0,0.0
14,NOK,2026-04-08,DarvasBox,9.44,75.4,1,77.1,74.6,34.9,66.9,0.0
15,CMS,2026-04-09,DarvasBox,79.94,73.6,1,72.6,72.8,55.2,47.6,0.0
16,STZ,2026-04-09,CupHandle,163.07,73.5,1,70.4,68.0,62.0,75.3,0.1
17,TFIN,2026-04-08,CupHandle,62.31,73.0,1,60.6,74.1,97.9,56.5,0.7
18,COSO,2026-04-09,CupHandle,25.94,72.9,1,68.3,74.8,50.0,53.0,0.0
19,MXL,2026-04-08,CupHandle,19.14,72.4,1,70.1,68.0,89.1,51.6,0.8
20,DXYZ,2026-03-25,CupHandle,30.58,72.2,1,66.2,65.0,100.0,28.1,15.7
21,SMHI,2026-04-08,CupHandle,7.84,71.8,1,66.6,68.1,69.8,52.9,0.7
22,CTS,2026-04-09,CupHandle,53.39,71.7,1,71.6,68.0,58.9,60.2,1.5
23,CUBI,2026-04-09,CupHandle,74.95,71.7,1,60.5,74.2,100.0,47.9,0.0
24,MAC,2026-04-08,CupHandle,20.68,71.4,1,62.6,68.0,100.0,58.3,11.4
25,UGP,2026-03-31,DarvasBox,5.51,71.3,1,73.8,72.2,43.8,56.5,1.8
26,ARW,2026-04-08,CupHandle,154.98,71.1,1,66.9,68.0,78.1,66.2,0.0
27,DLR,2026-04-09,CupHandle,188.15,71.1,1,62.6,68.0,95.3,57.3,0.0
28,SO,2026-03-20,CupHandle,93.39,70.6,1,100.0,68.0,100.0,39.9,11.4
29,PEB,2026-03-31,CupHandle,12.63,69.4,1,62.4,73.7,90.1,59.5,0.0
30,UNFI,2026-03-26,CupHandle,45.12,69.4,1,71.4,68.6,47.4,36.9,0.0
31,AMTB,2026-04-09,CupHandle,24.22,69.3,1,64.3,69.9,86.5,48.3,0.0
32,ECVT,2026-03-24,DarvasBox,12.51,68.9,1,73.5,74.7,26.0,47.2,0.0
33,MTB,2026-04-07,CupHandle,212.11,68.8,1,60.0,68.0,97.9,42.0,0.0
34,LION,2026-04-08,CupHandle,10.45,68.5,1,63.6,71.1,91.7,69.1,0.4
35,CFR,2026-04-09,CupHandle,144.96,68.4,1,58.2,68.9,97.4,53.4,0.0
36,KOF,2026-04-08,CupHandle,104.25,68.3,1,60.5,68.0,88.5,45.7,0.0
37,WT,2026-04-01,CupHandle,14.47,68.3,1,64.9,71.9,63.5,40.3,0.7
38,BLX,2026-03-31,CupHandle,51.08,68.0,1,66.7,73.6,56.2,42.7,0.0
39,CMP,2026-03-31,CupHandle,23.35,68.0,1,63.4,68.9,81.8,36.3,0.7
40,TFX,2026-04-09,CupHandle,120.27,67.7,1,62.9,61.1,84.9,43.9,5.7
41,FN,2026-03-24,CupHandle,600.91,67.4,1,69.4,68.0,65.6,51.2,1.4
42,EIG,2026-04-06,CupHandle,42.10,67.1,1,59.1,56.9,98.4,51.6,11.4
43,IFF,2026-04-08,CupHandle,73.77,67.0,1,67.9,68.4,56.2,45.2,14.3
44,STNG,2026-04-07,CupHandle,74.36,66.8,1,73.2,38.7,47.4,61.4,11.4
45,SNDR,2026-03-24,CupHandle,25.27,66.0,1,61.3,56.9,100.0,50.4,0.2
46,WHD,2026-04-09,CupHandle,53.95,65.6,1,58.9,68.0,99.0,58.2,1.0
47,FLG,2026-03-24,CupHandle,13.14,65.3,1,58.2,70.9,93.2,44.2,0.0
48,AUB,2026-03-31,CupHandle,35.74,63.7,1,54.9,69.9,96.4,42.3,0.0
49,TRN,2026-04-07,CupHandle,32.13,63.6,1,62.8,68.0,71.4,47.1,4.0
50,CWAN,2026-04-08,CupHandle,24.02,63.2,1,63.7,51.2,70.8,56.3,0.0
