# Top 50 Chart Patterns - Composite Scoring (1-Month Optimized)
# Market: Nasdaq_yahoo | End Date: 2026-02-05
# Format: Rank,Symbol,Date,Pattern,Price,Composite,Tier,Pattern,Momentum,Volatility,Volume,Risk
#
1,DVXB,2026-02-03,CupHandle,28.80,77.5,2,83.5,69.5,50.0,88.0,20.0
2,GLIBA,2026-02-05,CupHandle,38.98,73.0,3,74.9,87.2,50.0,66.3,13.1
3,JOUT,2026-02-02,CupHandle,47.36,72.5,3,70.0,83.2,82.8,62.8,8.8
4,FRST,2026-01-21,CupHandle,14.02,72.5,3,77.7,80.5,30.2,72.5,4.5
5,INVA,2026-02-03,CupHandle,21.00,71.0,3,71.1,69.4,80.7,68.4,0.8
6,ZEUS,2026-01-20,CupHandle,49.17,70.8,3,81.6,71.4,10.9,56.9,0.4
7,GLIBK,2026-02-05,CupHandle,38.80,69.2,3,75.2,65.7,50.0,63.7,0.0
8,SNEX,2026-02-04,CupHandle,117.37,67.7,3,76.0,73.6,16.1,87.1,0.0
9,FGBIP,2026-02-02,CupHandle,17.14,65.6,3,75.0,68.4,48.4,41.8,20.3
10,OVLY,2026-01-21,CupHandle,31.79,65.3,3,73.5,76.7,31.2,70.9,17.0
11,HOFT,2026-01-26,CupHandle,13.03,65.1,3,80.7,50.0,24.0,78.6,15.5
12,APEI,2026-02-05,CupHandle,44.28,64.8,4,78.3,50.0,29.7,63.1,0.0
13,FSEA,2026-01-27,CupHandle,13.00,64.7,4,64.9,73.7,82.3,100.0,19.4
14,SHLS,2026-02-04,CupHandle,10.18,64.4,4,71.6,70.3,41.7,50.9,0.0
15,OFLX,2026-02-02,CupHandle,35.53,64.4,4,77.7,59.1,24.0,68.6,11.6
16,ON,2026-01-30,CupHandle,59.89,64.4,4,71.8,88.4,6.2,64.5,0.0
17,DAKT,2026-02-02,CupHandle,23.56,64.3,4,76.0,46.2,42.7,81.7,0.0
18,BUUU,2026-01-30,CupHandle,11.49,64.0,4,78.7,32.8,50.0,100.0,13.1
19,LNSR,2026-01-30,CupHandle,12.73,62.7,4,76.4,30.5,67.2,78.3,12.6
20,IPAR,2026-02-05,CupHandle,100.96,62.6,4,73.5,77.6,6.8,49.6,0.0
21,CIZN,2026-02-05,CupHandle,8.81,62.4,4,71.0,68.4,43.2,100.0,27.1
22,EZPW,2026-01-22,CupHandle,21.79,61.5,4,66.9,78.5,33.9,80.3,1.0
23,MCHPP,2026-01-20,CupHandle,65.27,61.2,4,76.8,41.5,50.0,4.5,0.0
24,FSUN,2026-01-30,CupHandle,39.48,61.1,4,72.8,73.4,0.5,81.2,0.0
25,PLTZ,2026-02-03,CupHandle,29.69,60.8,4,68.3,60.0,50.0,100.0,7.8
26,UNB,2026-01-30,CupHandle,24.89,60.7,4,68.9,62.7,62.5,53.0,17.9
27,WEST,2026-02-04,CupHandle,5.06,60.7,4,74.3,42.7,43.8,62.9,0.0
28,DXPE,2026-01-30,CupHandle,130.05,60.6,4,72.1,56.8,35.9,57.3,0.0
29,MCHP,2026-01-20,CupHandle,73.17,60.4,4,74.9,65.1,3.1,60.2,1.0
30,AVBH,2026-01-30,CupHandle,29.10,60.4,4,66.0,66.6,58.9,82.1,10.1
31,SWBI,2026-01-26,CupHandle,11.19,60.4,4,72.1,68.0,19.3,48.4,0.0
32,GDEN,2026-02-04,CupHandle,27.67,60.3,4,66.3,73.9,44.3,57.5,0.0
33,FFWM,2026-01-22,CupHandle,6.39,60.1,4,75.9,59.8,2.6,60.0,0.0
34,WULF,2026-01-23,CupHandle,14.12,60.0,4,69.6,45.5,64.1,74.8,2.0
35,AMAL,2026-01-22,CupHandle,38.28,60.0,4,75.4,64.2,2.1,46.6,0.0
36,VEON,2026-01-22,CupHandle,55.28,60.0,4,78.5,15.1,66.1,44.5,4.1
37,ARCB,2026-01-29,CupHandle,85.31,59.8,4,78.2,50.0,1.0,79.4,6.6
38,CNTA,2026-01-21,CupHandle,23.23,59.6,4,77.5,22.2,54.2,49.5,0.0
39,WAFD,2026-02-05,CupHandle,33.59,59.5,4,73.6,64.8,7.3,55.1,0.0
40,HWAY,2026-02-04,CupHandle,34.80,59.1,4,67.2,80.3,42.7,32.8,20.7
41,ZION,2026-01-21,CupHandle,61.58,58.9,4,68.0,78.5,17.2,58.5,0.0
42,AEBI,2026-02-02,CupHandle,15.14,58.9,4,70.1,48.7,50.0,66.4,0.0
43,TECX,2026-02-05,CupHandle,22.86,58.9,4,64.5,87.1,19.3,79.3,0.0
44,NTHI,2026-01-30,CupHandle,9.27,58.7,4,66.7,61.5,50.0,78.9,5.4
45,WNEB,2026-01-28,CupHandle,13.17,58.5,4,69.0,71.1,22.4,71.6,8.6
46,WING,2026-02-04,CupHandle,282.86,58.3,4,70.3,69.2,14.1,57.2,0.0
47,MBCN,2026-01-22,CupHandle,35.99,58.1,4,69.9,57.6,30.2,100.0,11.8
48,AMTB,2026-01-23,CupHandle,21.26,58.0,4,72.4,64.7,3.1,68.1,0.0
49,QCRH,2026-01-28,CupHandle,89.49,58.0,4,68.4,69.0,25.5,63.6,3.7
50,RUSHA,2026-01-30,CupHandle,64.19,57.7,4,76.0,52.0,0.5,74.1,5.6
