List,Rank,Symbol,Exchange,Signal,Score,Confidence,IC10d,Price,Predicted,Return,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50,1,CHOW,,STRONG_BUY,57.4,MEDIUM (74%),0.399,10.97,12.68,+15.62%,,,,
Top 50,2,NML,,STRONG_BUY,51.9,MEDIUM (66%),0.237,8.51,10.73,+26.07%,,,,
Top 50,3,IMO,,STRONG_BUY,52.7,MEDIUM (64%),0.174,94.94,108.38,+14.15%,,,,
Top 50,4,EQX,,STRONG_BUY,52.5,MEDIUM (59%),0.079,12.78,13.15,+2.88%,,,,
Top 50,5,QFTA,,STRONG_BUY,44.1,MEDIUM (68%),0.306,10.26,11.08,+8.00%,,,,
Top 50,6,STRW,,STRONG_BUY,50.2,MEDIUM (59%),0.154,12.06,14.28,+18.38%,,,,
Top 50,7,DPSI,,STRONG_BUY,44.2,MEDIUM (67%),0.21,10.22,12.38,+21.09%,,,,
Top 50,8,ORLA,,STRONG_BUY,47.5,MEDIUM (60%),0.216,11.79,13.79,+16.98%,,,,
Top 50,9,VZLA,,STRONG_BUY,47.2,MEDIUM (60%),0.158,4.62,4.55,-1.58%,,,,
Top 50,10,BTTR,,STRONG_BUY,47.8,MEDIUM (59%),0.071,2.12,2.52,+18.82%,,,,
Top 50,11,MAG,,STRONG_BUY,50.5,MEDIUM (54%),0.114,24.47,29.05,+18.74%,,,,
Top 50,12,ITRG,,STRONG_BUY,45.3,MEDIUM (58%),0.057,3.29,3.27,-0.46%,,,,
Top 50,13,AMBO,,BUY,38.7,MEDIUM (65%),0.145,4.83,5.01,+3.78%,,,,
Top 50,14,CHEB,,STRONG_BUY,44.7,MEDIUM (52%),0.202,10.55,12.7,+20.35%,,,,
Top 50,15,COHN,,STRONG_BUY,38.2,MEDIUM (59%),0.14,16.57,15.89,-4.12%,,,,
Top 50,16,IAUX,,STRONG_BUY,39.7,MEDIUM (56%),0.161,1.09,1.09,-0.35%,,,,
Top 50,17,SILV,,STRONG_BUY,39.9,MEDIUM (54%),0.175,11.55,13.01,+12.64%,,,,
Top 50,18,SLSR,,BUY,35.0,MEDIUM (59%),0.155,7.42,6.86,-7.55%,,,,
Top 50,19,RIFR,,BUY,33.5,MEDIUM (57%),0.397,26.11,30.02,+14.98%,,,,
Top 50,20,SCCG,,STRONG_BUY,37.3,LOW (48%),0.068,23.48,27.82,+18.47%,,,,
Top 50,21,ENX,,STRONG_BUY,33.2,MEDIUM (54%),0.134,10.0,11.63,+16.31%,,,,
Top 50,22,NGD,,BUY,31.7,MEDIUM (55%),0.1,7.84,6.99,-10.82%,,,,
Top 50,23,AWX,,STRONG_BUY,34.5,LOW (49%),0.059,2.61,3.12,+19.48%,,,,
Top 50,24,GRAF,,BUY,29.7,MEDIUM (56%),0.197,10.7,12.01,+12.27%,,,,
Top 50,25,GLV,,BUY,29.0,MEDIUM (55%),0.18,6.09,6.75,+10.83%,,,,
Top 50,26,VCXB,,STRONG_BUY,32.7,LOW (46%),0.164,11.07,12.76,+15.23%,,,,
Top 50,27,IDR,,BUY,24.5,MEDIUM (60%),0.084,36.68,31.48,-14.17%,,,,
Top 50,28,BITE,,BUY,25.6,MEDIUM (56%),0.165,12.5,12.9,+3.21%,,,,
Top 50,29,TOPS,,BUY,24.7,MEDIUM (50%),0.104,5.85,6.65,+13.65%,,,,
Top 50,30,GLU,,BUY,20.2,LOW (45%),0.112,18.46,19.49,+5.57%,,,,
Top 50,31,LTSF,,BUY,17.0,MEDIUM (51%),0.267,22.54,23.09,+2.46%,,,,
Top 50,32,NG,,BUY,18.6,LOW (44%),0.064,9.61,8.07,-16.04%,,,,
Top 50,33,VGZ,,BUY,17.4,LOW (45%),0.053,1.87,1.52,-18.64%,,,,
Top 50,34,SATX,,BUY,13.9,LOW (45%),0.068,2.96,2.81,-4.98%,,,,
Top 50,35,GGN,,BUY,13.6,LOW (41%),0.087,4.77,4.86,+1.87%,,,,
