List,Rank,Symbol,Exchange,Signal,Score,Confidence,IC10d,Price,Predicted,Return,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %,ROE,P/E Ratio,Sector,Fund Quality
Top 50,1,ROL,,STRONG_BUY,66.2,HIGH (79%),0.145,61.48,75.88,+23.43%,,,,,,,,
Top 50,2,NIQ,,STRONG_BUY,65.7,MEDIUM (73%),0.133,15.02,20.56,+36.87%,,,,,,,,
Top 50,3,HXL,,STRONG_BUY,65.3,MEDIUM (72%),0.109,75.31,93.01,+23.50%,,,,,,,,
Top 50,4,SUN,,STRONG_BUY,64.5,MEDIUM (73%),0.169,54.31,71.28,+31.25%,,,,,,,,
Top 50,5,NUE,,STRONG_BUY,66.0,MEDIUM (70%),0.054,161.09,204.12,+26.71%,,,,,,,,
Top 50,6,PLNT,,STRONG_BUY,61.3,MEDIUM (71%),0.057,111.97,138.74,+23.91%,,,,,,,,
Top 50,7,YUM,,STRONG_BUY,60.2,MEDIUM (72%),0.09,153.8,191.35,+24.41%,,,,,,,,
Top 50,8,MUR,,STRONG_BUY,61.5,MEDIUM (69%),0.12,32.07,39.06,+21.80%,,,,,,,,
Top 50,9,CSW,,STRONG_BUY,59.5,MEDIUM (70%),0.175,277.21,338.74,+22.20%,,,,,,,,
Top 50,10,YUMC,,STRONG_BUY,62.1,MEDIUM (66%),0.092,48.28,60.99,+26.32%,,,,,,,,
Top 50,11,OWLT,,STRONG_BUY,60.0,MEDIUM (67%),0.134,12.96,12.56,-3.09%,,,,,,,,
Top 50,12,YETI,,STRONG_BUY,53.8,MEDIUM (75%),0.174,42.3,50.23,+18.75%,,,,,,,,
Top 50,13,MIXT,,STRONG_BUY,59.1,MEDIUM (68%),0.174,14.55,15.85,+8.95%,,,,,,,,
Top 50,14,CDAY,,STRONG_BUY,57.9,MEDIUM (69%),0.397,69.52,88.15,+26.80%,,,,,,,N/A,⚠️
Top 50,15,BKU,,STRONG_BUY,56.6,MEDIUM (70%),0.083,44.02,53.13,+20.69%,,,,,9.1%,13.6,Financial Services,⚠️
Top 50,16,UNF,,STRONG_BUY,55.5,MEDIUM (69%),0.15,177.15,219.5,+23.91%,,,,,,,,
Top 50,17,SITE,,STRONG_BUY,56.3,MEDIUM (68%),0.126,135.14,166.84,+23.46%,,,,,,,,
