List,Rank,Symbol,Exchange,Signal,Score,Confidence,IC10d,Price,Predicted,Return,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %,ROE,P/E Ratio,Sector,Fund Quality
Top 50,1,DNLI,,STRONG_BUY,69.7,MEDIUM (75%),0.052,19.13,23.08,+20.65%,,,,,,,,
Top 50,2,AKAM,,STRONG_BUY,65.2,HIGH (78%),0.183,87.71,110.1,+25.53%,,,,,10.6%,28.5,Technology,⚠️
Top 50,3,IRMD,,STRONG_BUY,67.2,MEDIUM (75%),0.104,93.22,100.3,+7.60%,,,,,,,,
Top 50,4,SKYX,,STRONG_BUY,64.2,HIGH (77%),0.092,2.05,2.24,+9.33%,,,,,,,,
Top 50,5,ELIL,,STRONG_BUY,61.4,MEDIUM (74%),0.094,31.01,31.07,+0.20%,,,,,,,,
Top 50,6,IDYA,,STRONG_BUY,63.9,MEDIUM (71%),0.065,34.31,40.85,+19.07%,,,,,,,,
Top 50,7,CPRX,,STRONG_BUY,61.9,MEDIUM (73%),0.157,23.41,29.42,+25.65%,,,,,,,,
Top 50,8,ERAS,,STRONG_BUY,62.3,MEDIUM (72%),0.126,3.13,3.24,+3.66%,,,,,,,,
Top 50,9,MIST,,STRONG_BUY,59.0,MEDIUM (75%),0.265,2.69,3.0,+11.59%,,,,,,,,
Top 50,10,OBIO,,STRONG_BUY,61.1,MEDIUM (69%),0.077,5.24,5.46,+4.28%,,,,,,,,
Top 50,11,ACNT,,STRONG_BUY,55.5,MEDIUM (73%),0.134,14.17,17.16,+21.08%,,,,,-3.4%,,Basic Materials,⚠️
Top 50,12,PHVS,,STRONG_BUY,53.5,MEDIUM (74%),0.164,27.72,32.68,+17.90%,,,,,,,,
Top 50,13,ECPG,,STRONG_BUY,58.7,MEDIUM (66%),0.092,51.13,60.82,+18.95%,,,,,,,,
Top 50,14,MRKR,,STRONG_BUY,57.2,MEDIUM (67%),0.052,1.19,1.39,+16.61%,,,,,,,,
Top 50,15,NMP,,STRONG_BUY,55.8,MEDIUM (69%),0.287,10.05,12.79,+27.23%,,,,,,,,
Top 50,16,URGN,,STRONG_BUY,52.7,MEDIUM (73%),0.139,28.81,28.52,-1.01%,,,,,,,,
Top 50,17,EGHAU,,STRONG_BUY,53.7,MEDIUM (71%),0.308,10.55,13.12,+24.33%,,,,,,,,
Top 50,18,RRBI,,STRONG_BUY,52.6,MEDIUM (71%),0.125,70.05,80.19,+14.47%,,,,,,,,
Top 50,19,TFSL,,STRONG_BUY,54.6,MEDIUM (69%),0.103,13.98,17.3,+23.78%,,,,,,,,
Top 50,20,LCUT,,STRONG_BUY,57.5,MEDIUM (65%),0.052,3.51,4.63,+31.99%,,,,,,,,
Top 50,21,ARRWU,,STRONG_BUY,54.0,MEDIUM (69%),0.414,17.0,17.86,+5.05%,,,,,,,N/A,⚠️
Top 50,22,CGON,,STRONG_BUY,52.8,MEDIUM (69%),0.218,44.84,48.16,+7.41%,,,,,-24.7%,,Healthcare,⚠️
Top 50,23,ASND,,STRONG_BUY,49.7,MEDIUM (74%),0.226,210.85,231.1,+9.61%,,,,,,,Healthcare,⚠️
