List,Rank,Symbol,Exchange,Signal,Score,Confidence,IC10d,Price,Predicted,Return,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50,1,LGN,,STRONG_BUY,72.6,HIGH (83%),0.563,45.76,54.45,+18.99%,,,,
Top 50,2,CCFE,,STRONG_BUY,62.5,MEDIUM (74%),0.063,27.06,34.13,+26.14%,,,,
Top 50,3,BKR,,STRONG_BUY,63.8,MEDIUM (71%),0.117,50.2,58.46,+16.46%,,,,
Top 50,4,AUMI,,STRONG_BUY,59.9,MEDIUM (73%),0.151,89.7,98.6,+9.93%,,,,
Top 50,5,APA,,STRONG_BUY,57.9,MEDIUM (72%),0.153,25.28,31.12,+23.11%,,,,
Top 50,6,ASND,,STRONG_BUY,53.1,HIGH (78%),0.226,210.85,234.53,+11.23%,,,,
Top 50,7,FANG,,STRONG_BUY,59.5,MEDIUM (69%),0.177,156.16,193.81,+24.11%,,,,
Top 50,8,EWJV,,STRONG_BUY,55.6,MEDIUM (74%),0.203,40.36,48.01,+18.97%,,,,
Top 50,9,IUSV,,STRONG_BUY,52.9,HIGH (77%),0.145,102.29,126.09,+23.27%,,,,
Top 50,10,GINX,,STRONG_BUY,54.3,MEDIUM (75%),0.234,30.52,36.61,+19.95%,,,,
Top 50,11,JFB,,STRONG_BUY,57.6,MEDIUM (70%),0.171,18.77,21.5,+14.55%,,,,
Top 50,12,CVCO,,STRONG_BUY,58.8,MEDIUM (69%),0.132,596.76,690.03,+15.63%,,,,
Top 50,13,ADPT,,STRONG_BUY,59.6,MEDIUM (68%),0.137,19.66,18.19,-7.49%,,,,
Top 50,14,FER,,STRONG_BUY,60.0,MEDIUM (65%),0.17,65.81,84.05,+27.72%,,,,
Top 50,15,DRUG,,STRONG_BUY,55.2,MEDIUM (70%),0.073,66.16,55.22,-16.53%,,,,
Top 50,16,DIVD,,STRONG_BUY,57.1,MEDIUM (68%),0.16,37.93,46.31,+22.09%,,,,
Top 50,17,OMAB,,STRONG_BUY,57.4,MEDIUM (67%),0.102,106.13,121.58,+14.56%,,,,
Top 50,18,EGHAU,,STRONG_BUY,53.7,MEDIUM (71%),0.308,10.55,13.12,+24.33%,,,,
Top 50,19,EXEEL,,STRONG_BUY,57.2,MEDIUM (66%),0.322,110.75,127.79,+15.39%,,,,
Top 50,20,NAII,,STRONG_BUY,55.4,MEDIUM (68%),0.076,3.55,4.16,+17.28%,,,,
Top 50,21,PROF,,STRONG_BUY,55.6,MEDIUM (67%),0.146,6.6,7.44,+12.77%,,,,
Top 50,22,CHRD,,STRONG_BUY,57.8,MEDIUM (65%),0.185,93.86,124.16,+32.28%,,,,
Top 50,23,LOCO,,STRONG_BUY,57.4,MEDIUM (65%),0.066,10.95,13.8,+26.07%,,,,
Top 50,24,ARRWU,,STRONG_BUY,54.0,MEDIUM (69%),0.414,17.0,17.86,+5.05%,,,,
Top 50,25,SLRC,,STRONG_BUY,55.5,MEDIUM (66%),0.093,15.88,19.91,+25.36%,,,,
Top 50,26,XENE,,STRONG_BUY,53.5,MEDIUM (69%),0.144,42.05,51.72,+23.00%,,,,
Top 50,27,LBRX,,STRONG_BUY,51.4,MEDIUM (71%),0.46,18.49,21.62,+16.91%,,,,
Top 50,28,VEON,,STRONG_BUY,55.5,MEDIUM (66%),0.09,53.38,63.77,+19.47%,,,,
Top 50,29,JXG,,STRONG_BUY,56.9,MEDIUM (63%),0.085,3.75,3.16,-15.69%,,,,
Top 50,30,MSGY,,STRONG_BUY,56.8,MEDIUM (63%),0.152,2.69,2.75,+2.24%,,,,
Top 50,31,DUOT,,STRONG_BUY,52.4,MEDIUM (69%),0.114,10.6,11.42,+7.70%,,,,
Top 50,32,YHNAU,,STRONG_BUY,55.6,MEDIUM (64%),0.197,10.62,13.27,+24.94%,,,,
Top 50,33,HYMC,,STRONG_BUY,53.0,MEDIUM (67%),0.096,11.7,10.74,-8.20%,,,,
Top 50,34,PACB,,STRONG_BUY,51.6,MEDIUM (68%),0.089,2.32,2.44,+5.02%,,,,
Top 50,35,NUVL,,STRONG_BUY,56.0,MEDIUM (63%),0.059,109.06,124.98,+14.60%,,,,
Top 50,36,OPPJ,,STRONG_BUY,51.4,MEDIUM (68%),0.081,44.43,55.0,+23.78%,,,,
Top 50,37,HSIC,,STRONG_BUY,51.7,MEDIUM (68%),0.089,75.5,92.05,+21.92%,,,,
Top 50,38,ORR,,STRONG_BUY,50.5,MEDIUM (69%),0.177,33.23,39.25,+18.10%,,,,
Top 50,39,RGCO,,STRONG_BUY,53.4,MEDIUM (65%),0.23,22.56,27.47,+21.74%,,,,
Top 50,40,MOOD,,STRONG_BUY,51.7,MEDIUM (67%),0.101,37.69,44.5,+18.07%,,,,
Top 50,41,IPKW,,STRONG_BUY,50.1,MEDIUM (69%),0.132,54.14,61.83,+14.21%,,,,
Top 50,42,CSB,,STRONG_BUY,55.1,MEDIUM (63%),0.131,59.18,72.72,+22.89%,,,,
Top 50,43,JIVE,,STRONG_BUY,49.7,MEDIUM (70%),0.197,79.18,96.71,+22.14%,,,,
Top 50,44,HNVR,,STRONG_BUY,53.1,MEDIUM (65%),0.072,22.75,28.48,+25.20%,,,,
Top 50,45,FISI,,STRONG_BUY,57.0,MEDIUM (60%),0.061,30.64,37.64,+22.85%,,,,
Top 50,46,OYSEU,,STRONG_BUY,54.9,MEDIUM (63%),0.262,10.25,12.96,+26.47%,,,,
Top 50,47,REPL,,STRONG_BUY,51.7,MEDIUM (66%),0.18,10.06,11.47,+14.00%,,,,
Top 50,48,NWFL,,STRONG_BUY,54.3,MEDIUM (63%),0.092,28.45,34.92,+22.75%,,,,
Top 50,49,INSM,,STRONG_BUY,51.8,MEDIUM (65%),0.064,211.41,185.74,-12.14%,,,,
Top 50,50,FDT,,STRONG_BUY,49.0,MEDIUM (69%),0.17,78.67,88.16,+12.07%,,,,
,,,,,,,,,,,,,,
Top 20 Momentum,1,MHUA,NASDAQ,,,,,    13.00,,,5647.13,319437,,
Top 20 Momentum,2,SMX,NASDAQ,,,,,    50.50,,,2753.11,7752874,,
Top 20 Momentum,3,WTO,NASDAQ,,,,,     1.22,,,2201.89,113536991,,
Top 20 Momentum,4,EPWK,NASDAQ,,,,,     1.42,,,1866.76,33240471,,
Top 20 Momentum,5,MESA,NASDAQ,,,,,    21.00,,,1478.95,216072,,
Top 20 Momentum,6,MBRX,NASDAQ,,,,,     6.63,,,1175.74,3115783,,
Top 20 Momentum,7,EZGO,NASDAQ,,,,,     2.23,,,1172.83,23258891,,
Top 20 Momentum,8,PHGE,AMEX,,,,,     4.70,,,862.52,1951416,,
Top 20 Momentum,9,PLRZ,NASDAQ,,,,,     7.33,,,639.81,7310339,,
Top 20 Momentum,10,LGHL,NASDAQ,,,,,     5.63,,,587.10,65594,,
Top 20 Momentum,11,ASNS,NASDAQ,,,,,     3.11,,,522.37,1061261,,
Top 20 Momentum,12,XHLD,NASDAQ,,,,,     2.14,,,490.63,1545802,,
Top 20 Momentum,13,JXG,NASDAQ,,,,,     3.75,,,490.09,385267,,
Top 20 Momentum,14,TLRY,NASDAQ,,,,,     7.71,,,488.55,35815773,,
Top 20 Momentum,15,BLMZ,NASDAQ,,,,,     1.01,,,475.50,3314938,,
Top 20 Momentum,16,MTC,NASDAQ,,,,,     2.46,,,439.59,29630370,,
Top 20 Momentum,17,SQQQ,NASDAQ,,,,,    68.41,,,426.64,132064544,,
Top 20 Momentum,18,LPTX,NASDAQ,,,,,     2.05,,,389.26,99026801,,
Top 20 Momentum,19,IVF,NASDAQ,,,,,     2.25,,,320.73,1469769,,
Top 20 Momentum,20,MIGI,NASDAQ,,,,,     4.67,,,309.65,833260,,
,,,,,,,,,,,,,,
Top 20 Volume,1,NVDA,NASDAQ,,,,,   181.46,,,,, 43607663078,0.06
Top 20 Volume,2,QQQ,NASDAQ,,,,,   622.00,,,,, 40814372799,4.31
Top 20 Volume,3,TSLA,NASDAQ,,,,,   426.58,,,,, 36471109706,6.31
Top 20 Volume,4,GOOGL,NASDAQ,,,,,   314.89,,,,, 19099503132,10.77
Top 20 Volume,5,META,NASDAQ,,,,,   647.95,,,,, 13518752828,8.41
Top 20 Volume,6,MSFT,NASDAQ,,,,,   492.01,,,,, 13417638720,-0.36
Top 20 Volume,7,AAPL,NASDAQ,,,,,   278.85,,,,, 12424858213,4.27
Top 20 Volume,8,GOOG,NASDAQ,,,,,   315.12,,,,, 11749227842,10.58
