List,Rank,Symbol,Exchange,Signal,Score,Confidence,IC10d,Price,Predicted,Return,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50,1,MSGE,,STRONG_BUY,64.8,HIGH (76%),0.096,50.73,60.49,+19.23%,,,,
Top 50,2,CPK,,STRONG_BUY,65.5,MEDIUM (72%),0.094,136.83,174.11,+27.25%,,,,
Top 50,3,GM,,STRONG_BUY,64.3,MEDIUM (73%),0.198,72.95,83.76,+14.82%,,,,
Top 50,4,MUR,,STRONG_BUY,63.9,MEDIUM (73%),0.113,32.07,39.56,+23.36%,,,,
Top 50,5,NUE,,STRONG_BUY,66.0,MEDIUM (70%),0.054,153.65,199.28,+29.69%,,,,
Top 50,6,XPO,,STRONG_BUY,63.6,MEDIUM (69%),0.055,142.06,170.78,+20.22%,,,,
Top 50,7,NVG,,STRONG_BUY,58.6,MEDIUM (73%),0.16,12.61,15.97,+26.66%,,,,
Top 50,8,SUN,,STRONG_BUY,61.0,MEDIUM (69%),0.175,55.72,71.36,+28.08%,,,,
Top 50,9,TALO,,STRONG_BUY,61.1,MEDIUM (69%),0.184,11.46,14.01,+22.28%,,,,
Top 50,10,TBBB,,STRONG_BUY,61.0,MEDIUM (69%),0.112,32.17,38.65,+20.14%,,,,
Top 50,11,PRU,,STRONG_BUY,59.0,MEDIUM (70%),0.215,108.35,137.62,+27.02%,,,,
Top 50,12,IEX,,STRONG_BUY,61.9,MEDIUM (66%),0.108,174.64,222.42,+27.36%,,,,
Top 50,13,DVN,,STRONG_BUY,59.1,MEDIUM (69%),0.183,37.06,46.07,+24.32%,,,,
Top 50,14,AMG,,STRONG_BUY,61.8,MEDIUM (65%),0.051,267.6,299.95,+12.09%,,,,
Top 50,15,BFH,,STRONG_BUY,59.0,MEDIUM (68%),0.106,65.08,77.74,+19.45%,,,,
Top 50,16,MIXT,,STRONG_BUY,59.1,MEDIUM (68%),0.174,14.55,15.85,+8.95%,,,,
Top 50,17,MTD,,STRONG_BUY,59.9,MEDIUM (66%),0.071,1476.72,1787.12,+21.02%,,,,
Top 50,18,CDAY,,STRONG_BUY,57.9,MEDIUM (69%),0.397,69.52,88.15,+26.80%,,,,
Top 50,19,AEM,,STRONG_BUY,55.0,MEDIUM (71%),0.137,172.01,165.42,-3.83%,,,,
