List,Rank,Symbol,Exchange,Signal,Score,Confidence,IC10d,Price,Predicted,Return,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50,1,USAS,,STRONG_BUY,59.1,MEDIUM (67%),0.101,4.95,4.35,-12.08%,,,,
Top 50,2,NML,,STRONG_BUY,55.3,MEDIUM (71%),0.235,8.75,11.08,+26.58%,,,,
Top 50,3,AEF,,STRONG_BUY,49.6,MEDIUM (65%),0.121,6.87,7.94,+15.60%,,,,
Top 50,4,INDO,,STRONG_BUY,48.9,MEDIUM (63%),0.07,2.89,3.63,+25.73%,,,,
Top 50,5,WRN,,STRONG_BUY,46.8,MEDIUM (65%),0.032,2.52,2.46,-2.35%,,,,
Top 50,6,NAK,,STRONG_BUY,47.1,MEDIUM (64%),0.063,2.04,1.98,-2.78%,,,,
Top 50,7,ITRG,,STRONG_BUY,50.2,MEDIUM (58%),0.048,3.62,3.62,+0.11%,,,,
Top 50,8,IAUX,,STRONG_BUY,43.1,MEDIUM (66%),0.15,1.25,1.22,-2.67%,,,,
Top 50,9,DC,,STRONG_BUY,47.3,MEDIUM (60%),0.058,5.49,6.01,+9.47%,,,,
Top 50,10,TMP,,STRONG_BUY,49.1,MEDIUM (57%),0.042,71.69,85.82,+19.71%,,,,
Top 50,11,ELLO,,STRONG_BUY,45.1,MEDIUM (59%),0.037,21.58,24.39,+13.00%,,,,
Top 50,12,TRT,,STRONG_BUY,42.1,MEDIUM (61%),0.043,8.72,9.29,+6.57%,,,,
Top 50,13,BMNR,,STRONG_BUY,47.3,MEDIUM (54%),0.091,39.21,52.16,+33.03%,,,,
Top 50,14,PW,,STRONG_BUY,45.8,MEDIUM (55%),0.118,1.05,1.31,+24.70%,,,,
Top 50,15,GLU,,STRONG_BUY,43.6,MEDIUM (58%),0.112,18.48,21.6,+16.89%,,,,
Top 50,16,STRW,,STRONG_BUY,40.7,MEDIUM (59%),0.148,13.0,14.47,+11.32%,,,,
Top 50,17,OSTX,,STRONG_BUY,40.3,MEDIUM (59%),0.043,1.92,2.27,+17.98%,,,,
Top 50,18,GAU,,STRONG_BUY,40.4,MEDIUM (58%),0.096,2.39,2.44,+2.05%,,,,
Top 50,19,CHEB,,STRONG_BUY,44.4,MEDIUM (52%),0.202,10.55,12.68,+20.21%,,,,
Top 50,20,BATL,,STRONG_BUY,40.3,MEDIUM (55%),0.045,1.2,1.45,+21.01%,,,,
Top 50,21,GLV,,STRONG_BUY,36.4,MEDIUM (60%),0.192,6.12,6.98,+14.19%,,,,
Top 50,22,EAD,,STRONG_BUY,39.5,MEDIUM (54%),0.142,6.89,8.29,+20.32%,,,,
Top 50,23,LTSF,,BUY,35.2,MEDIUM (60%),0.257,22.69,25.17,+10.93%,,,,
Top 50,24,SILV,,STRONG_BUY,38.5,MEDIUM (54%),0.175,11.55,12.94,+12.00%,,,,
Top 50,25,AINC,,STRONG_BUY,36.0,MEDIUM (58%),0.033,4.97,5.79,+16.44%,,,,
Top 50,26,BRBS,,STRONG_BUY,38.2,MEDIUM (54%),0.121,4.39,4.57,+4.00%,,,,
Top 50,27,BHB,,STRONG_BUY,35.5,MEDIUM (57%),0.066,31.16,35.94,+15.34%,,,,
Top 50,28,COHN,,STRONG_BUY,36.8,MEDIUM (54%),0.145,16.76,16.71,-0.31%,,,,
Top 50,29,MI,,STRONG_BUY,36.9,MEDIUM (53%),0.084,4.05,4.38,+8.18%,,,,
Top 50,30,EQX,,STRONG_BUY,34.2,MEDIUM (55%),0.08,12.78,12.29,-3.85%,,,,
Top 50,31,ENX,,STRONG_BUY,33.4,MEDIUM (54%),0.134,10.0,11.64,+16.44%,,,,
Top 50,32,BTG,,STRONG_BUY,33.3,MEDIUM (54%),0.067,4.56,4.52,-0.98%,,,,
Top 50,33,CIK,,STRONG_BUY,33.7,MEDIUM (53%),0.09,2.83,3.35,+18.28%,,,,
Top 50,34,GLO,,STRONG_BUY,33.3,MEDIUM (54%),0.134,5.76,6.53,+13.35%,,,,
Top 50,35,NBH,,STRONG_BUY,36.2,LOW (48%),0.043,10.28,12.14,+18.13%,,,,
Top 50,36,CET,,STRONG_BUY,35.0,LOW (49%),0.092,50.29,53.94,+7.28%,,,,
Top 50,37,PRK,,STRONG_BUY,34.9,LOW (48%),0.042,159.06,190.24,+19.60%,,,,
Top 50,38,MGLD,,STRONG_BUY,32.3,MEDIUM (51%),0.135,1.04,1.19,+14.45%,,,,
Top 50,39,IDR,,STRONG_BUY,32.0,MEDIUM (51%),0.088,38.92,34.19,-12.16%,,,,
Top 50,40,SBEV,,STRONG_BUY,36.7,LOW (44%),0.099,1.5,1.95,+30.27%,,,,
Top 50,41,SLSR,,STRONG_BUY,31.7,LOW (50%),0.144,7.62,7.09,-6.95%,,,,
Top 50,42,NG,,STRONG_BUY,32.4,LOW (48%),0.06,9.84,8.84,-10.15%,,,,
Top 50,43,VENU,,STRONG_BUY,31.8,LOW (49%),0.085,10.89,13.13,+20.60%,,,,
Top 50,44,NFGC,,BUY,28.5,MEDIUM (54%),0.079,3.1,3.0,-3.24%,,,,
Top 50,45,BITE,,BUY,27.0,MEDIUM (56%),0.165,12.5,12.98,+3.85%,,,,
Top 50,46,ATNM,,STRONG_BUY,33.9,LOW (44%),0.072,1.45,1.69,+16.76%,,,,
Top 50,47,LUD,,STRONG_BUY,32.9,LOW (44%),0.045,10.56,9.36,-11.41%,,,,
Top 50,48,DMYY,,BUY,29.1,LOW (49%),0.089,13.75,14.28,+3.82%,,,,
Top 50,49,VCXB,,STRONG_BUY,31.0,LOW (46%),0.164,11.07,12.66,+14.38%,,,,
Top 50,50,VGZ,,BUY,28.5,LOW (49%),0.054,1.93,1.65,-14.45%,,,,
,,,,,,,,,,,,,,
Top 20 Momentum,1,PHGE,AMEX,,,,,     4.70,,,1125.55,883172,,
Top 20 Momentum,2,LUD,AMEX,,,,,    10.56,,,91.65,103395,,
Top 20 Momentum,3,NBY,AMEX,,,,,     1.81,,,69.16,294818,,
Top 20 Momentum,4,PW,AMEX,,,,,     1.05,,,66.72,1955364,,
Top 20 Momentum,5,NFGC,AMEX,,,,,     3.10,,,51.96,1669674,,
Top 20 Momentum,6,SLI,AMEX,,,,,     4.56,,,42.95,3717964,,
Top 20 Momentum,7,SBEV,AMEX,,,,,     1.50,,,36.36,4352790,,
Top 20 Momentum,8,COHN,AMEX,,,,,    16.76,,,31.14,27981,,
Top 20 Momentum,9,TRT,AMEX,,,,,     8.72,,,30.54,24515,,
Top 20 Momentum,10,DC,AMEX,,,,,     5.49,,,29.79,1177059,,
Top 20 Momentum,11,CHOW,AMEX,,,,,    11.70,,,27.59,1338775,,
Top 20 Momentum,12,IAUX,AMEX,,,,,     1.25,,,27.06,4665761,,
Top 20 Momentum,13,KNRX,AMEX,,,,,     1.98,,,23.75,24593,,
Top 20 Momentum,14,MYO,AMEX,,,,,     1.04,,,22.35,825270,,
