List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50 Composite,1,ESP,2026-01-05,CupHandle,46.94,51.5,4,66.0,40.0,65.1,43.7,17.0,,,,,
Top 50 Composite,2,CNL,2025-12-29,CupHandle,14.75,49.9,4,71.6,30.0,26.6,55.9,9.1,,,,,
Top 50 Composite,3,BHB,2025-12-19,CupHandle,32.42,48.5,4,64.2,20.7,80.7,50.1,4.7,,,,,
Top 50 Composite,4,CMT,2025-12-19,CupHandle,21.29,47.5,4,68.9,26.5,38.5,56.9,14.2,,,,,
Top 50 Composite,5,PLMR,2025-12-19,CupHandle,134.96,36.2,4,54.4,29.7,60.4,31.2,0.0,,,,,
,,,,,,,,,,,,,,,,,
Top 20 Momentum,1,CANF,,,     4.29,,,,,,,,AMEX,1211.93,10660879,,
Top 20 Momentum,2,NBY,,,     5.87,,,,,,,,AMEX,278.71,2808323,,
Top 20 Momentum,3,MCRP,,,     1.62,,,,,,,,AMEX,83.88,394467,,
Top 20 Momentum,4,YCBD,,,     1.16,,,,,,,,AMEX,81.65,35669736,,
Top 20 Momentum,5,NRXS,,,     4.46,,,,,,,,AMEX,69.58,1009012,,
Top 20 Momentum,6,AEON,,,     1.13,,,,,,,,AMEX,48.66,216131,,
Top 20 Momentum,7,TRT,,,    12.45,,,,,,,,AMEX,35.33,52774,,
Top 20 Momentum,8,BHM,,,    11.54,,,,,,,,AMEX,32.89,9460,,
Top 20 Momentum,9,MAIA,,,     1.60,,,,,,,,AMEX,30.08,979333,,
Top 20 Momentum,10,ZDGE,,,     3.37,,,,,,,,AMEX,28.63,3089013,,
Top 20 Momentum,11,COHN,,,    21.96,,,,,,,,AMEX,27.30,52512,,
Top 20 Momentum,12,CNL,,,    14.44,,,,,,,,AMEX,27.22,55748,,
Top 20 Momentum,13,UUU,,,     5.19,,,,,,,,AMEX,25.67,29129,,
Top 20 Momentum,14,WRN,,,     3.04,,,,,,,,AMEX,23.08,1127174,,
Top 20 Momentum,15,ELLO,,,    26.20,,,,,,,,AMEX,22.37,2837,,
Top 20 Momentum,16,UMAC,,,    13.57,,,,,,,,AMEX,22.36,2431414,,
Top 20 Momentum,17,IAUX,,,     1.51,,,,,,,,AMEX,21.77,8244422,,
Top 20 Momentum,18,NGD,,,     9.07,,,,,,,,AMEX,21.58,17130941,,
Top 20 Momentum,19,AXIL,,,     6.25,,,,,,,,AMEX,20.75,1601425,,
Top 20 Momentum,20,IDR,,,    45.26,,,,,,,,AMEX,18.76,767080,,
,,,,,,,,,,,,,,,,,
Top 20 Volume,1,BMNR,,,    27.72,,,,,,,,AMEX,,,    825139499,-6.92
Top 20 Volume,2,LEU,,,   272.50,,,,,,,,AMEX,,,    182875568,5.60
Top 20 Volume,3,UUUU,,,    16.68,,,,,,,,AMEX,,,    137790070,9.88
Top 20 Volume,4,NGD,,,     9.07,,,,,,,,AMEX,,,    125122627,-1.84
Top 20 Volume,5,BTG,,,     4.55,,,,,,,,AMEX,,,    113851492,-4.61
Top 20 Volume,6,DNN,,,     3.22,,,,,,,,AMEX,,,    111341556,15.83
Top 20 Volume,7,CANF,,,     4.29,,,,,,,,AMEX,,,    103516517,1683.78
Top 20 Volume,8,EQX,,,    14.20,,,,,,,,AMEX,,,     87165431,-4.63
Top 20 Volume,9,AAP,,,    38.89,,,,,,,,AMEX,,,     82433100,-1.49
Top 20 Volume,10,IDR,,,    45.26,,,,,,,,AMEX,,,     44031779,-3.29
Top 20 Volume,11,UMAC,,,    13.57,,,,,,,,AMEX,,,     42704596,4.30
Top 20 Volume,12,VZLA,,,     5.61,,,,,,,,AMEX,,,     36686577,-2.77
Top 20 Volume,13,IMO,,,    89.09,,,,,,,,AMEX,,,     27292798,3.81
Top 20 Volume,14,USAS,,,     5.11,,,,,,,,AMEX,,,     25688872,-12.95
Top 20 Volume,15,IE,,,    16.17,,,,,,,,AMEX,,,     23325136,-1.70
Top 20 Volume,16,ORLA,,,    13.18,,,,,,,,AMEX,,,     19536070,-10.40
Top 20 Volume,17,PLMR,,,   131.82,,,,,,,,AMEX,,,     19517232,-4.01
Top 20 Volume,18,CLM,,,     8.44,,,,,,,,AMEX,,,     17538282,1.81
Top 20 Volume,19,NG,,,     9.20,,,,,,,,AMEX,,,     16790273,-8.82
Top 20 Volume,20,TMQ,,,     4.59,,,,,,,,AMEX,,,     13331009,-5.17
