List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %,ROE,P/E Ratio,Sector,Fund Quality
Top 50 Composite,1,ISOU,2026-01-13,CupHandle,11.37,72.8,3,78.4,63.0,50.0,79.7,0.3,,,,,,,,,
Top 50 Composite,2,ESP,2026-01-22,CupHandle,53.90,60.8,4,72.9,56.7,45.8,54.0,17.2,,,,,,,,,
Top 50 Composite,3,IE,2026-01-20,CupHandle,17.98,56.7,4,67.6,50.0,53.6,58.1,0.0,,,,,,,,,
Top 50 Composite,4,BTG,2026-01-20,CupHandle,4.91,55.0,4,63.5,63.4,51.0,61.1,5.8,,,,,,7.2%,32.6,Basic Materials,⚠️
Top 50 Composite,5,GGN,2026-01-22,CupHandle,5.42,54.8,4,62.9,69.1,43.2,61.7,3.4,,,,,,,,,
Top 50 Composite,6,LGCY,2026-01-26,CupHandle,10.29,53.8,4,64.1,29.7,99.0,65.0,12.3,,,,,,,,,
Top 50 Composite,7,GTE,2026-01-26,CupHandle,5.46,46.7,4,59.1,65.7,26.0,54.0,0.7,,,,,,,,,
Top 50 Composite,8,SCCF,2026-01-13,CupHandle,23.49,45.5,4,67.4,29.4,39.6,38.5,19.4,,,,,,,,,
Top 50 Composite,9,ACU,2026-01-22,CupHandle,44.29,45.0,4,69.4,17.9,30.2,77.2,18.1,,,,,,9.0%,17.7,Consumer Defensive,⚠️
Top 50 Composite,10,BKTI,2026-01-12,CupHandle,82.99,43.5,4,65.2,24.0,41.7,52.4,10.7,,,,,,38.7%,23.1,Technology,⚠️
Top 50 Composite,11,UUU,2026-01-16,CupHandle,4.95,42.9,4,57.1,60.9,12.0,100.0,2.0,,,,,,,,,
Top 50 Composite,12,UUUU,2026-01-14,CupHandle,20.91,42.5,4,57.3,51.8,33.3,64.5,1.7,,,,,,,,,
Top 50 Composite,13,TMP,2026-01-22,CupHandle,79.07,42.4,4,64.8,19.8,45.3,50.4,10.5,,,,,,,,,
Top 50 Composite,14,CNL,2026-01-21,CupHandle,15.90,42.4,4,62.7,50.0,2.6,75.1,11.9,,,,,,,,,
Top 50 Composite,15,BHB,2026-01-20,CupHandle,32.29,27.1,4,54.1,22.6,17.2,48.7,4.0,,,,,,7.5%,15.0,Financial Services,⚠️
,,,,,,,,,,,,,,,,,,,,,
Top 20 Momentum,1,BATL,,,     4.16,,,,,,,,AMEX,268.14,14043272,,,-6.1%,,Energy,⚠️
Top 20 Momentum,2,PHGE,,,     6.58,,,,,,,,AMEX,251.87,3007566,,,,,,
Top 20 Momentum,3,MCRP,,,     3.27,,,,,,,,AMEX,135.25,315342,,,,,,
Top 20 Momentum,4,GORO,,,     1.72,,,,,,,,AMEX,107.73,13045691,,,,,,
Top 20 Momentum,5,MAIA,,,     2.95,,,,,,,,AMEX,92.81,1185623,,,,,,
Top 20 Momentum,6,UUUU,,,    27.72,,,,,,,,AMEX,90.65,17328885,,,,,,
Top 20 Momentum,7,USAS,,,     9.40,,,,,,,,AMEX,83.95,8038042,,,,,,
Top 20 Momentum,8,AUST,,,     2.57,,,,,,,,AMEX,73.65,3636833,,,-19.4%,,Basic Materials,⚠️
Top 20 Momentum,9,DNN,,,     4.31,,,,,,,,AMEX,62.03,54115136,,,,,,
Top 20 Momentum,10,GLDG,,,     2.02,,,,,,,,AMEX,61.60,6026415,,,,,,
