List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50 Composite,1,BDL,2026-02-25,CupHandle,33.70,70.1,3,70.3,72.6,93.2,62.3,19.9,,,,,
Top 50 Composite,2,AXIL,2026-02-26,CupHandle,7.00,66.3,3,69.7,63.9,90.1,55.0,19.1,,,,,
Top 50 Composite,3,SIM,2026-02-20,CupHandle,32.48,65.6,3,83.0,31.0,55.7,50.7,20.9,,,,,
Top 50 Composite,4,ACU,2026-02-26,CupHandle,45.88,63.5,4,69.7,73.4,53.1,66.6,18.2,,,,,
Top 50 Composite,5,ESP,2026-02-09,DarvasBox,60.14,60.4,4,75.9,72.6,5.7,24.7,16.3,,,,,
Top 50 Composite,6,SCCF,2026-02-23,CupHandle,23.55,55.7,4,57.1,71.2,95.3,56.9,19.7,,,,,
Top 50 Composite,7,CIX,2026-02-13,CupHandle,24.58,53.2,4,60.4,71.3,63.5,37.9,19.4,,,,,
Top 50 Composite,8,BKTI,2026-02-25,CupHandle,85.98,52.2,4,65.6,50.0,50.5,52.1,13.5,,,,,
Top 50 Composite,9,LGCY,2026-02-13,CupHandle,11.55,50.3,4,62.0,72.2,20.3,62.2,9.0,,,,,
Top 50 Composite,10,LGL,2026-02-20,CupHandle,7.39,49.5,4,65.2,59.7,28.1,38.0,18.8,,,,,
Top 50 Composite,11,CKX,2026-02-20,CupHandle,11.99,46.4,4,68.3,31.6,25.0,78.3,21.6,,,,,
Top 50 Composite,12,BHM,2026-02-26,CupHandle,10.24,42.2,4,64.1,30.0,45.8,20.3,20.3,,,,,
Top 50 Composite,13,RLGT,2026-02-09,CupHandle,7.04,38.4,4,59.6,50.4,3.6,39.2,1.0,,,,,
Top 50 Composite,14,NML,2026-02-11,CupHandle,9.74,37.0,4,55.0,65.7,0.5,36.6,0.0,,,,,
Top 50 Composite,15,OBE,2026-02-11,DarvasBox,8.03,30.2,4,54.8,39.7,4.7,37.0,0.0,,,,,
,,,,,,,,,,,,,,,,,
Top 20 Momentum,1,MWG,,,     2.19,,,,,,,,AMEX_Yahoo,937.91,266910,,
Top 20 Momentum,2,SIF,,,    14.36,,,,,,,,AMEX_Yahoo,120.92,144966,,
Top 20 Momentum,3,TCGL,,,   172.84,,,,,,,,AMEX_Yahoo,100.14,3031050,,
Top 20 Momentum,4,ARMP,,,    10.83,,,,,,,,AMEX_Yahoo,63.10,54671,,
Top 20 Momentum,5,NEWP,,,     5.73,,,,,,,,AMEX_Yahoo,50.00,1171763,,
Top 20 Momentum,6,PLX,,,     3.01,,,,,,,,AMEX_Yahoo,45.41,1857664,,
Top 20 Momentum,7,PZG,,,     2.51,,,,,,,,AMEX_Yahoo,45.09,3088031,,
Top 20 Momentum,8,PTN,,,    20.99,,,,,,,,AMEX_Yahoo,40.21,23556,,
Top 20 Momentum,9,LGCY,,,    13.52,,,,,,,,AMEX_Yahoo,32.81,79849,,
Top 20 Momentum,10,MI,,,     5.35,,,,,,,,AMEX_Yahoo,30.81,14416,,
Top 20 Momentum,11,MCRP,,,     4.30,,,,,,,,AMEX_Yahoo,25.00,270158,,
Top 20 Momentum,12,LCTX,,,     1.96,,,,,,,,AMEX_Yahoo,24.84,1255776,,
Top 20 Momentum,13,NRXS,,,     5.69,,,,,,,,AMEX_Yahoo,22.37,98977,,
Top 20 Momentum,14,ORLA,,,    20.72,,,,,,,,AMEX_Yahoo,21.45,2225794,,
Top 20 Momentum,15,CANF,,,     4.93,,,,,,,,AMEX_Yahoo,20.24,49298,,
Top 20 Momentum,16,SENS,,,     8.35,,,,,,,,AMEX_Yahoo,19.97,497470,,
Top 20 Momentum,17,CATX,,,     5.06,,,,,,,,AMEX_Yahoo,18.78,7388381,,
Top 20 Momentum,18,GENC,,,    16.06,,,,,,,,AMEX_Yahoo,15.46,29001,,
Top 20 Momentum,19,NG,,,    12.67,,,,,,,,AMEX_Yahoo,15.39,4463057,,
Top 20 Momentum,20,EQX,,,    18.40,,,,,,,,AMEX_Yahoo,14.93,11572058,,
,,,,,,,,,,,,,,,,,
Top 20 Volume,1,BMNR,,,    20.44,,,,,,,,AMEX_Yahoo,,,    795053113,-2.48
Top 20 Volume,2,BTG,,,     6.21,,,,,,,,AMEX_Yahoo,,,    222718894,15.00
Top 20 Volume,3,UUUU,,,    22.84,,,,,,,,AMEX_Yahoo,,,    210815588,10.23
Top 20 Volume,4,NGD,,,    13.14,,,,,,,,AMEX_Yahoo,,,    204724129,18.81
Top 20 Volume,5,LEU,,,   210.96,,,,,,,,AMEX_Yahoo,,,    195329769,5.91
Top 20 Volume,6,EQX,,,    18.40,,,,,,,,AMEX_Yahoo,,,    194117635,16.46
Top 20 Volume,7,DNN,,,     4.26,,,,,,,,AMEX_Yahoo,,,    184296101,12.70
Top 20 Volume,8,AAp,,,    52.00,,,,,,,,AMEX_Yahoo,,,    139707251,-11.64
Top 20 Volume,9,UEC,,,    15.38,,,,,,,,AMEX_Yahoo,,,    121441650,-0.90
Top 20 Volume,10,SEB,,,  4986.46,,,,,,,,AMEX_Yahoo,,,    118553584,-7.21
Top 20 Volume,11,SVM,,,    13.77,,,,,,,,AMEX_Yahoo,,,     83648264,25.41
Top 20 Volume,12,UAMY,,,     8.91,,,,,,,,AMEX_Yahoo,,,     72666434,16.93
Top 20 Volume,13,IMO,,,   116.78,,,,,,,,AMEX_Yahoo,,,     71446003,-2.49
Top 20 Volume,14,USAS,,,     9.46,,,,,,,,AMEX_Yahoo,,,     71387409,25.63
Top 20 Volume,15,VZLA,,,     4.20,,,,,,,,AMEX_Yahoo,,,     59367148,9.37
Top 20 Volume,16,TGB,,,     8.50,,,,,,,,AMEX_Yahoo,,,     50616672,2.53
Top 20 Volume,17,PLMr,,,   121.85,,,,,,,,AMEX_Yahoo,,,     46479438,-7.76
Top 20 Volume,18,ASM,,,     9.24,,,,,,,,AMEX_Yahoo,,,     45750259,-5.62
Top 20 Volume,19,NG,,,    12.67,,,,,,,,AMEX_Yahoo,,,     40083434,17.86
Top 20 Volume,20,ORLA,,,    20.72,,,,,,,,AMEX_Yahoo,,,     40033055,19.15
