List,Rank,Symbol,Exchange,Signal,Score,Confidence,IC10d,Price,Predicted,Return,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50,1,CSCO,,STRONG_BUY,69.0,HIGH (77%),0.035,78.86,92.52,+17.33%,,,,
Top 50,2,SLVR,,STRONG_BUY,64.8,HIGH (78%),0.07,52.59,55.36,+5.26%,,,,
Top 50,3,SNDX,,STRONG_BUY,67.7,MEDIUM (75%),0.075,20.32,24.51,+20.63%,,,,
Top 50,4,THFF,,STRONG_BUY,70.8,MEDIUM (71%),0.082,61.83,72.02,+16.48%,,,,
Top 50,5,PACB,,STRONG_BUY,63.7,HIGH (78%),0.096,2.52,2.7,+6.99%,,,,
Top 50,6,GIII,,STRONG_BUY,66.3,MEDIUM (74%),0.172,30.38,38.46,+26.61%,,,,
Top 50,7,RFEM,,STRONG_BUY,61.8,HIGH (78%),0.169,79.14,97.3,+22.94%,,,,
Top 50,8,NDSN,,STRONG_BUY,67.7,MEDIUM (72%),0.112,238.93,307.64,+28.76%,,,,
Top 50,9,LGN,,STRONG_BUY,61.5,HIGH (77%),0.605,45.96,52.6,+14.45%,,,,
Top 50,10,VTVT,,STRONG_BUY,61.7,HIGH (77%),0.121,32.26,33.91,+5.11%,,,,
Top 50,11,SLVO,,STRONG_BUY,63.0,MEDIUM (75%),0.146,99.61,121.95,+22.42%,,,,
Top 50,12,MKSI,,STRONG_BUY,66.9,MEDIUM (70%),0.101,165.19,191.0,+15.63%,,,,
Top 50,13,GNOM,,STRONG_BUY,66.4,MEDIUM (71%),0.057,47.62,60.95,+27.98%,,,,
Top 50,14,VYMI,,STRONG_BUY,61.7,HIGH (76%),0.235,88.19,113.59,+28.80%,,,,
Top 50,15,BKR,,STRONG_BUY,64.8,MEDIUM (71%),0.117,50.2,58.69,+16.91%,,,,
Top 50,16,ARVN,,STRONG_BUY,66.1,MEDIUM (69%),0.051,13.32,14.72,+10.47%,,,,
Top 50,17,PASG,,STRONG_BUY,60.1,HIGH (76%),0.067,9.18,10.9,+18.69%,,,,
Top 50,18,JBIO,,STRONG_BUY,58.8,HIGH (77%),0.048,13.5,15.29,+13.25%,,,,
Top 50,19,FORM,,STRONG_BUY,64.6,MEDIUM (70%),0.057,58.33,69.44,+19.04%,,,,
Top 50,20,CECO,,STRONG_BUY,64.4,MEDIUM (69%),0.032,55.99,58.76,+4.94%,,,,
Top 50,21,APA,,STRONG_BUY,61.8,MEDIUM (72%),0.153,25.28,31.63,+25.11%,,,,
Top 50,22,BELFA,,STRONG_BUY,63.1,MEDIUM (71%),0.084,145.15,160.05,+10.27%,,,,
Top 50,23,ZM,,STRONG_BUY,62.5,MEDIUM (71%),0.061,89.09,106.33,+19.35%,,,,
Top 50,24,EXPE,,STRONG_BUY,60.3,MEDIUM (73%),0.055,263.43,286.29,+8.68%,,,,
Top 50,25,MYFW,,STRONG_BUY,59.5,MEDIUM (73%),0.099,24.66,30.14,+22.22%,,,,
Top 50,26,ATMCU,,STRONG_BUY,58.9,MEDIUM (73%),0.166,15.0,17.31,+15.40%,,,,
Top 50,27,ERAS,,STRONG_BUY,59.4,MEDIUM (72%),0.115,3.27,3.37,+3.11%,,,,
Top 50,28,DNUT,,STRONG_BUY,58.1,MEDIUM (73%),0.043,4.34,5.47,+26.07%,,,,
Top 50,29,INTW,,STRONG_BUY,57.3,MEDIUM (74%),0.161,54.97,54.83,-0.26%,,,,
Top 50,30,CBLL,,STRONG_BUY,62.9,MEDIUM (66%),0.033,19.72,21.34,+8.20%,,,,
Top 50,31,IAC,,STRONG_BUY,63.0,MEDIUM (65%),0.193,36.76,47.76,+29.93%,,,,
Top 50,32,WASH,,STRONG_BUY,61.2,MEDIUM (67%),0.046,29.64,37.63,+26.96%,,,,
Top 50,33,HIFS,,STRONG_BUY,60.8,MEDIUM (67%),0.078,313.8,379.37,+20.90%,,,,
Top 50,34,VIR,,STRONG_BUY,58.7,MEDIUM (70%),0.105,6.58,7.82,+18.80%,,,,
Top 50,35,USVM,,STRONG_BUY,61.2,MEDIUM (67%),0.115,91.57,117.1,+27.88%,,,,
Top 50,36,FUND,,STRONG_BUY,58.3,MEDIUM (70%),0.228,8.73,10.75,+23.12%,,,,
Top 50,37,AVGU,,STRONG_BUY,54.0,HIGH (75%),0.241,45.02,52.95,+17.62%,,,,
Top 50,38,LFUS,,STRONG_BUY,59.5,MEDIUM (68%),0.16,258.99,323.66,+24.97%,,,,
Top 50,39,KYIV,,STRONG_BUY,55.1,MEDIUM (74%),0.605,13.9,17.24,+24.01%,,,,
Top 50,40,LSCC,,STRONG_BUY,59.6,MEDIUM (68%),0.137,77.95,87.85,+12.71%,,,,
Top 50,41,VFLO,,STRONG_BUY,57.9,MEDIUM (70%),0.153,39.42,48.83,+23.87%,,,,
Top 50,42,MNRO,,STRONG_BUY,60.8,MEDIUM (66%),0.071,19.52,24.01,+23.02%,,,,
Top 50,43,LNTH,,STRONG_BUY,60.0,MEDIUM (67%),0.099,61.87,75.83,+22.57%,,,,
Top 50,44,VECO,,STRONG_BUY,61.6,MEDIUM (65%),0.047,32.14,40.31,+25.43%,,,,
Top 50,45,CCFE,,STRONG_BUY,58.9,MEDIUM (68%),0.166,27.35,33.87,+23.87%,,,,
Top 50,46,CZNC,,STRONG_BUY,58.4,MEDIUM (69%),0.17,20.37,25.76,+26.47%,,,,
Top 50,47,EXEEL,,STRONG_BUY,56.8,MEDIUM (71%),0.295,117.61,133.16,+13.22%,,,,
Top 50,48,WULF,,STRONG_BUY,56.4,MEDIUM (71%),0.053,14.96,14.57,-2.59%,,,,
Top 50,49,MOOD,,STRONG_BUY,59.1,MEDIUM (68%),0.116,37.95,46.03,+21.30%,,,,
Top 50,50,AEIS,,STRONG_BUY,58.2,MEDIUM (68%),0.094,221.85,234.39,+5.65%,,,,
,,,,,,,,,,,,,,
Top 20 Momentum,1,SMX,NASDAQ,,,,,   331.98,,,21885.43,4387008,,
Top 20 Momentum,2,WTO,NASDAQ,,,,,     1.20,,,3673.58,90264778,,
Top 20 Momentum,3,MHUA,NASDAQ,,,,,     7.61,,,3479.49,73884,,
Top 20 Momentum,4,TGL,NASDAQ,,,,,    19.78,,,2376.52,2899806,,
Top 20 Momentum,5,EPWK,NASDAQ,,,,,     1.41,,,2036.36,20756493,,
Top 20 Momentum,6,PMN,NASDAQ,,,,,     7.63,,,1831.65,723978,,
Top 20 Momentum,7,MBRX,NASDAQ,,,,,     7.71,,,1509.94,1880964,,
Top 20 Momentum,8,EZGO,NASDAQ,,,,,     2.17,,,1464.53,643476,,
Top 20 Momentum,9,PLRZ,NASDAQ,,,,,    13.10,,,1439.18,10541683,,
Top 20 Momentum,10,JXG,NASDAQ,,,,,     8.63,,,1412.44,445338,,
Top 20 Momentum,11,MESA,NASDAQ,,,,,    21.00,,,1142.60,210671,,
Top 20 Momentum,12,RUBI,NASDAQ,,,,,     2.65,,,1041.26,26244194,,
Top 20 Momentum,13,MTVA,NASDAQ,,,,,     8.64,,,1026.32,444980,,
Top 20 Momentum,14,STRO,NASDAQ,,,,,     8.66,,,965.06,571316,,
Top 20 Momentum,15,SPHL,NASDAQ,,,,,     4.53,,,944.50,128657,,
Top 20 Momentum,16,XHLD,NASDAQ,,,,,     2.40,,,758.98,904257,,
Top 20 Momentum,17,ASNS,NASDAQ,,,,,     3.11,,,667.90,1160377,,
Top 20 Momentum,18,BLMZ,NASDAQ,,,,,     1.02,,,554.27,2496856,,
Top 20 Momentum,19,MIGI,NASDAQ,,,,,     4.00,,,473.89,535609,,
Top 20 Momentum,20,TLRY,NASDAQ,,,,,     7.35,,,469.77,30223362,,
,,,,,,,,,,,,,,
Top 20 Volume,1,NVDA,NASDAQ,,,,,   184.97,,,,, 30795377619,2.61
Top 20 Volume,2,TSLA,NASDAQ,,,,,   445.17,,,,, 28347084550,4.36
Top 20 Volume,3,QQQ,NASDAQ,,,,,   623.52,,,,, 26034303313,1.51
Top 20 Volume,4,GOOGL,NASDAQ,,,,,   314.89,,,,, 12446009091,-1.58
Top 20 Volume,5,AAPL,NASDAQ,,,,,   278.78,,,,, 11482403305,0.44
Top 20 Volume,6,MSFT,NASDAQ,,,,,   483.16,,,,, 11262048707,-0.48
Top 20 Volume,7,META,NASDAQ,,,,,   673.42,,,,, 10883450201,6.28
Top 20 Volume,8,GOOG,NASDAQ,,,,,   320.62,,,,,  8657326927,0.11
Top 20 Volume,9,AVGO,NASDAQ,,,,,   390.24,,,,,  8333264457,-1.84
Top 20 Volume,10,AMZN,NASDAQ,,,,,   233.88,,,,,  7924769494,2.06
Top 20 Volume,11,AMD,NASDAQ,,,,,   221.11,,,,,  6963803951,3.21
Top 20 Volume,12,PLTR,NASDAQ,,,,,   177.92,,,,,  5158306636,7.33
Top 20 Volume,13,NFLX,NASDAQ,,,,,   100.24,,,,,  4759126399,-5.56
Top 20 Volume,14,MU,NASDAQ,,,,,   237.22,,,,,  4439393504,3.02
Top 20 Volume,15,MSTR,NASDAQ,,,,,   178.99,,,,,  4430454629,1.91
Top 20 Volume,16,INTC,NASDAQ,,,,,    40.50,,,,,  3825291582,10.02
Top 20 Volume,17,TQQQ,NASDAQ,,,,,    55.80,,,,,  3714290618,4.55
Top 20 Volume,18,HOOD,NASDAQ,,,,,   136.43,,,,,  3548298709,6.42
Top 20 Volume,19,SMX,NASDAQ,,,,,   331.98,,,,,  3243028060,1807.93
Top 20 Volume,20,IBIT,NASDAQ,,,,,    50.69,,,,,  3104721839,-0.67
