List,Rank,Symbol,Exchange,Signal,Score,Confidence,IC10d,Price,Predicted,Return,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %,ROE,P/E Ratio,Sector,Fund Quality
Top 50,1,CSCO,,STRONG_BUY,69.0,HIGH (77%),0.035,78.86,92.52,+17.33%,,,,,,,,
Top 50,2,VTVT,,STRONG_BUY,68.8,HIGH (77%),0.12,34.41,36.35,+5.64%,,,,,,,,
Top 50,3,SOXQ,,STRONG_BUY,67.8,HIGH (75%),0.082,58.81,69.7,+18.51%,,,,,,,,
Top 50,4,SLVR,,STRONG_BUY,64.8,HIGH (78%),0.07,52.59,55.36,+5.26%,,,,,,,,
Top 50,5,THFF,,STRONG_BUY,70.8,MEDIUM (71%),0.082,61.83,72.02,+16.48%,,,,,,,,
Top 50,6,RFEM,,STRONG_BUY,62.8,HIGH (79%),0.172,79.67,97.93,+22.92%,,,,,,,,
Top 50,7,PACB,,STRONG_BUY,63.7,HIGH (78%),0.096,2.52,2.7,+6.99%,,,,,,,,
Top 50,8,CATH,,STRONG_BUY,63.5,HIGH (77%),0.158,83.31,104.67,+25.64%,,,,,,28.4,N/A,⚠️
Top 50,9,GIII,,STRONG_BUY,66.3,MEDIUM (74%),0.172,30.38,38.46,+26.61%,,,,,,,,
Top 50,10,NDSN,,STRONG_BUY,67.7,MEDIUM (72%),0.112,238.93,307.64,+28.76%,,,,,,,,
Top 50,11,RDVY,,STRONG_BUY,65.7,MEDIUM (72%),0.132,70.12,89.31,+27.37%,,,,,,,,
Top 50,12,SLVO,,STRONG_BUY,63.0,MEDIUM (75%),0.146,99.61,121.95,+22.42%,,,,,,,,
Top 50,13,MKSI,,STRONG_BUY,66.9,MEDIUM (70%),0.101,165.19,191.0,+15.63%,,,,,,,,
Top 50,14,FAB,,STRONG_BUY,63.6,MEDIUM (74%),0.116,90.52,114.73,+26.74%,,,,,,,,
Top 50,15,BKR,,STRONG_BUY,64.8,MEDIUM (71%),0.117,50.2,58.69,+16.91%,,,,,14.6%,21.5,Energy,⚠️
Top 50,16,SOXX,,STRONG_BUY,63.1,MEDIUM (72%),0.144,316.33,369.4,+16.78%,,,,,,,,
Top 50,17,PASG,,STRONG_BUY,60.1,HIGH (76%),0.067,9.18,10.9,+18.69%,,,,,,,,
Top 50,18,JBIO,,STRONG_BUY,58.8,HIGH (77%),0.048,13.5,15.29,+13.25%,,,,,,,,
Top 50,19,SETM,,STRONG_BUY,64.1,MEDIUM (70%),0.048,28.71,36.63,+27.56%,,,,,,,,
Top 50,20,APA,,STRONG_BUY,61.8,MEDIUM (72%),0.153,25.28,31.63,+25.11%,,,,,27.4%,6.2,Energy,⚠️
Top 50,21,BELFA,,STRONG_BUY,63.1,MEDIUM (71%),0.084,145.15,160.05,+10.27%,,,,,16.9%,40.2,Technology,⚠️
Top 50,22,MYFW,,STRONG_BUY,59.5,MEDIUM (73%),0.099,24.66,30.14,+22.22%,,,,,,,,
Top 50,23,RFDI,,STRONG_BUY,60.9,MEDIUM (70%),0.211,79.99,97.14,+21.44%,,,,,,,,
Top 50,24,AIRR,,STRONG_BUY,63.2,MEDIUM (68%),0.04,101.69,124.99,+22.92%,,,,,,30.0,N/A,⚠️
Top 50,25,IXUS,,STRONG_BUY,55.9,HIGH (76%),0.241,85.28,101.28,+18.76%,,,,,,,,
Top 50,26,KNGZ,,STRONG_BUY,62.1,MEDIUM (68%),0.158,36.8,46.65,+26.78%,,,,,,,,
Top 50,27,DNUT,,STRONG_BUY,58.1,MEDIUM (73%),0.043,4.34,5.47,+26.07%,,,,,,,,
Top 50,28,ESGU,,STRONG_BUY,59.0,MEDIUM (72%),0.119,150.46,178.45,+18.60%,,,,,,,,
Top 50,29,INTW,,STRONG_BUY,57.3,MEDIUM (74%),0.161,54.97,54.83,-0.26%,,,,,,,,
Top 50,30,FTAI,,STRONG_BUY,60.8,MEDIUM (69%),0.201,182.0,203.79,+11.97%,,,,,,,,
Top 50,31,VTWO,,STRONG_BUY,62.3,MEDIUM (67%),0.104,103.04,124.95,+21.27%,,,,,,,,
Top 50,32,BRKRP,,STRONG_BUY,59.9,MEDIUM (69%),0.486,362.63,425.23,+17.26%,,,,,-1.1%,,Healthcare,⚠️
Top 50,33,UIVM,,STRONG_BUY,56.6,MEDIUM (73%),0.191,63.52,73.36,+15.50%,,,,,,,,
Top 50,34,CBLL,,STRONG_BUY,62.9,MEDIUM (66%),0.033,19.72,21.34,+8.20%,,,,,-59.8%,,Healthcare,⚠️
Top 50,35,IAC,,STRONG_BUY,63.0,MEDIUM (65%),0.193,36.76,47.76,+29.93%,,,,,,,,
Top 50,36,WASH,,STRONG_BUY,61.2,MEDIUM (67%),0.046,29.64,37.63,+26.96%,,,,,,,,
Top 50,37,CHRI,,STRONG_BUY,57.6,MEDIUM (71%),0.562,82.17,105.48,+28.36%,,,,,,,,
Top 50,38,VIR,,STRONG_BUY,58.7,MEDIUM (70%),0.105,6.58,7.82,+18.80%,,,,,,,,
Top 50,39,USVM,,STRONG_BUY,61.2,MEDIUM (67%),0.115,91.57,117.1,+27.88%,,,,,,,,
Top 50,40,RINT,,STRONG_BUY,57.9,MEDIUM (71%),0.272,29.02,36.23,+24.87%,,,,,,,,
Top 50,41,EQRR,,STRONG_BUY,60.0,MEDIUM (68%),0.117,65.76,82.31,+25.16%,,,,,,,,
Top 50,42,SIXG,,STRONG_BUY,58.5,MEDIUM (70%),0.039,67.63,82.0,+21.26%,,,,,,,,
Top 50,43,DWAS,,STRONG_BUY,61.1,MEDIUM (67%),0.072,100.14,125.69,+25.52%,,,,,,,,
Top 50,44,ECPG,,STRONG_BUY,61.2,MEDIUM (66%),0.072,55.33,65.15,+17.75%,,,,,,,,
Top 50,45,FUND,,STRONG_BUY,58.3,MEDIUM (70%),0.228,8.73,10.75,+23.12%,,,,,,,,
Top 50,46,AVGU,,STRONG_BUY,54.0,HIGH (75%),0.241,45.02,52.95,+17.62%,,,,,,,N/A,⚠️
Top 50,47,LFUS,,STRONG_BUY,59.5,MEDIUM (68%),0.16,258.99,323.66,+24.97%,,,,,,,,
Top 50,48,QTUM,,STRONG_BUY,62.0,MEDIUM (66%),0.068,115.49,135.14,+17.01%,,,,,,,,
Top 50,49,KYIV,,STRONG_BUY,55.1,MEDIUM (74%),0.605,13.9,17.24,+24.01%,,,,,,,,
Top 50,50,LSCC,,STRONG_BUY,59.6,MEDIUM (68%),0.137,77.95,87.85,+12.71%,,,,,,,,
,,,,,,,,,,,,,,,,,,
Top 20 Momentum,1,SMX,NASDAQ,,,,,   331.98,,,20020.00,4613220,,,,,,
Top 20 Momentum,2,WTO,NASDAQ,,,,,     1.20,,,3886.71,91593362,,,,,,
Top 20 Momentum,3,MHUA,NASDAQ,,,,,     7.61,,,3210.13,76438,,,,,,
Top 20 Momentum,4,TGL,NASDAQ,,,,,    19.78,,,2228.43,3052485,,,,,,
Top 20 Momentum,5,EPWK,NASDAQ,,,,,     1.41,,,2065.90,21403372,,,,,,
Top 20 Momentum,6,PMN,NASDAQ,,,,,     7.63,,,1758.26,753700,,,,,,
Top 20 Momentum,7,MBRX,NASDAQ,,,,,     7.71,,,1481.21,1948806,,,,,,
Top 20 Momentum,8,JXG,NASDAQ,,,,,     8.63,,,1452.72,466241,,,,,,
Top 20 Momentum,9,EZGO,NASDAQ,,,,,     2.17,,,1346.67,527302,,,,,,
Top 20 Momentum,10,MTVA,NASDAQ,,,,,     9.55,,,1251.93,437978,,,,,,
Top 20 Momentum,11,PLRZ,NASDAQ,,,,,    11.13,,,1215.91,9585640,,,,,,
Top 20 Momentum,12,MESA,NASDAQ,,,,,    21.00,,,1165.06,208419,,,,,,
Top 20 Momentum,13,RUBI,NASDAQ,,,,,     2.14,,,970.59,23017695,,,,,,
Top 20 Momentum,14,STRO,NASDAQ,,,,,     8.66,,,967.95,561646,,,,,,
Top 20 Momentum,15,SPHL,NASDAQ,,,,,     4.77,,,965.92,164458,,,,,,
Top 20 Momentum,16,XHLD,NASDAQ,,,,,     2.40,,,789.22,902245,,,,,,
Top 20 Momentum,17,BLMZ,NASDAQ,,,,,     1.02,,,572.38,1883686,,,-129.0%,,Communication Services,⚠️
Top 20 Momentum,18,TLRY,NASDAQ,,,,,     8.26,,,571.54,26647118,,,,,,
Top 20 Momentum,19,ASNS,NASDAQ,,,,,     3.11,,,526.38,1210201,,,-260.1%,,Technology,⚠️
Top 20 Momentum,20,MIGI,NASDAQ,,,,,     4.00,,,510.69,509524,,,,,,
,,,,,,,,,,,,,,,,,,
Top 20 Volume,1,NVDA,NASDAQ,,,,,   183.78,,,,, 30162495842,3.83,,,,
Top 20 Volume,2,TSLA,NASDAQ,,,,,   445.17,,,,, 28364238595,3.49,,,,
Top 20 Volume,3,QQQ,NASDAQ,,,,,   627.61,,,,, 28082557426,1.35,,,,
Top 20 Volume,4,AAPL,NASDAQ,,,,,   278.78,,,,, 11099175099,-0.03,152.0%,34.1,Technology,⚠️
