List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %,ROE,P/E Ratio,Sector,Fund Quality
Top 50 Composite,1,VSAT,2025-12-19,CupHandle,33.81,76.6,2,73.0,84.1,78.6,60.0,0.0,,,,,,,,,
Top 50 Composite,2,ARDX,2026-01-02,CupHandle,6.15,75.5,2,77.2,72.1,64.6,59.9,0.0,,,,,,-36.2%,,Healthcare,⚠️
Top 50 Composite,3,LSCC,2026-01-06,CupHandle,85.44,73.7,3,79.3,50.0,78.1,56.6,0.8,,,,,,,,,
Top 50 Composite,4,ISRG,2026-01-06,CupHandle,592.85,72.9,3,71.1,83.3,75.0,45.0,0.0,,,,,,,,,
Top 50 Composite,5,APPS,2025-12-31,CupHandle,5.00,72.7,3,71.6,71.8,85.9,57.3,0.0,,,,,,-46.9%,,Technology,⚠️
Top 50 Composite,6,ATEX,2026-01-02,CupHandle,22.23,71.2,3,78.9,70.4,32.3,56.1,0.0,,,,,,50.4%,5.4,Communication Services,⚠️
Top 50 Composite,7,NEPH,2026-01-06,CupHandle,5.41,70.5,3,66.5,83.3,99.5,42.2,9.2,,,,,,,,,
Top 50 Composite,8,ATRC,2026-01-06,CupHandle,41.44,70.3,3,69.5,73.4,86.5,45.8,0.0,,,,,,-6.1%,,Healthcare,⚠️
Top 50 Composite,9,PEPG,2026-01-02,CupHandle,7.17,69.9,3,74.0,74.4,46.4,67.9,0.0,,,,,,,,,
Top 50 Composite,10,DLO,2026-01-06,CupHandle,15.14,69.7,3,69.0,68.3,90.6,59.4,0.0,,,,,,,,,
Top 50 Composite,11,ZEUS,2025-12-19,CupHandle,43.65,69.7,3,74.5,68.5,64.6,27.0,1.3,,,,,,,,,
Top 50 Composite,12,AFRM,2026-01-05,CupHandle,80.80,69.2,3,77.8,50.0,65.1,42.4,0.0,,,,,,7.6%,89.8,Financial Services,⚠️
Top 50 Composite,13,VWAV,2025-12-23,CupHandle,9.85,68.6,3,69.6,85.8,50.0,63.4,0.0,,,,,,,,,
Top 50 Composite,14,MSFD,2026-01-02,CupHandle,11.77,68.4,3,69.7,74.2,75.5,35.1,0.0,,,,,,,,,
Top 50 Composite,15,EWBC,2025-12-18,CupHandle,115.22,67.9,3,66.4,83.2,78.1,40.2,0.0,,,,,,,,,
Top 50 Composite,16,JOYY,2025-12-19,CupHandle,65.18,67.9,3,73.0,71.4,50.0,54.3,0.0,,,,,,,,,
Top 50 Composite,17,PGNY,2025-12-17,CupHandle,25.99,67.7,3,73.4,52.8,80.2,42.5,0.0,,,,,,,,,
Top 50 Composite,18,BLFS,2026-01-06,CupHandle,26.35,67.7,3,67.0,77.5,79.7,48.3,0.0,,,,,,-5.2%,,Healthcare,⚠️
Top 50 Composite,19,EGBN,2025-12-19,CupHandle,21.31,67.4,3,71.8,57.6,80.7,45.2,0.0,,,,,,,,,
Top 50 Composite,20,WW,2026-01-05,CupHandle,32.31,67.4,3,76.1,50.0,56.8,75.8,1.0,,,,,,,,,
Top 50 Composite,21,AAON,2026-01-06,CupHandle,81.67,67.2,3,66.8,70.1,85.4,64.6,0.0,,,,,,12.1%,74.4,Industrials,⚠️
Top 50 Composite,22,SAIA,2026-01-06,CupHandle,365.62,67.1,3,75.1,50.0,67.7,51.9,0.0,,,,,,,,,
Top 50 Composite,23,APEI,2025-12-31,CupHandle,37.80,66.8,3,67.3,60.0,94.8,70.2,0.0,,,,,,11.2%,32.3,Consumer Defensive,⚠️
Top 50 Composite,24,ESCA,2026-01-05,CupHandle,13.85,66.6,3,66.3,73.9,94.3,52.3,14.4,,,,,,,,,
Top 50 Composite,25,ZION,2025-12-17,CupHandle,59.29,66.5,3,65.0,87.4,70.8,44.1,0.0,,,,,,,,,
Top 50 Composite,26,ACAD,2025-12-19,CupHandle,27.16,66.3,3,76.3,40.5,71.9,49.0,0.0,,,,,,35.0%,16.9,Healthcare,✅
Top 50 Composite,27,WLDN,2026-01-06,CupHandle,113.90,66.3,3,70.5,61.2,71.4,63.5,0.0,,,,,,,,,
Top 50 Composite,28,CRAI,2026-01-05,CupHandle,213.00,66.0,3,73.0,65.8,45.8,61.6,0.0,,,,,,,,,
Top 50 Composite,29,WASH,2025-12-19,CupHandle,30.52,65.8,3,69.1,74.1,59.9,50.5,0.0,,,,,,,,,
Top 50 Composite,30,MRAM,2026-01-05,CupHandle,10.65,65.5,3,72.0,50.0,71.9,90.8,6.2,,,,,,,,,
Top 50 Composite,31,ALGN,2025-12-19,CupHandle,157.69,65.3,3,68.6,73.3,65.1,38.9,0.0,,,,,,9.6%,31.8,Healthcare,⚠️
Top 50 Composite,32,NVTS,2026-01-06,CupHandle,10.19,65.2,3,61.5,74.3,96.4,86.6,1.9,,,,,,,,,
Top 50 Composite,33,DJCO,2026-01-05,CupHandle,551.14,64.8,4,68.6,60.0,72.4,99.5,7.7,,,,,,,,,
