List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50 Composite,1,INTW,2026-01-09,CupHandle,64.35,76.9,2,80.6,76.1,50.0,89.2,15.3,,,,,
Top 50 Composite,2,SWBI,2026-01-09,CupHandle,10.78,75.3,2,76.4,69.9,70.8,64.4,0.0,,,,,
Top 50 Composite,3,ATEX,2026-01-02,CupHandle,22.23,73.3,3,78.9,67.5,55.7,33.3,0.0,,,,,
Top 50 Composite,4,DKNG,2026-01-08,CupHandle,35.98,71.2,3,73.0,73.0,65.1,60.1,0.0,,,,,
Top 50 Composite,5,LSCC,2026-01-06,CupHandle,85.44,71.0,3,79.3,49.2,62.0,60.0,0.0,,,,,
Top 50 Composite,6,GT,2026-01-06,CupHandle,9.26,70.9,3,78.7,56.5,55.2,53.1,0.0,,,,,
Top 50 Composite,7,SAMG,2026-01-05,CupHandle,15.67,70.8,3,73.4,73.3,75.0,39.6,10.9,,,,,
Top 50 Composite,8,SYNA,2026-01-05,CupHandle,79.16,70.6,3,77.5,72.5,33.9,57.7,0.0,,,,,
Top 50 Composite,9,GDEN,2026-01-09,CupHandle,27.49,70.6,3,67.0,74.1,96.9,66.7,0.0,,,,,
Top 50 Composite,10,CHDN,2026-01-08,CupHandle,111.52,69.7,3,75.4,57.1,67.7,56.6,0.0,,,,,
Top 50 Composite,11,CYRX,2026-01-07,CupHandle,10.66,68.4,3,68.6,65.0,94.3,48.0,0.0,,,,,
Top 50 Composite,12,ARDX,2026-01-02,CupHandle,6.15,67.8,3,77.2,66.9,17.2,98.3,1.0,,,,,
Top 50 Composite,13,COO,2026-01-07,CupHandle,83.90,67.7,3,65.6,73.6,94.8,51.3,0.0,,,,,
Top 50 Composite,14,SOHU,2026-01-06,Spoon,16.52,67.5,3,72.0,59.5,80.2,66.1,12.1,,,,,
Top 50 Composite,15,APPS,2025-12-31,CupHandle,5.00,67.3,3,71.6,68.8,62.5,46.2,0.0,,,,,
Top 50 Composite,16,MSFD,2026-01-02,CupHandle,11.77,67.3,3,68.6,71.6,70.8,68.1,0.0,,,,,
Top 50 Composite,17,AMUU,2026-01-06,CupHandle,54.48,66.9,3,71.5,74.8,50.0,60.7,4.0,,,,,
Top 50 Composite,18,DLTR,2026-01-06,CupHandle,133.78,66.6,3,67.7,82.5,60.4,49.6,0.0,,,,,
Top 50 Composite,19,OS,2026-01-06,CupHandle,23.61,66.2,3,71.0,53.2,94.8,34.7,7.1,,,,,
Top 50 Composite,20,HSIC,2026-01-06,CupHandle,78.55,66.1,3,67.8,68.6,79.2,51.5,0.0,,,,,
