List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50 Composite,1,PTF,2026-04-08,DarvasBox,98.66,89.6,1,88.7,68.0,59.9,96.3,4.0,,,,,
Top 50 Composite,2,VLGEA,2026-04-09,DarvasBox,44.83,87.2,1,80.6,74.3,63.5,64.0,5.5,,,,,
Top 50 Composite,3,FTXL,2026-04-08,DarvasBox,167.02,86.7,1,86.8,68.0,69.3,47.7,2.9,,,,,
Top 50 Composite,4,RDNW,2026-03-30,CupHandle,6.40,86.4,1,79.1,64.1,92.2,35.9,7.1,,,,,
Top 50 Composite,5,EZPW,2026-04-08,DarvasBox,28.03,84.7,1,80.1,68.8,75.5,55.2,0.0,,,,,
Top 50 Composite,6,AIFD,2026-04-09,DarvasBox,42.22,83.5,1,88.4,68.0,34.9,52.4,11.3,,,,,
Top 50 Composite,7,FRME,2026-04-08,Spoon,40.85,82.8,1,73.8,64.9,94.3,45.2,0.0,,,,,
Top 50 Composite,8,DCOM,2026-04-08,CupHandle,35.72,81.8,1,73.8,68.0,99.0,54.7,1.0,,,,,
Top 50 Composite,9,DSGN,2026-04-06,DarvasBox,12.53,81.8,1,83.0,60.5,58.3,52.8,0.0,,,,,
Top 50 Composite,10,MCHP,2026-04-08,CupHandle,70.73,81.3,1,73.3,68.0,83.9,50.3,0.7,,,,,
Top 50 Composite,11,FOSL,2026-04-08,CupHandle,5.20,80.6,1,74.6,72.2,90.6,70.3,0.0,,,,,
Top 50 Composite,12,PENN,2026-03-31,CupHandle,15.03,80.4,1,72.3,72.6,89.1,45.3,11.4,,,,,
Top 50 Composite,13,RBCAA,2026-04-08,Spoon,73.04,79.1,1,71.4,68.0,86.5,55.3,6.8,,,,,
Top 50 Composite,14,GCT,2026-04-08,CupHandle,45.55,79.1,1,75.4,68.1,54.2,62.7,0.7,,,,,
Top 50 Composite,15,SCHL,2026-03-20,DarvasBox,37.25,79.0,1,81.9,35.8,75.0,56.4,0.7,,,,,
Top 50 Composite,16,SGC,2026-04-09,CupHandle,10.65,78.7,1,70.1,74.5,90.6,47.3,14.4,,,,,
Top 50 Composite,17,VOLT,2026-04-09,DarvasBox,37.47,77.1,1,75.5,68.0,47.4,85.8,0.0,,,,,
Top 50 Composite,18,TCBI,2026-04-08,CupHandle,100.42,77.1,1,68.1,68.0,93.2,37.6,0.0,,,,,
Top 50 Composite,19,ASTH,2026-04-07,CupHandle,27.75,76.5,1,71.3,73.6,87.0,53.6,5.7,,,,,
Top 50 Composite,20,DGII,2026-04-08,CupHandle,54.16,75.2,1,72.4,68.0,71.9,42.3,0.0,,,,,
Top 50 Composite,21,CCBG,2026-04-07,CupHandle,45.31,74.4,1,64.5,72.2,99.0,54.3,0.0,,,,,
Top 50 Composite,22,GRMN,2026-04-08,Spoon,252.79,74.4,1,71.0,68.0,71.4,58.9,0.0,,,,,
