List,Rank,Symbol,Exchange,Signal,Score,Confidence,IC10d,Price,Predicted,Return,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %,ROE,P/E Ratio,Sector,Fund Quality
,,,,,,,,,,,,,,,,,,
Top 20 Momentum,1,SOC,NYSE,,,,,     9.86,,,125.63,11032022,,,,,,
Top 20 Momentum,2,DBI,NYSE,,,,,     7.78,,,79.26,1843892,,,,,,
Top 20 Momentum,3,EB,NYSE,,,,,     4.43,,,77.91,3357838,,,,,,
Top 20 Momentum,4,PL,NYSE,,,,,    20.73,,,74.20,14627964,,,,,,
Top 20 Momentum,5,AP,NYSE,,,,,     4.25,,,64.09,193362,,,-4.1%,,Industrials,⚠️
Top 20 Momentum,6,DDL,NYSE,,,,,     2.72,,,58.14,1436193,,,,,,
Top 20 Momentum,7,CPAC,NYSE,,,,,    10.58,,,57.91,212634,,,,,,
Top 20 Momentum,8,NRGV,NYSE,,,,,     5.08,,,47.67,3406990,,,,,,
Top 20 Momentum,9,RDW,NYSE,,,,,     7.82,,,41.92,12119922,,,,,,
Top 20 Momentum,10,DXYZ,NYSE,,,,,    30.88,,,37.18,2332327,,,,,,
Top 20 Momentum,11,NTCPF,NYSE,,,,,     1.95,,,36.36,331740,,,,,,
Top 20 Momentum,12,DBRG,NYSE,,,,,    13.19,,,35.84,7710378,,,,,,
Top 20 Momentum,13,TLYS,NYSE,,,,,     1.85,,,35.04,457680,,,,,,
Top 20 Momentum,14,NXDT,NYSE,,,,,     3.88,,,34.26,527463,,,,,,
Top 20 Momentum,15,ANRO,NYSE,,,,,    18.43,,,33.07,436678,,,-45.0%,,Healthcare,⚠️
Top 20 Momentum,16,WRBY,NYSE,,,,,    26.33,,,32.91,5709853,,,,,,
Top 20 Momentum,17,ALEX,NYSE,,,,,    20.61,,,31.86,1778550,,,7.3%,20.5,Real Estate,⚠️
Top 20 Momentum,18,XPOF,NYSE,,,,,     8.74,,,31.63,593349,,,,,,
Top 20 Momentum,19,VSCO,NYSE,,,,,    54.27,,,31.31,3372300,,,,,,
Top 20 Momentum,20,RRTS,NYSE,,,,,     2.77,,,31.09,3635,,,,,,
,,,,,,,,,,,,,,,,,,
Top 20 Volume,1,ORCL,NYSE,,,,,   197.49,,,,,  7272338261,6.80,,,,
Top 20 Volume,2,LLY,NYSE,,,,,  1071.64,,,,,  4104588486,0.89,,,,
Top 20 Volume,3,JPM,NYSE,,,,,   325.93,,,,,  3672594372,1.85,,,,
Top 20 Volume,4,V,NYSE,,,,,   352.09,,,,,  3052029669,1.50,,,,
Top 20 Volume,5,GEV,NYSE,,,,,   658.28,,,,,  3000110310,-3.39,,,,
Top 20 Volume,6,TSM,NYSE,,,,,   298.80,,,,,  2986753743,3.84,,,,
Top 20 Volume,7,WMT,NYSE,,,,,   111.74,,,,,  2306281108,-4.32,,,,
Top 20 Volume,8,NKE,NYSE,,,,,    58.71,,,,,  2220204425,-13.38,,,,
Top 20 Volume,9,C,NYSE,,,,,   119.40,,,,,  2186367924,5.85,6.8%,16.6,Financial Services,⚠️
Top 20 Volume,10,UNH,NYSE,,,,,   324.80,,,,,  2167360472,-4.78,,,,
Top 20 Volume,11,BAC,NYSE,,,,,    56.17,,,,,  2158877605,1.52,10.2%,14.2,Financial Services,⚠️
Top 20 Volume,12,MRK,NYSE,,,,,   101.09,,,,,  2139365689,0.83,,,,
Top 20 Volume,13,GS,NYSE,,,,,   901.71,,,,,  2045458673,1.36,,,,
Top 20 Volume,14,XOM,NYSE,,,,,   119.11,,,,,  1987038149,1.15,,,,
Top 20 Volume,15,CRM,NYSE,,,,,   266.08,,,,,  1892555819,4.52,,,,
Top 20 Volume,16,JNJ,NYSE,,,,,   207.63,,,,,  1824986517,-3.05,,,,
Top 20 Volume,17,HD,NYSE,,,,,   344.97,,,,,  1812974065,-3.37,,,,
Top 20 Volume,18,CAT,NYSE,,,,,   582.42,,,,,  1806245002,-1.24,43.5%,36.8,Industrials,⚠️
Top 20 Volume,19,NOW,NYSE,,,,,   154.36,,,,,  1755935036,-79.83,,,,
Top 20 Volume,20,ABBV,NYSE,,,,,   228.79,,,,,  1627397422,0.59,138.0%,169.7,Healthcare,⚠️
