List,Rank,Symbol,Exchange,Signal,Score,Confidence,IC10d,Price,Predicted,Return,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50,1,CRL,,STRONG_BUY,68.8,HIGH (76%),0.115,187.12,239.31,+27.89%,,,,
Top 50,2,VIK,,STRONG_BUY,68.9,HIGH (75%),0.039,67.54,79.48,+17.68%,,,,
Top 50,3,BKV,,STRONG_BUY,67.8,HIGH (76%),0.14,29.07,33.6,+15.57%,,,,
Top 50,4,AME,,STRONG_BUY,69.1,MEDIUM (74%),0.07,199.8,258.96,+29.61%,,,,
Top 50,5,NBR,,STRONG_BUY,67.2,HIGH (76%),0.057,56.31,64.02,+13.70%,,,,
Top 50,6,KODK,,STRONG_BUY,65.2,HIGH (77%),0.114,8.48,9.82,+15.86%,,,,
Top 50,7,ST,,STRONG_BUY,67.9,MEDIUM (73%),0.134,34.4,44.35,+28.92%,,,,
Top 50,8,PLOW,,STRONG_BUY,63.3,HIGH (76%),0.074,32.11,39.25,+22.22%,,,,
Top 50,9,MUR,,STRONG_BUY,64.6,MEDIUM (73%),0.113,32.07,39.67,+23.71%,,,,
Top 50,10,PFSI,,STRONG_BUY,64.1,MEDIUM (73%),0.17,133.86,160.88,+20.19%,,,,
Top 50,11,DDS,,STRONG_BUY,66.6,MEDIUM (71%),0.055,698.18,803.51,+15.09%,,,,
Top 50,12,NXG,,STRONG_BUY,63.4,MEDIUM (74%),0.193,51.04,65.76,+28.84%,,,,
Top 50,13,QSR,,STRONG_BUY,65.3,MEDIUM (71%),0.102,73.54,94.48,+28.48%,,,,
Top 50,14,OWLT,,STRONG_BUY,61.1,HIGH (75%),0.12,14.59,14.17,-2.87%,,,,
Top 50,15,HL,,STRONG_BUY,62.2,MEDIUM (73%),0.074,17.0,17.08,+0.45%,,,,
Top 50,16,MOH,,STRONG_BUY,61.8,MEDIUM (71%),0.094,156.88,201.38,+28.37%,,,,
Top 50,17,RRX,,STRONG_BUY,61.8,MEDIUM (70%),0.085,148.85,191.81,+28.86%,,,,
Top 50,18,SHOC,,STRONG_BUY,61.0,MEDIUM (71%),0.065,71.15,81.22,+14.15%,,,,
Top 50,19,MSGE,,STRONG_BUY,59.6,MEDIUM (70%),0.085,52.97,61.28,+15.68%,,,,
Top 50,20,TALO,,STRONG_BUY,60.8,MEDIUM (69%),0.184,11.46,13.99,+22.12%,,,,
Top 50,21,HTB,,STRONG_BUY,59.1,MEDIUM (70%),0.162,42.26,53.84,+27.41%,,,,
Top 50,22,WMT,,STRONG_BUY,58.6,MEDIUM (70%),0.085,115.06,123.4,+7.25%,,,,
Top 50,23,LC,,STRONG_BUY,59.5,MEDIUM (69%),0.031,19.53,20.12,+3.04%,,,,
Top 50,24,DIAX,,STRONG_BUY,58.2,MEDIUM (70%),0.19,15.22,19.06,+25.22%,,,,
Top 50,25,DBI,,STRONG_BUY,59.7,MEDIUM (68%),0.122,7.2,8.69,+20.73%,,,,
Top 50,26,MIXT,,STRONG_BUY,59.6,MEDIUM (68%),0.174,14.55,15.88,+9.16%,,,,
Top 50,27,ASA,,STRONG_BUY,59.9,MEDIUM (67%),0.147,53.88,52.46,-2.63%,,,,
Top 50,28,HBM,,STRONG_BUY,59.3,MEDIUM (68%),0.065,17.57,18.84,+7.26%,,,,
Top 50,29,STXV,,STRONG_BUY,57.7,MEDIUM (69%),0.167,33.26,41.69,+25.34%,,,,
Top 50,30,HTH,,STRONG_BUY,60.2,MEDIUM (66%),0.093,35.11,43.4,+23.60%,,,,
Top 50,31,ENVA,,STRONG_BUY,60.4,MEDIUM (66%),0.048,137.14,143.46,+4.61%,,,,
Top 50,32,CDAY,,STRONG_BUY,57.7,MEDIUM (69%),0.397,69.52,88.1,+26.72%,,,,
Top 50,33,SKY,,STRONG_BUY,60.2,MEDIUM (66%),0.086,85.38,102.08,+19.56%,,,,
Top 50,34,GAB,,STRONG_BUY,58.0,MEDIUM (68%),0.178,6.21,7.7,+23.92%,,,,
Top 50,35,LCII,,STRONG_BUY,58.3,MEDIUM (67%),0.106,115.0,136.63,+18.80%,,,,
Top 50,36,CFR,,STRONG_BUY,57.4,MEDIUM (67%),0.077,126.64,154.17,+21.74%,,,,
Top 50,37,M,,STRONG_BUY,57.3,MEDIUM (67%),0.035,22.57,25.62,+13.50%,,,,
Top 50,38,BGS,,STRONG_BUY,55.8,MEDIUM (69%),0.21,4.64,5.89,+26.84%,,,,
Top 50,39,GS,,STRONG_BUY,58.3,MEDIUM (66%),0.057,866.69,898.67,+3.69%,,,,
Top 50,40,FNV,,STRONG_BUY,57.9,MEDIUM (66%),0.093,202.93,225.69,+11.22%,,,,
Top 50,41,CNM,,STRONG_BUY,56.7,MEDIUM (68%),0.118,51.56,64.72,+25.53%,,,,
Top 50,42,DIN,,STRONG_BUY,57.2,MEDIUM (67%),0.1,34.49,41.37,+19.96%,,,,
Top 50,43,FTV,,STRONG_BUY,62.7,MEDIUM (61%),0.048,53.75,70.96,+32.02%,,,,
Top 50,44,ARES,,STRONG_BUY,58.0,MEDIUM (66%),0.069,163.07,195.22,+19.72%,,,,
Top 50,45,NE,,STRONG_BUY,58.1,MEDIUM (66%),0.074,30.62,38.59,+26.03%,,,,
Top 50,46,DLX,,STRONG_BUY,56.2,MEDIUM (68%),0.039,20.89,25.94,+24.19%,,,,
Top 50,47,FIS,,STRONG_BUY,60.4,MEDIUM (63%),0.092,66.66,88.0,+32.01%,,,,
