List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50 Composite,1,BA,2026-01-02,CupHandle,227.77,75.8,2,76.1,73.6,79.7,41.2,3.7,,,,,
Top 50 Composite,2,MSB,2025-12-22,CupHandle,35.84,75.0,3,79.3,74.8,47.9,78.4,11.0,,,,,
Top 50 Composite,3,MUR,2025-12-16,CupHandle,31.23,71.1,3,72.6,69.0,81.8,32.5,0.0,,,,,
Top 50 Composite,4,IRS,2025-12-18,CupHandle,15.57,70.2,3,67.6,73.1,100.0,42.1,0.0,,,,,
Top 50 Composite,5,MEC,2025-12-19,CupHandle,17.33,69.6,3,80.8,31.6,77.6,44.9,0.0,,,,,
Top 50 Composite,6,DAN,2025-12-19,CupHandle,23.73,68.9,3,72.1,72.0,69.8,24.9,0.0,,,,,
Top 50 Composite,7,SNDR,2025-12-19,CupHandle,27.01,68.4,3,79.2,29.2,88.0,34.7,0.0,,,,,
Top 50 Composite,8,SSL,2026-01-02,CupHandle,6.66,68.0,3,72.0,50.1,90.6,60.3,0.0,,,,,
Top 50 Composite,9,MATV,2025-12-19,CupHandle,12.49,67.0,3,68.4,66.2,87.5,40.7,0.0,,,,,
Top 50 Composite,10,ARR,2026-01-02,CupHandle,18.09,66.4,3,70.5,72.0,60.9,40.2,0.0,,,,,
Top 50 Composite,11,UAN,2025-12-30,CupHandle,98.27,64.6,4,60.2,88.3,97.9,58.5,16.4,,,,,
Top 50 Composite,12,QTWO,2025-12-19,CupHandle,74.14,64.5,4,77.9,31.6,72.4,25.4,0.0,,,,,
Top 50 Composite,13,CLDT,2025-12-19,CupHandle,6.99,64.5,4,68.1,74.9,59.4,45.0,0.0,,,,,
Top 50 Composite,14,LTM,2026-01-02,CupHandle,54.58,62.4,4,72.0,37.4,84.9,39.7,0.0,,,,,
Top 50 Composite,15,BROS,2025-12-18,CupHandle,64.97,62.4,4,67.2,62.9,74.0,40.2,0.0,,,,,
Top 50 Composite,16,HLN,2025-12-23,Spoon,10.11,62.4,4,70.5,53.0,72.9,25.1,0.0,,,,,
Top 50 Composite,17,SOBO,2025-12-30,CupHandle,28.40,62.3,4,68.4,57.8,61.5,82.1,0.0,,,,,
Top 50 Composite,18,BHC,2025-12-23,CupHandle,7.32,62.2,4,66.8,67.7,64.6,50.6,0.0,,,,,
Top 50 Composite,19,GRDN,2025-12-19,CupHandle,31.54,60.9,4,77.6,16.1,74.5,39.7,0.0,,,,,
Top 50 Composite,20,CTO,2025-12-18,CupHandle,18.52,60.8,4,65.5,73.9,58.3,36.5,0.0,,,,,
Top 50 Composite,21,CPAY,2025-12-16,CupHandle,312.42,60.7,4,74.7,29.8,72.4,29.1,0.0,,,,,
Top 50 Composite,22,KNF,2025-12-16,CupHandle,76.22,60.5,4,75.9,29.8,61.5,36.4,0.0,,,,,
Top 50 Composite,23,PFSI,2025-12-19,CupHandle,134.62,60.5,4,66.6,56.6,80.7,26.5,0.0,,,,,
Top 50 Composite,24,DIN,2025-12-29,CupHandle,32.48,60.5,4,73.1,44.9,50.5,50.3,0.0,,,,,
Top 50 Composite,25,TPB,2025-12-15,CupHandle,109.61,60.3,4,63.7,68.7,75.5,38.6,0.0,,,,,
Top 50 Composite,26,CRL,2025-12-19,CupHandle,197.06,60.0,4,71.8,30.0,87.5,28.6,0.0,,,,,
Top 50 Composite,27,CHCT,2025-12-19,CupHandle,15.94,59.7,4,61.7,72.5,79.7,34.4,0.0,,,,,
Top 50 Composite,28,QXO,2025-12-19,CupHandle,21.80,59.0,4,74.7,8.7,91.1,51.0,0.0,,,,,
Top 50 Composite,29,CARS,2025-12-16,CupHandle,13.31,58.2,4,72.0,38.1,61.5,30.3,0.0,,,,,
