List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %,ROE,P/E Ratio,Sector,Fund Quality
Top 50 Composite,1,AIN,2026-01-08,CupHandle,55.24,73.7,3,76.0,69.8,68.8,54.7,2.2,,,,,,-6.1%,,Consumer Cyclical,⚠️
Top 50 Composite,2,JKS,2026-01-12,CupHandle,29.18,73.0,3,74.6,67.9,68.8,77.6,0.0,,,,,,,,,
Top 50 Composite,3,BAP,2026-01-08,CupHandle,303.84,71.4,3,69.1,84.5,76.0,61.3,3.9,,,,,,18.5%,15.5,Financial Services,✅
Top 50 Composite,4,FFWM,2026-01-08,CupHandle,6.31,70.2,3,71.8,71.5,77.1,34.3,0.0,,,,,,,,,
Top 50 Composite,5,RKT,2026-01-09,CupHandle,23.29,70.1,3,76.8,63.3,43.2,83.0,0.4,,,,,,,,,
Top 50 Composite,6,SSL,2026-01-09,CupHandle,6.87,69.3,3,73.6,67.5,59.9,61.4,1.0,,,,,,,,,
Top 50 Composite,7,LTM,2026-01-08,CupHandle,57.59,69.0,3,78.0,49.4,56.2,66.6,0.0,,,,,,,,,
Top 50 Composite,8,CLH,2026-01-09,CupHandle,253.42,68.8,3,71.6,64.1,73.4,66.7,0.9,,,,,,,,,
Top 50 Composite,9,BALL,2026-01-06,CupHandle,54.30,68.6,3,73.2,72.4,52.6,50.6,0.0,,,,,,11.7%,22.1,Consumer Cyclical,⚠️
Top 50 Composite,10,NVGS,2026-01-07,CupHandle,18.48,68.6,3,70.6,70.2,68.2,66.0,0.0,,,,,,,,,
Top 50 Composite,11,TSN,2026-01-12,CupHandle,59.42,68.3,3,63.4,87.2,88.0,57.7,0.0,,,,,,,,,
Top 50 Composite,12,SMFG,2026-01-09,CupHandle,20.20,68.0,3,72.3,71.9,53.1,58.5,0.0,,,,,,,,,
Top 50 Composite,13,DIN,2025-12-29,CupHandle,32.48,67.6,3,73.1,72.8,45.3,55.7,0.0,,,,,,,,,
Top 50 Composite,14,WPP,2026-01-05,CupHandle,23.55,67.6,3,84.5,20.3,56.8,55.8,0.0,,,,,,,,,
Top 50 Composite,15,HLIO,2026-01-06,CupHandle,59.46,67.1,3,72.1,67.2,57.8,56.5,0.0,,,,,,,,,
Top 50 Composite,16,BTU,2026-01-09,CupHandle,33.80,66.8,3,70.9,68.4,59.4,65.9,0.7,,,,,,-0.4%,,Energy,⚠️
Top 50 Composite,17,IHS,2026-01-07,CupHandle,7.64,66.7,3,75.0,52.6,55.7,73.0,0.0,,,,,,,,,
Top 50 Composite,18,PM,2026-01-05,CupHandle,159.86,66.7,3,66.8,78.2,76.6,45.6,1.8,,,,,,,,,
Top 50 Composite,19,BDX,2026-01-05,CupHandle,198.96,66.4,3,71.0,63.6,70.8,42.3,0.0,,,,,,6.5%,34.7,Healthcare,⚠️
Top 50 Composite,20,SNDR,2026-01-06,CupHandle,28.56,66.1,3,66.6,71.2,86.5,42.1,1.5,,,,,,,,,
Top 50 Composite,21,PEN,2026-01-06,CupHandle,316.97,65.9,3,70.2,54.3,79.2,73.5,0.0,,,,,,,,,
Top 50 Composite,22,TPVG,2025-12-31,CupHandle,6.54,65.7,3,68.7,68.8,74.5,36.7,0.0,,,,,,,,,
Top 50 Composite,23,ARR,2026-01-06,CupHandle,18.22,65.3,3,72.5,60.5,52.6,66.9,0.1,,,,,,3.7%,89.8,Real Estate,⚠️
Top 50 Composite,24,BROS,2026-01-06,CupHandle,63.26,64.6,4,72.7,59.0,55.7,45.0,0.0,,,,,,11.7%,113.8,Consumer Cyclical,⚠️
Top 50 Composite,25,KNX,2026-01-07,CupHandle,55.14,64.6,4,64.0,70.4,88.5,62.4,0.0,,,,,,,,,
Top 50 Composite,26,VSH,2026-01-07,CupHandle,16.20,64.5,4,72.7,43.7,78.6,52.2,0.0,,,,,,,,,
Top 50 Composite,27,TPB,2026-01-09,CupHandle,109.97,64.4,4,72.4,62.2,47.9,56.4,0.0,,,,,,,,,
Top 50 Composite,28,AXL,2026-01-06,CupHandle,7.05,64.3,4,69.1,68.8,58.9,59.6,1.9,,,,,,6.3%,23.5,Consumer Cyclical,⚠️
Top 50 Composite,29,JEF,2026-01-07,CupHandle,64.67,64.0,4,79.2,19.4,65.1,82.0,1.0,,,,,,,,,
Top 50 Composite,30,TEX,2026-01-08,CupHandle,58.66,63.9,4,69.1,49.5,84.9,65.3,0.0,,,,,,,,,
