List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50 Composite,1,DVXB,2026-02-03,CupHandle,28.80,76.7,2,83.5,74.0,50.0,72.7,28.0,,,,,
Top 50 Composite,2,HOFT,2026-01-26,CupHandle,13.03,73.0,3,80.7,78.8,26.0,65.4,13.4,,,,,
Top 50 Composite,3,JOUT,2026-02-02,CupHandle,47.36,72.5,3,70.0,83.2,82.8,62.8,8.8,,,,,
Top 50 Composite,4,FRST,2026-01-21,CupHandle,14.02,72.5,3,77.7,80.5,30.2,72.5,4.5,,,,,
Top 50 Composite,5,INVA,2026-02-03,CupHandle,21.00,71.0,3,71.1,69.4,80.7,68.4,0.8,,,,,
Top 50 Composite,6,ZEUS,2026-01-20,CupHandle,49.17,70.8,3,81.6,71.4,10.9,56.9,0.4,,,,,
Top 50 Composite,7,CNTA,2026-01-21,CupHandle,23.23,70.1,3,77.5,59.8,58.9,33.8,0.0,,,,,
Top 50 Composite,8,GLIBA,2026-02-04,CupHandle,39.56,68.8,3,71.0,87.2,50.0,66.3,13.1,,,,,
Top 50 Composite,9,AEBI,2026-02-02,CupHandle,15.14,68.1,3,70.1,81.2,50.0,69.0,0.0,,,,,
Top 50 Composite,10,SNEX,2026-02-04,CupHandle,117.37,67.7,3,76.0,73.6,16.1,87.1,0.0,,,,,
Top 50 Composite,11,FGBIP,2026-02-02,CupHandle,17.14,67.2,3,75.0,68.6,49.0,72.2,20.2,,,,,
Top 50 Composite,12,GLIBK,2026-02-04,CupHandle,39.10,67.2,3,73.6,65.1,50.0,62.4,0.0,,,,,
Top 50 Composite,13,CIZN,2026-02-03,CupHandle,8.99,66.3,3,74.7,68.4,43.2,100.0,27.1,,,,,
Top 50 Composite,14,WEST,2026-02-04,CupHandle,5.06,65.5,3,74.3,64.8,38.0,55.1,0.0,,,,,
Top 50 Composite,15,OVLY,2026-01-21,CupHandle,31.79,65.3,3,73.5,76.7,31.2,70.9,17.0,,,,,
Top 50 Composite,16,FSEA,2026-01-27,CupHandle,13.00,64.7,4,64.9,73.7,82.3,100.0,19.4,,,,,
Top 50 Composite,17,OFLX,2026-02-02,CupHandle,35.53,64.4,4,77.7,59.1,24.0,68.6,11.6,,,,,
Top 50 Composite,18,ON,2026-01-30,CupHandle,59.89,64.4,4,71.8,88.4,6.2,64.5,0.0,,,,,
