================================================================================
TOP 50 STOCKS - Generated: 2025-11-22 00:42:56
Analysis Period: 2023-11-10 to 2025-11-19
Total Stocks Analyzed: 6022
================================================================================

Rank  Symbol    Signal           Score    Confidence   IC10d       Price   Predicted    Return
----------------------------------------------------------------------------------------------
1     CBFV      BUY               20.0  HIGH (80%)   0.000       32.78       36.06   +10.00%
2     CBIO      BUY               20.0  HIGH (80%)   0.000       13.03       14.33   +10.00%
3     INVA      BUY               20.0  HIGH (80%)   0.000       21.87       24.06   +10.00%
4     OMQS      BUY               20.0  HIGH (80%)   0.000        0.18        0.20   +10.00%
5     AACG      BUY               20.0  HIGH (80%)   0.000        1.26        1.39   +10.00%
6     OMCL      BUY               20.0  HIGH (80%)   0.000       34.32       37.75   +10.00%
7     AACIU     BUY               20.0  HIGH (80%)   0.000       11.99       13.19   +10.00%
8     OMCC      BUY               20.0  HIGH (80%)   0.000        5.06        5.57   +10.00%
9     ZVSA      BUY               20.0  HIGH (80%)   0.000        0.14        0.15   +10.00%
10    CBRG      BUY               20.0  HIGH (80%)   0.000       11.46       12.61   +10.00%
11    AAGR      BUY               20.0  HIGH (80%)   0.000        0.01        0.01   +10.00%
12    OMAB      BUY               20.0  HIGH (80%)   0.000      101.32      111.45   +10.00%
13    AAL       BUY               20.0  HIGH (80%)   0.000       12.33       13.56   +10.00%
14    OLLI      BUY               20.0  HIGH (80%)   0.000      122.89      135.18   +10.00%
15    ZTWO      BUY               20.0  HIGH (80%)   0.000       50.81       55.90   +10.00%
16    OKYO      BUY               20.0  HIGH (80%)   0.000        2.15        2.36   +10.00%
17    AAON      BUY               20.0  HIGH (80%)   0.000       91.88      101.07   +10.00%
18    OFSSO     BUY               20.0  HIGH (80%)   0.000       25.42       27.96   +10.00%
19    ZMUN      BUY               20.0  HIGH (80%)   0.000       50.16       55.17   +10.00%
20    OFED      BUY               20.0  HIGH (80%)   0.000       14.31       15.74   +10.00%
21    AAPL      BUY               20.0  HIGH (80%)   0.000      271.49      298.64   +10.00%
22    OESX      BUY               20.0  HIGH (80%)   0.000       15.04       16.54   +10.00%
23    ZKIN      BUY               20.0  HIGH (80%)   0.000        2.58        2.84   +10.00%
24    CUBWU     BUY               20.0  HIGH (80%)   0.000       10.66       11.73   +10.00%
25    CLAYU     BUY               20.0  HIGH (80%)   0.000       10.97       12.07   +10.00%
26    QRHC      BUY               20.0  HIGH (80%)   0.000        1.73        1.90   +10.00%
27    DYCQU     BUY               20.0  HIGH (80%)   0.000       12.51       13.76   +10.00%
28    NMRA      BUY               20.0  HIGH (80%)   0.000        2.59        2.85   +10.00%
29    BCAR      BUY               20.0  HIGH (80%)   0.000       10.08       11.09   +10.00%
30    LSBK      BUY               20.0  HIGH (80%)   0.000       14.10       15.51   +10.00%
31    APTO      BUY               20.0  HIGH (80%)   0.000        1.71        1.88   +10.00%
32    DISH      BUY               20.0  HIGH (80%)   0.000        5.77        6.35   +10.00%
33    PLMJU     BUY               20.0  HIGH (80%)   0.000       11.40       12.54   +10.00%
34    GOSS      BUY               20.0  HIGH (80%)   0.000        3.06        3.37   +10.00%
35    OAKU      BUY               20.0  HIGH (80%)   0.000       12.44       13.68   +10.00%
36    SDHIU     BUY               20.0  HIGH (80%)   0.000       11.00       12.10   +10.00%
37    BAFE      BUY               20.0  HIGH (80%)   0.000       25.98       28.57   +10.00%
38    TMTCR     BUY               20.0  HIGH (80%)   0.000        0.38        0.42   +10.00%
39    MDIV      BUY               20.0  HIGH (80%)   0.000       15.66       17.23   +10.00%
40    RGCO      BUY               20.0  HIGH (80%)   0.000       21.08       23.19   +10.00%
41    LCAHU     BUY               20.0  HIGH (80%)   0.000       10.75       11.82   +10.00%
42    VIGL      BUY               20.0  HIGH (80%)   0.000        8.05        8.86   +10.00%
43    IXUS      BUY               20.0  HIGH (80%)   0.000       82.46       90.71   +10.00%
44    PRST      BUY               20.0  HIGH (80%)   0.000        0.00        0.00   +10.00%
45    IBB       BUY               20.0  HIGH (80%)   0.000      167.52      184.27   +10.00%
46    SPEGU     BUY               20.0  HIGH (80%)   0.000       10.40       11.44   +10.00%
47    GTERU     BUY               20.0  HIGH (80%)   0.000       10.31       11.35   +10.00%
48    PCVX      BUY               20.0  HIGH (80%)   0.000       48.34       53.17   +10.00%
49    GECCO     BUY               20.0  HIGH (80%)   0.000       25.25       27.77   +10.00%
50    FEXDW     BUY               20.0  HIGH (80%)   0.000        0.00        0.00   +10.00%

==============================================================================================
Summary: 21 STRONG_BUY, 2152 BUY, 0 NEUTRAL, 3849 SELL, 0 STRONG_SELL
==============================================================================================
