================================================================================
TOP 50 STOCKS - Generated: 2026-03-20 01:45:03
Analysis Period: 2023-06-01 to 2026-03-18
Total Stocks Analyzed: 126
================================================================================

Rank  Symbol    Signal           Score    Confidence   IC10d  Hist   Prior  BScore       Price   Predicted    Return
--------------------------------------------------------------------------------------------------------------------
1     EQX       SELL             -10.1   LOW (24%)   1.000   111    0.17     3.4         nan        6.05      nan%
2     IMO       SELL             -11.4   LOW (24%)   1.000   112    0.17     3.2         nan       64.55      nan%
3     BDL       SELL              -7.5   LOW (24%)   1.000    81    0.12     2.4         nan       24.26      nan%
4     USAS      STRONG_SELL      -17.5   LOW (29%)   1.000   127    0.19     2.3         nan        0.57      nan%
5     BATL      SELL              -7.4   LOW (24%)   1.000    75    0.11     2.2         nan        1.26      nan%
6     UMAC      NEUTRAL           -4.1   LOW (24%)   1.000    62    0.09     2.1         nan        9.71      nan%
7     AULTpD    BUY                6.7   LOW (19%)   1.000    27    0.04     2.1       21.07       17.83   -15.41%
8     NML       NEUTRAL           -4.1   LOW (19%)   1.000    56    0.08     2.0         nan        8.30      nan%
9     BMNR      SELL             -11.8   LOW (25%)   1.000    89    0.14     2.0         nan       29.71      nan%
10    NHS       NEUTRAL            0.8   LOW (19%)   1.000    39    0.06     1.9         nan        6.93      nan%
11    CNDA      NEUTRAL            6.6   LOW (27%)   0.104    14    0.02     1.9       11.42       11.22    -1.76%
12    IAF       NEUTRAL            0.8   LOW (19%)   1.000    38    0.06     1.8         nan       10.20      nan%
13    SCCF      BUY                5.0   LOW (19%)   1.000    24    0.04     1.8         nan       18.97      nan%
14    LEGT      NEUTRAL           -4.1   LOW (19%)   1.000    43    0.07     1.4         nan       10.00      nan%
15    NG        SELL             -13.5   LOW (29%)   1.000    89    0.14     1.4         nan        3.45      nan%
16    GRAF      NEUTRAL           -1.4   LOW (29%)   1.000    33    0.05     1.2       10.70       10.43    -2.48%
17    SIF       NEUTRAL           -0.1   LOW (19%)   1.000    24    0.04     1.1         nan        3.71      nan%
18    SCCB      NEUTRAL            3.4   LOW (22%)  -0.049    12    0.02     1.1       24.98       24.90    -0.30%
19    ISOU      NEUTRAL           -0.1   LOW (19%)   1.000    23    0.03     1.0         nan       11.06      nan%
20    GRF       NEUTRAL           -1.2   LOW (29%)   1.000    27    0.04     1.0       10.36        9.58    -7.50%
21    UTG       SELL              -6.0   LOW (24%)   1.000    43    0.07     0.9         nan       22.19      nan%
22    CIX       NEUTRAL           -2.6   LOW (19%)   1.000    28    0.04     0.9         nan       20.07      nan%
23    MXC       NEUTRAL           -0.1   LOW (19%)   1.000    20    0.03     0.9         nan       11.67      nan%
24    DIT       NEUTRAL           -4.2   LOW (24%)   1.000    33    0.05     0.8      118.50      114.77    -3.15%
25    NGD       STRONG_SELL      -20.9   LOW (33%)   1.000   125    0.19     0.8         nan        2.63      nan%
26    BKTI      SELL             -13.5   LOW (29%)   1.000    74    0.11     0.7         nan       12.39      nan%
27    OBE       SELL              -7.4   LOW (24%)   1.000    42    0.06     0.7         nan        5.79      nan%
28    ACU       SELL             -13.5   LOW (29%)   1.000    73    0.11     0.6         nan       37.66      nan%
29    BHM       SELL              -7.9   LOW (24%)   1.000    42    0.06     0.6         nan       13.91      nan%
30    PHGE      SELL              -6.0   LOW (24%)   1.000    34    0.05     0.5         nan        9.40      nan%
31    SEB       SELL              -6.8   LOW (24%)   1.000    36    0.05     0.5         nan     4877.95      nan%
32    INFU      NEUTRAL           -4.1   LOW (19%)   1.000    18    0.03     0.3         nan       10.04      nan%
33    LEU       SELL             -12.8   LOW (29%)   1.000    62    0.09     0.3         nan       87.89      nan%
34    BHB       SELL             -13.5   LOW (29%)   1.000    65    0.10     0.3         nan       30.11      nan%
35    UUUU      SELL             -15.9   LOW (29%)   1.000    72    0.11     0.1         nan        5.68      nan%
36    GLU       SELL              -9.3   LOW (29%)   1.000    42    0.06     0.1       19.87       16.70   -15.97%
37    EGG       NEUTRAL           -3.0   LOW (20%)   1.000     6    0.01    -0.1         nan        6.00      nan%
38    CMT       NEUTRAL           -4.1   LOW (19%)   1.000     2    0.00    -0.5         nan       17.95      nan%
39    PED       NEUTRAL           -4.1   LOW (24%)   1.000     2    0.00    -0.6         nan        0.60      nan%
40    FSI       SELL              -6.0   LOW (24%)   1.000     1    0.00    -1.0         nan        5.81      nan%
41    SENS      SELL              -6.1   LOW (24%)   1.000    15    0.02    -0.3         nan        6.96      nan%
42    INLX      SELL              -6.6   LOW (24%)   1.000     2    0.00    -1.0         nan        7.01      nan%
43    LGCY      SELL              -6.8   LOW (24%)   1.000    23    0.03    -0.1         nan        8.01      nan%
44    GIF       SELL              -6.9   LOW (24%)   1.000     3    0.00    -1.0         nan        4.36      nan%
45    VKI       SELL              -7.3   LOW (24%)   1.000     1    0.00    -1.2         nan        7.89      nan%
46    PTN       SELL              -7.5   LOW (24%)   1.000    16    0.02    -0.5         nan       10.22      nan%
47    OZ        SELL              -7.5   LOW (24%)   1.000    18    0.03    -0.4         nan       62.63      nan%
48    RIFr      SELL              -9.3   LOW (24%)   1.000    12    0.02    -1.0         nan       24.13      nan%
49    EVI       SELL              -9.3   LOW (24%)   1.000     1    0.00    -1.5         nan       20.37      nan%
50    ACCS      SELL              -8.2   LOW (29%)   1.000    29    0.04    -0.3         nan        9.19      nan%

====================================================================================================================
Summary: 0 STRONG_BUY, 2 BUY, 19 NEUTRAL, 75 SELL, 30 STRONG_SELL | Avg IC: 0.945 (126 IC-enabled)
Bayesian Ranking: Enabled (alpha=659 historical runs analyzed)
====================================================================================================================
