================================================================================
TOP 50 STOCKS - ML + FUNDAMENTAL RANKING
Database: AMEX_Yahoo
Date: 2026-03-18
Ranking Method: Baseline (Rule-Based)
Fallback Reason: Training error: Input y contains NaN.
Scoring: Technical Only (Fundamental scoring disabled)
Fundamental Filter: DISABLED
================================================================================

Rank  Symbol    Score   Baseline  IC_10d  Pattern     
--------------------------------------------------------------------------------
1      AAP           nan      nan     0.0000   nan         
2      AAp           nan      nan     0.0000   nan         
3      ACCS          nan      nan     0.0000   nan         
4      ACU           nan      nan     0.0000   nan         
5      AEF           nan      nan     0.0000   nan         
6      AEON          nan      nan     0.0000   nan         
7      AIM           nan      nan     0.0000   nan         
8      AIRI          nan      nan     0.0000   nan         
9      AMA           nan      nan     0.0000   nan         
10     AMBO          nan      nan     0.0000   nan         
11     AMPE          nan      nan     0.0000   nan         
12     AMS           nan      nan     0.0000   nan         
13     AMZE          nan      nan     0.0000   nan         
14     ANV           nan      nan     0.0000   nan         
15     APT           nan      nan     0.0000   nan         
16     APUS          nan      nan     0.0000   nan         
17     AREN          nan      nan     0.0000   nan         
18     ARMN          nan      nan     0.0000   nan         
19     ARMP          nan      nan     0.0000   nan         
20     ASM           nan      nan     0.0000   nan         
21     ATCH          nan      nan     0.0000   nan         
22     ATEK          nan      nan     0.0000   nan         
23     ATNM          nan      nan     0.0000   nan         
24     AULTPD        nan      nan     0.0000   nan         
25     AULTpD        nan      nan     0.0000   nan         
26     AUMN          nan      nan     0.0000   nan         
27     AUST          nan      nan     0.0000   nan         
28     AWX           nan      nan     0.0000   nan         
29     AXIL          nan      nan     0.0000   nan         
30     AZTR          nan      nan     0.0000   nan         
31     BATL          nan      nan     0.0000   nan         
32     BCV           nan      nan     0.0000   nan         
33     BDL           nan      nan     0.0000   nan         
34     BGI           nan      nan     0.0000   nan         
35     BHB           nan      nan     0.0000   nan         
36     BHM           nan      nan     0.0000   nan         
37     BKTI          nan      nan     0.0000   nan         
38     BMNR          nan      nan     0.0000   nan         
39     BQ            nan      nan     0.0000   nan         
40     BRBS          nan      nan     0.0000   nan         
41     BRIA          nan      nan     0.0000   nan         
42     BRN           nan      nan     0.0000   nan         
43     BTG           nan      nan     0.0000   nan         
44     BTIM          nan      nan     0.0000   nan         
45     BURU          nan      nan     0.0000   nan         
46     CANF          nan      nan     0.0000   nan         
47     CATX          nan      nan     0.0000   nan         
48     CCEL          nan      nan     0.0000   nan         
49     CET           nan      nan     0.0000   nan         
50     CEV           nan      nan     0.0000   nan         

================================================================================
