Symbol,Exchange,Date,IC_5d,IC_10d,IC_20d,FFT_Freq,FFT_Power,FFT_Stability,Pattern_Score,Pattern_Age,Pattern_Type,Vol_20d,ATR_20d,Volume_ZScore,Volume_Ratio_5_20,RSI_14d,RSI_Slope,MACD_Hist,MA_Ratio_50_200,Price_vs_MA50,Kurtosis_20d,Skew_20d,Current_Price,Price_Change_5d,Price_Change_20d,Num_Signals,IC_Enabled_Count,Baseline_Score,ML_Score,Final_Score,Fundamental_Score
AAP,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.803283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.630099,-3.009213,0,0,,,,50.0
AAp,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.803283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.630099,-3.009213,0,0,,,,50.0
ACCS,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.902029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.029972,19.972072,0,0,,,,50.0
ACU,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.953186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.036629,-2.554983,0,0,,,,50.0
AEF,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,1.118404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.16622,-19.632607,0,0,,,,50.0
AEON,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,1.765393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.411207,3.571425,0,0,,,,50.0
AIM,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.080875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.083333,-23.076927,0,0,,,,50.0
AIRI,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.766231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.726712,-8.28403,0,0,,,,50.0
AMA,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,50.0
AMBO,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.673695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.477831,13.636364,0,0,,,,50.0
AMPE,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.127982,0.0,1.372719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.517858,-46.948358,0,0,,,,50.0
AMS,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,1.77276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.736321,-14.014217,0,0,,,,50.0
AMZE,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,1.031962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.319148,-41.642227,0,0,,,,50.0
ANV,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,1.317442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.306243,-0.993507,0,0,,,,50.0
APT,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.942728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.22222,-15.547024,0,0,,,,50.0
APUS,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,1.161577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.281552,40.441173,0,0,,,,50.0
AREN,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.815116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.117218,-20.76125,0,0,,,,50.0
ARMN,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.371,0.0,1.707487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.373952,-26.458799,0,0,,,,50.0
ARMP,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.991662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.238384,-22.211899,0,0,,,,50.0
ASM,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.969574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02804,-38.253637,0,0,,,,50.0
ATCH,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.846676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.131315,-23.248949,0,0,,,,50.0
ATEK,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,50.0
ATNM,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,1.426157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.207211,-12.711863,0,0,,,,50.0
AULTPD,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.471363,0.0,1.581596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31765,-0.04255,0,0,,,,50.0
AULTpD,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,1.217376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31765,-1.685751,0,0,,,,50.0
AUMN,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,1.362943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.043479,-29.725928,0,0,,,,50.0
AUST,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.591815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.201554,-32.843136,0,0,,,,50.0
AWX,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,1.059916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.775193,0.0,0,0,,,,50.0
AXIL,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,1.411836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.801367,6.401765,0,0,,,,50.0
AZTR,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.289054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.194346,37.142856,0,0,,,,50.0
BATL,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.812049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.82353,13.586957,0,0,,,,50.0
BCV,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,1.523698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648746,-4.65321,0,0,,,,50.0
BDL,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,1.910677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.011872,0,0,,,,50.0
BGI,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,1.603943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.076924,-4.657539,0,0,,,,50.0
BHB,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.582674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.532076,-1.394913,0,0,,,,50.0
BHM,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.994944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.402164,16.831681,0,0,,,,50.0
BKTI,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,1.149851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.464402,-15.719365,0,0,,,,50.0
BMNR,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.940641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.177656,-3.108536,0,0,,,,50.0
BQ,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,1.556307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.172938,-28.454824,0,0,,,,50.0
BRBS,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.592717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.759493,-1.970441,0,0,,,,50.0
BRIA,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.410815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.891302,0.610527,0,0,,,,50.0
BRN,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.411027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.680681,2.631576,0,0,,,,50.0
BTG,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,1.014205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.418365,-31.006492,0,0,,,,50.0
BTIM,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,50.0
BURU,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.804296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.194172,-63.340292,0,0,,,,50.0
CANF,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.016266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.946371,-33.894735,0,0,,,,50.0
CATX,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.825616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.539318,-24.629628,0,0,,,,50.0
CCEL,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,1.45613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.089746,-2.647063,0,0,,,,50.0
CET,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,1.122263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.397898,-7.506653,0,0,,,,50.0
CEV,AMEX,2026-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,1.749165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.826255,-7.243654,0,0,,,,50.0
