Symbol,Exchange,Date,IC_5d,IC_10d,IC_20d,FFT_Freq,FFT_Power,FFT_Stability,Pattern_Score,Pattern_Age,Pattern_Type,Vol_20d,ATR_20d,Volume_ZScore,Volume_Ratio_5_20,RSI_14d,RSI_Slope,MACD_Hist,MA_Ratio_50_200,Price_vs_MA50,Kurtosis_20d,Skew_20d,Current_Price,Price_Change_5d,Price_Change_20d,Num_Signals,IC_Enabled_Count,Baseline_Score,ML_Score,Final_Score,Fundamental_Score
RILYN,NASDAQ,2026-09-16,-0.079101,0.234499,-0.045297,0.010417,0.605317,0.992688,40.0,0,POS,0.009131,0.025495,-0.689273,0.81174,78.214953,0.627263,-0.001937,1.046677,0.008372,29.385995,-4.324412,25.2101,0.119539,0.67931,18,7,100.0,100.0,80.0,50.0
TAXT,NASDAQ,2026-09-16,0.107835,0.165716,-0.004297,0.007812,0.361691,1.0,40.0,0,POS,0.033072,0.12401,-0.142127,1.993853,22.923427,-0.45632,-0.053106,0.988877,-0.01981,4.009707,-0.790717,49.764999,-0.628998,-2.306634,18,7,100.0,100.0,80.0,50.0
FMB,NASDAQ,2026-09-16,0.110082,0.122049,0.080124,0.011285,0.546501,0.994677,40.0,0,POS,0.032759,0.185171,0.723554,2.047565,16.415045,-0.930438,-0.050883,0.98607,-0.024942,3.26417,-0.565767,49.0,-0.749441,-2.710219,18,7,100.0,100.0,80.0,50.0
APXTU,NASDAQ,2026-09-16,-0.24469,0.303331,-0.206064,0.007812,0.464098,1.0,40.0,0,POS,0.00748,0.005495,-0.216117,0.693886,69.231276,1.968117,0.004432,1.010561,0.00286,6.741607,0.415822,10.3,0.097184,0.782778,18,7,100.0,100.0,80.0,50.0
SYZ,NASDAQ,2026-09-16,-0.125607,0.13947,-0.261346,0.007812,0.838674,1.0,40.0,0,POS,0.048024,0.243185,-0.318857,0.721095,36.78037,-1.48977,-0.076015,1.071364,-0.027473,2.104535,0.097023,29.4629,-1.117933,-2.903703,18,7,100.0,100.0,80.0,50.0
SZZLU,NASDAQ,2026-09-16,-0.131325,0.303139,-0.183328,0.018229,0.420543,0.99035,40.0,0,POS,0.0,0.001,-0.205066,0.0,71.164281,0.0,-0.001785,1.006596,0.001863,28.390287,4.759526,10.54,0.0,0.0,18,7,100.0,100.0,80.0,50.0
TACOU,NASDAQ,2026-09-16,-0.023171,0.127069,-0.024933,0.010417,0.540614,0.996331,40.0,0,POS,0.018862,0.01975,-0.250824,0.0,64.562781,0.0,0.006762,1.023296,0.002855,14.706537,-0.507771,10.855,0.0,0.97674,18,7,100.0,100.0,80.0,50.0
ONBPP,NASDAQ,2026-09-16,-0.124036,0.245136,-0.135692,0.008681,0.459467,0.997551,40.0,0,POS,0.00963,0.133781,-0.784401,0.54633,48.291241,-0.490049,-0.007125,1.001397,-0.003372,4.915612,-1.116913,24.855,-0.180723,-0.020117,18,7,100.0,100.0,80.0,50.0
BUSEP,NASDAQ,2026-09-16,-0.11419,0.22206,-0.142157,0.007812,0.450064,1.0,40.0,0,POS,0.011985,0.22755,0.138015,0.963943,47.585068,-1.060975,-0.003091,1.004018,-0.002557,3.683166,-0.118545,25.9,0.193421,0.0,18,7,100.0,100.0,80.0,50.0
TAPR,NASDAQ,2026-09-16,-0.050819,0.169098,-0.106635,0.007812,0.588951,1.0,40.0,0,POS,0.004158,0.0251,0.272298,1.117699,55.709997,-2.001413,-0.008579,1.016515,0.003849,3.724498,-0.490946,26.754999,-0.112006,0.318707,18,7,100.0,100.0,80.0,50.0
TAXE,NASDAQ,2026-09-16,0.103331,0.119889,0.029425,0.010937,0.445128,0.996187,40.0,0,POS,0.030637,0.147535,0.107221,1.148045,14.110357,-1.026015,-0.046771,0.987883,-0.021049,4.087401,-0.416207,49.334999,-0.784313,-2.413216,18,7,100.0,100.0,80.0,50.0
TAXS,NASDAQ,2026-09-16,0.10069,0.107405,0.036016,0.007812,0.647284,1.0,40.0,0,POS,0.013426,0.04656,-0.480517,0.439802,22.470878,0.730573,-0.029592,0.996967,-0.006877,5.882234,-1.47986,49.785,-0.300394,-0.836574,18,7,100.0,100.0,80.0,50.0
DMIIU,NASDAQ,2026-09-16,-0.135884,0.239881,-0.230781,0.007812,0.586134,1.0,40.0,0,POS,0.0,5e-06,-0.31013,0.0,79.777229,0.0,-0.001579,1.00758,0.002189,17.320273,2.380087,10.2,0.0,0.0,18,7,100.0,100.0,80.0,50.0
FLXN,NASDAQ,2026-09-16,-0.063685,0.208665,-0.139351,0.007812,0.388812,1.0,40.0,0,POS,0.021207,0.07649,-0.12933,0.610547,31.034341,-1.349917,-0.02911,0.985745,-0.011964,3.642559,-0.432139,24.530001,-0.748531,-1.48594,18,7,100.0,100.0,80.0,50.0
LKSP,NASDAQ,2026-09-16,-0.18156,0.32237,-0.173946,0.007812,0.579458,0.0,40.0,0,POS,0.005117,0.0055,-0.267255,1.657338,76.711143,-2.026707,0.001528,1.01104,0.004634,5.1303,0.240169,10.235,0.146765,0.44161,18,7,100.0,100.0,80.0,50.0
OFSSO,NASDAQ,2026-09-16,-0.225425,0.300046,-0.143149,0.011719,0.577733,0.996109,40.0,0,POS,0.017677,0.055505,-0.500243,0.467285,66.289405,0.0,0.033995,0.997363,0.005185,9.342571,-1.143528,25.459999,0.951625,0.039286,18,7,100.0,100.0,80.0,50.0
TCBIO,NASDAQ,2026-09-16,-0.023512,0.089621,-0.058401,0.010417,0.533392,0.992688,40.0,0,POS,0.085071,0.22608,2.777875,1.262561,28.705371,2.945068,-0.041242,0.968364,-0.03183,7.75543,-0.796367,19.709999,-0.353901,-4.598261,18,7,100.0,100.0,80.0,50.0
EHLS,NASDAQ,2026-09-16,-0.09819,0.083313,-0.106956,0.009115,0.636739,0.997097,40.0,0,POS,0.022845,0.165505,-0.353004,0.029844,45.193141,0.653481,0.011979,1.003032,-0.012814,3.482411,0.28422,25.471701,-0.938431,0.412741,18,7,100.0,100.0,80.0,50.0
OCCIM,NASDAQ,2026-09-16,-0.096762,0.124312,-0.117036,0.009766,0.597951,0.996628,40.0,0,POS,0.006237,0.05843,-0.108541,0.5107,42.902931,-4.885698,-0.012718,1.001818,-0.002625,6.26759,-0.585745,25.093399,-0.343929,-0.375578,18,7,100.0,100.0,80.0,50.0
OBAWU,NASDAQ,2026-09-16,-0.195979,0.43072,-0.321731,0.007812,0.380175,1.0,40.0,0,POS,0.005532,0.0025,0.189239,0.197483,74.717566,8.324612,0.003218,1.007445,0.005578,17.567052,-0.659201,10.42,0.385356,0.482162,18,7,100.0,100.0,80.0,50.0
KCLI,NASDAQ,2026-09-16,-0.000817,0.106382,0.033652,0.007812,0.665727,1.0,40.0,0,POS,0.033194,0.108501,-0.537916,0.716529,76.078977,1.613604,-0.05905,1.056089,0.038498,11.226579,2.118103,36.259998,0.387595,2.054601,18,7,100.0,100.0,80.0,50.0
DMAAU,NASDAQ,2026-09-16,-0.164718,0.417845,-0.303319,0.007812,0.391777,1.0,40.0,0,POS,0.0,0.0,-0.182045,0.0,38.61865,0.0,0.00257,1.016351,-0.00385,30.127357,4.207628,10.79,0.0,0.0,18,7,100.0,100.0,80.0,50.0
OACCU,NASDAQ,2026-09-16,-0.160734,0.340776,-0.252487,0.013672,0.367786,0.989953,40.0,0,POS,0.0,0.0,-0.207909,0.0,78.243928,0.0,-0.005314,1.01393,0.005528,22.242492,2.625514,10.999,0.0,0.0,18,7,100.0,100.0,80.0,50.0
BHFAP,NASDAQ,2026-09-16,-0.033821,0.121597,-0.038974,0.009549,0.536021,0.995114,40.0,0,POS,0.088106,0.218235,0.049599,0.903632,34.364177,1.988738,-0.076582,0.916187,-0.032772,9.79907,0.270975,13.61,-4.289737,-0.073423,18,7,100.0,100.0,80.0,50.0
