Symbol,Exchange,Date,IC_5d,IC_10d,IC_20d,FFT_Freq,FFT_Power,FFT_Stability,Pattern_Score,Pattern_Age,Pattern_Type,Vol_20d,ATR_20d,Volume_ZScore,Volume_Ratio_5_20,RSI_14d,RSI_Slope,MACD_Hist,MA_Ratio_50_200,Price_vs_MA50,Kurtosis_20d,Skew_20d,Current_Price,Price_Change_5d,Price_Change_20d,Num_Signals,IC_Enabled_Count,Baseline_Score,ML_Score,Final_Score,Fundamental_Score
A,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,4.6567,0.0,0.739742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.538667,8.310829,0,0,,,,50.0
AA,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,4.425951,0.0,1.126477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.827618,-6.850758,0,0,,,,50.0
AAM,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.02905,0.0,1.479978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.093723,0.178555,0,0,,,,50.0
AAMI,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,2.891119,0.0,0.972132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.727654,13.986498,0,0,,,,50.0
AAP,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,3.136,0.0,0.558717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.122645,-0.88707,0,0,,,,50.0
AAPw,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.00075,0.0,0.813199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.951819,-5.934932,0,0,,,,50.0
AAT,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.5352,0.0,0.802857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.65306,7.674947,0,0,,,,50.0
AAUC,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.92345,0.0,1.421371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.075022,-3.653482,0,0,,,,50.0
AApB,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.62,0.0,0.92902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.471832,-6.772462,0,0,,,,50.0
AB,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.61538,0.0,0.900307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.32307,-5.265911,0,0,,,,50.0
ABBV,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,5.355747,0.0,0.89606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.653701,3.137527,0,0,,,,50.0
ABCB,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.52875,0.0,1.484041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.635392,1.462788,0,0,,,,50.0
ABEV,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.07916,0.0,1.021679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.964637,-3.975531,0,0,,,,50.0
ABG,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,5.046265,0.0,0.98393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.037753,2.562304,0,0,,,,50.0
ABM,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.237499,0.0,1.203835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.097837,8.374877,0,0,,,,50.0
