================================================================================
TOP 20 MOMENTUM STOCKS - Generated: 2026-03-04 20:33:04
Analysis Period: 20-day momentum (percentage change)
Total Stocks Analyzed: 5912
Qualified Stocks (positive momentum, price >= $1): 2036
================================================================================

Rank  Symbol    Exchange  Momentum    Price       Avg Volume     
--------------------------------------------------------------------------------
1     EXEEW     NASDAQ_Yahoo1020200.01%  $   102.03          1,197
2     PTLE      NASDAQ_Yahoo   8215.79%  $     9.48      1,133,536
3     FGL       NASDAQ_Yahoo   5330.46%  $     8.20      1,462,106
4     ATPC      NASDAQ_Yahoo   2431.65%  $     2.00      3,266,484
5     INTS      NASDAQ_Yahoo   2038.89%  $     7.70      1,322,633
6     INTJ      NASDAQ_Yahoo   1961.76%  $     7.01        104,986
7     BYAH      NASDAQ_Yahoo   1950.63%  $     1.62     30,397,413
8     CRTD      NASDAQ_Yahoo   1570.93%  $     9.14          1,399
9     ADVB      NASDAQ_Yahoo   1557.04%  $     4.59        393,874
10    VCIG      NASDAQ_Yahoo   1531.70%  $     7.00      2,076,714
11    IXHL      NASDAQ_Yahoo   1309.25%  $     3.96      6,561,012
12    XRPT      NASDAQ_Yahoo   1282.40%  $    49.49      7,895,110
13    DSY       NASDAQ_Yahoo   1268.08%  $     3.49        131,924
14    SOLT      NASDAQ_Yahoo   1242.82%  $    53.31     22,217,709
15    GMGI      NASDAQ_Yahoo   1114.99%  $     8.59        183,742
16    LFWD      NASDAQ_Yahoo   1013.04%  $     6.40        205,665
17    HCTI      NASDAQ_Yahoo   1007.88%  $     2.67      2,680,336
18    NDLS      NASDAQ_Yahoo    920.00%  $     6.63        200,768
19    EEIQ      NASDAQ_Yahoo    913.22%  $     2.30        170,186
20    CRE       NASDAQ_Yahoo    875.00%  $     2.73         77,937
