================================================================================
TOP 20 MOMENTUM STOCKS - Generated: 2026-08-28 19:36:32
Analysis Period: 20-day momentum (percentage change)
Total Stocks Analyzed: 5942
Qualified Stocks (positive momentum, price >= $1): 2591
================================================================================

Rank  Symbol    Exchange  Momentum    Price       Avg Volume     
--------------------------------------------------------------------------------
1     ALCE      NASDAQ_Yahoo 142757.15%  $   150.00          3,361
2     WETO      NASDAQ_Yahoo  18966.67%  $     5.72     71,583,896
3     LBGJ      NASDAQ_Yahoo  16288.89%  $     2.95     47,866,132
4     JUNS      NASDAQ_Yahoo   4165.31%  $     4.18      5,039,087
5     LIMN      NASDAQ_Yahoo   4047.06%  $     4.23     28,553,107
6     SXTC      NASDAQ_Yahoo   4009.59%  $     3.00     68,469,335
7     IMCC      NASDAQ_Yahoo   2839.66%  $     3.41      3,031,387
8     CXAI      NASDAQ_Yahoo   2788.00%  $     3.61      3,395,419
9     LEXX      NASDAQ_Yahoo   2513.64%  $    10.35        116,904
10    TNON      NASDAQ_Yahoo   2451.02%  $     5.00      4,002,973
11    BYND      NASDAQ_Yahoo   2392.81%  $    13.86     11,169,544
12    CURX      NASDAQ_Yahoo   2287.43%  $     4.56        191,198
13    HAO       NASDAQ_Yahoo   1946.67%  $     3.07      3,220,619
14    KWM       NASDAQ_Yahoo   1753.33%  $     1.39     12,131,728
15    ELPW      NASDAQ_Yahoo   1702.03%  $     3.55     26,502,893
16    SMTK      NASDAQ_Yahoo   1538.10%  $     3.44      4,678,850
17    ONFO      NASDAQ_Yahoo   1507.14%  $     1.35     44,616,871
18    CISS      NASDAQ_Yahoo   1230.88%  $     1.81     43,376,355
19    REAX      NASDAQ_Yahoo   1185.98%  $    21.09      5,928,415
20    NXTT      NASDAQ_Yahoo   1068.93%  $     6.02      8,981,096
