================================================================================
TOP 50 STOCKS - Generated: 2026-03-27 22:24:08
Analysis Period: 2023-06-01 to 2026-03-26
Total Stocks Analyzed: 129
================================================================================

Rank  Symbol    Signal           Score    Confidence   IC10d  Hist   Prior  BScore       Price   Predicted    Return
--------------------------------------------------------------------------------------------------------------------
1     IMO       NEUTRAL            0.8   LOW (19%)   1.000   119    0.16     5.0      130.76      109.51   -16.25%
2     ATEK      NEUTRAL            6.7   LOW (36%)   0.116    39    0.05     3.3        9.02        9.61    +6.51%
3     EQX       SELL              -8.9   LOW (24%)   1.000   115    0.16     3.2       12.58       10.22   -18.75%
4     BHM       BUY                6.0   LOW (24%)   1.000    49    0.07     3.0       11.80       12.79    +8.36%
5     UMAC      NEUTRAL            0.9   LOW (19%)   1.000    70    0.10     3.0       11.78       11.15    -5.36%
6     CNDA      BUY                8.8   LOW (27%)   0.104    20    0.03     2.5       11.42       11.28    -1.22%
7     NG        SELL              -8.8   LOW (24%)   1.000    93    0.13     2.4        8.19        6.50   -20.60%
8     SCCB      BUY                8.7   LOW (23%)   0.118    18    0.02     2.1       24.98       25.23    +1.02%
9     LEGT      NEUTRAL            0.8   LOW (24%)   1.000    47    0.06     2.1       10.98       10.71    -2.47%
10    BMNR      SELL             -10.3   LOW (29%)   1.000   100    0.14     2.0       18.39       21.88   +19.00%
11    BATL      SELL             -10.0   LOW (24%)   1.000    88    0.12     2.0        6.27        4.49   -28.32%
12    ACU       SELL              -8.9   LOW (24%)   1.000    82    0.11     1.9       43.86       41.29    -5.85%
13    CET       SELL              -8.9   LOW (24%)   1.000    81    0.11     1.8       48.67       41.82   -14.07%
14    STRW      NEUTRAL            0.9   LOW (19%)   1.000    39    0.05     1.7       11.91       11.26    -5.49%
15    ACCS      NEUTRAL            0.5   LOW (29%)   1.000    39    0.05     1.7        8.59        8.86    +3.19%
16    CKX       NEUTRAL            1.6   LOW (29%)   1.000    31    0.04     1.6       10.90       11.26    +3.28%
17    OPHC      NEUTRAL            0.7   LOW (24%)   1.000    25    0.03     1.2        5.23        5.02    -3.94%
18    NAS       NEUTRAL           -1.0   LOW (29%)   1.000    31    0.04     1.1      340.00      347.01    +2.06%
19    PTN       NEUTRAL            0.7   LOW (24%)   1.000    22    0.03     1.0       19.99       16.83   -15.82%
20    INFU      NEUTRAL            0.5   LOW (24%)   1.000    22    0.03     1.0        9.54        9.75    +2.24%
21    ELA       NEUTRAL            0.8   LOW (19%)   1.000    20    0.03     0.9       16.96       12.89   -24.03%
22    NML       SELL             -10.0   LOW (24%)   1.000    62    0.08     0.9       10.58        9.61    -9.15%
23    GRAF      NEUTRAL           -4.6   LOW (29%)   1.000    41    0.06     0.8       10.71       10.36    -3.29%
24    CEV       SELL              -9.1   LOW (29%)   1.000    62    0.08     0.7        9.86        9.44    -4.25%
25    IE        SELL              -8.9   LOW (24%)   1.000    54    0.07     0.7       10.87       10.05    -7.53%
26    NGD       STRONG_SELL      -21.0   LOW (33%)   1.000   136    0.19     0.7        9.08        6.61   -27.17%
27    LEU       SELL             -10.1   LOW (29%)   1.000    66    0.09     0.7      182.90      148.35   -18.89%
28    GIF       NEUTRAL            1.8   LOW (24%)   1.000     8    0.01     0.6       22.19       16.35   -26.34%
29    USAS      STRONG_SELL      -21.0   LOW (33%)   1.000   133    0.18     0.6        5.50        3.66   -33.38%
30    CMT       NEUTRAL            0.8   LOW (19%)   1.000     8    0.01     0.4       21.96       20.73    -5.60%
31    ANV       NEUTRAL           -5.2   LOW (25%)   1.000    32    0.04     0.4       24.42       24.32    -0.40%
32    ARMP      SELL             -10.1   LOW (29%)   1.000    58    0.08     0.4        8.37        6.08   -27.33%
33    SCCD      NEUTRAL            0.9   LOW (19%)   1.000     5    0.01     0.3       24.44       23.26    -4.84%
34    IAF       SELL              -8.9   LOW (24%)   1.000    44    0.06     0.3       11.83       11.03    -6.75%
35    NRXS      SELL             -11.0   LOW (24%)   1.000    52    0.07     0.3        6.90        5.66   -18.00%
36    FSI       NEUTRAL            0.5   LOW (29%)   1.000     4    0.01     0.3        5.31        5.51    +3.81%
37    ELLO      SELL             -10.1   LOW (29%)   1.000    53    0.07     0.2       25.00       21.81   -12.77%
38    OBE       SELL             -11.0   LOW (24%)   1.000    48    0.07     0.1        9.24        7.88   -14.68%
39    PED       NEUTRAL           -5.6   LOW (24%)   1.000     8    0.01    -0.6       17.32       11.59   -33.11%
40    GRF       SELL              -8.8   LOW (24%)   1.000    31    0.04    -0.2       10.00        9.16    -8.37%
41    TMP       SELL              -8.9   LOW (24%)   1.000    29    0.04    -0.3       76.46       64.29   -15.91%
42    SCCE      SELL              -9.9   LOW (24%)   1.000    14    0.02    -1.1       23.67       21.47    -9.29%
43    SIF       SELL              -9.9   LOW (24%)   1.000    31    0.04    -0.4       13.04        9.64   -26.11%
44    VKI       SELL             -10.1   LOW (24%)   1.000     2    0.00    -1.6        8.35        8.04    -3.74%
45    PRK       SELL             -10.1   LOW (24%)   1.000    18    0.02    -0.9      158.83      154.35    -2.82%
46    PTHS      SELL             -10.1   LOW (24%)   1.000    23    0.03    -0.7       22.49       22.03    -2.06%
47    ECF       SELL              -9.0   LOW (29%)   1.000     9    0.01    -1.4       10.82        9.33   -13.78%
48    ERC       SELL              -9.0   LOW (29%)   1.000    26    0.04    -0.7        8.79        8.26    -6.08%
49    CTGO      SELL              -9.2   LOW (29%)   1.000    16    0.02    -1.2       17.11       17.10    -0.03%
50    INTT      SELL             -11.0   LOW (24%)   1.000    33    0.05    -0.5       14.03       11.43   -18.51%

====================================================================================================================
Summary: 0 STRONG_BUY, 3 BUY, 19 NEUTRAL, 54 SELL, 53 STRONG_SELL | Avg IC: 0.965 (129 IC-enabled)
Bayesian Ranking: Enabled (alpha=730 historical runs analyzed)
====================================================================================================================
