================================================================================
TOP 50 STOCKS - ML + FUNDAMENTAL RANKING
Database: AMEX_Yahoo
Date: 2026-08-18
Ranking Method: Baseline (Rule-Based)
Fallback Reason: ML diverging from baseline (corr=0.00, min=0.5)
Scoring: Technical Only (Fundamental scoring disabled)
Fundamental Filter: DISABLED
================================================================================

Rank  Symbol    Score   Baseline  IC_10d  Pattern     
--------------------------------------------------------------------------------
1      MSTP        80.00   100.00     0.2924   POS         
2      STRW        80.00   100.00     1.0000   POS         
3      DIT         80.00   100.00     1.0000   nan         
4      RIFR        80.00   100.00     0.1365   POS         
5      AULTPD      80.00   100.00     1.0000   nan         
6      IOR         78.98    98.30     0.3788   nan         
7      NAS         78.89    98.16     1.0000   nan         
8      GENC        78.47    97.45     1.0000   POS         
9      LGCY        78.38    97.30     1.0000   nan         
10     AAp         78.26    97.09     1.0000   nan         
11     SACHPA      78.06    96.76     1.0000   nan         
12     COHN        77.99    96.65     1.0000   nan         
13     UEC         77.91    96.51     1.0000   nan         
14     SCCB        77.69    96.15     0.3304   nan         
15     PLMr        77.64    96.07     1.0000   nan         
16     BCV         77.53    95.88     1.0000   nan         
17     ERH         77.49    95.82     1.0000   nan         
18     ATEK        77.40    95.67     0.1906   nan         
19     SPY         77.37    95.62     0.0916   POS         
20     UUUU        77.33    95.55     1.0000   nan         
21     TMP         77.27    95.44     1.0000   nan         
22     FAX         77.23    95.39     1.0000   nan         
23     RLGT        77.18    95.30     1.0000   nan         
24     SCCF        77.14    95.23     1.0000   nan         
25     CMCL        77.02    95.03     1.0000   nan         
26     GLV         76.98    94.97     1.0000   nan         
27     SCCC        76.92    94.86     0.2194   nan         
28     CNDA        76.91    94.85     0.1988   nan         
29     INTT        76.82    94.70     1.0000   nan         
30     BKTI        76.77    94.62     1.0000   nan         
31     MXC         76.68    94.46     1.0000   nan         
32     EVI         76.67    94.44     1.0000   nan         
33     PTHS        76.60    94.33     1.0000   nan         
34     BHM         76.53    94.22     1.0000   nan         
35     MHH         76.48    94.13     1.0000   nan         
36     SCCE        76.46    94.11     1.0000   nan         
37     SLSR        76.38    93.97     1.0000   nan         
38     COE         76.38    93.97     1.0000   POS         
39     CKX         76.37    93.95     1.0000   nan         
40     GRAF        76.35    93.91     1.0000   nan         
41     AEF         76.34    93.90     1.0000   nan         
42     ELLO        76.32    93.87     1.0000   nan         
43     VFL         76.28    93.80     1.0000   nan         
44     DMYY        76.25    93.76     1.0000   nan         
45     OPHC        76.24    93.74     1.0000   nan         
46     CET         76.17    93.61     1.0000   nan         
47     INFU        76.17    93.61     1.0000   nan         
48     UMAC        76.14    93.57     1.0000   nan         
49     GTE         76.11    93.51     1.0000   nan         
50     ELMD        76.03    93.38     1.0000   nan         

================================================================================
