================================================================================
TOP 50 STOCKS - ML + FUNDAMENTAL RANKING
Database: NASDAQ_Yahoo
Date: 2026-04-17
Ranking Method: Baseline (Rule-Based)
Fallback Reason: Training error: Input y contains NaN.
Scoring: Technical Only (Fundamental scoring disabled)
Fundamental Filter: DISABLED
================================================================================

Rank  Symbol    Score   Baseline  IC_10d  Pattern     
--------------------------------------------------------------------------------
1      AACB          nan      nan     0.0000   nan         
2      AACBR         nan      nan     0.0000   nan         
3      AACBU         nan      nan     0.0000   nan         
4      AACG          nan      nan     0.0000   nan         
5      AACI          nan      nan     0.0000   nan         
6      AACIU         nan      nan     0.0000   nan         
7      AACIW         nan      nan     0.0000   nan         
8      AADR          nan      nan     0.0000   nan         
9      AAGR          nan      nan     0.0000   nan         
10     AAGRW         nan      nan     0.0000   nan         
11     AAL           nan      nan     0.0000   nan         
12     AALG          nan      nan     0.0000   nan         
13     AAME          nan      nan     0.0000   nan         
14     AAOI          nan      nan     0.0000   nan         
15     AAON          nan      nan     0.0000   nan         
16     AAPB          nan      nan     0.0000   nan         
17     AAPD          nan      nan     0.0000   nan         
18     AAPG          nan      nan     0.0000   nan         
19     AAPL          nan      nan     0.0000   nan         
20     AAPU          nan      nan     0.0000   nan         
21     AARD          nan      nan     0.0000   nan         
22     AATC          nan      nan     0.0000   nan         
23     AAUS          nan      nan     0.0000   nan         
24     AAVM          nan      nan     0.0000   nan         
25     AAXJ          nan      nan     0.0000   nan         
26     ABAT          nan      nan     0.0000   nan         
27     ABCB          nan      nan     0.0000   nan         
28     ABCL          nan      nan     0.0000   nan         
29     ABCS          nan      nan     0.0000   nan         
30     ABEO          nan      nan     0.0000   nan         
31     ABI           nan      nan     0.0000   nan         
32     ABIG          nan      nan     0.0000   nan         
33     ABL           nan      nan     0.0000   nan         
34     ABLLL         nan      nan     0.0000   nan         
35     ABLLW         nan      nan     0.0000   nan         
36     ABLV          nan      nan     0.0000   nan         
37     ABLVW         nan      nan     0.0000   nan         
38     ABNB          nan      nan     0.0000   nan         
39     ABOS          nan      nan     0.0000   nan         
40     ABP           nan      nan     0.0000   nan         
41     ABPWW         nan      nan     0.0000   nan         
42     ABSI          nan      nan     0.0000   nan         
43     ABTC          nan      nan     0.0000   nan         
44     ABTS          nan      nan     0.0000   nan         
45     ABUS          nan      nan     0.0000   nan         
46     ABVC          nan      nan     0.0000   nan         
47     ABVE          nan      nan     0.0000   nan         
48     ABVEW         nan      nan     0.0000   nan         
49     ABVX          nan      nan     0.0000   nan         
50     ACAD          nan      nan     0.0000   nan         

================================================================================
