================================================================================
TOP 50 STOCKS - ML + FUNDAMENTAL RANKING
Database: NASDAQ_Yahoo
Date: 2026-08-19
Ranking Method: Baseline (Rule-Based)
Fallback Reason: ML diverging from baseline (corr=0.00, min=0.5)
Scoring: Technical Only (Fundamental scoring disabled)
Fundamental Filter: DISABLED
================================================================================

Rank  Symbol    Score   Baseline  IC_10d  Pattern     
--------------------------------------------------------------------------------
1      AACB        80.00   100.00     0.2661   POS         
2      INACU       80.00   100.00     0.2846   POS         
3      INBKZ       80.00   100.00     0.1629   POS         
4      INBX        80.00   100.00     0.0728   POS         
5      INDH        80.00   100.00     0.1064   POS         
6      INDY        80.00   100.00     0.0921   POS         
7      INKT        80.00   100.00     0.1339   POS         
8      INMD        80.00   100.00     0.1296   POS         
9      INOD        80.00   100.00     0.1422   POS         
10     INOV        80.00   100.00     0.2454   POS         
11     INRO        80.00   100.00     0.1150   POS         
12     INTR        80.00   100.00     0.0785   POS         
13     INTW        80.00   100.00     0.1519   POS         
14     INVA        80.00   100.00     0.1014   POS         
15     IOSP        80.00   100.00     0.1052   POS         
16     IPAR        80.00   100.00     0.1398   POS         
17     IPWR        80.00   100.00     0.1653   POS         
18     INBK        80.00   100.00     0.0862   POS         
19     INAC        80.00   100.00     0.3905   POS         
20     KJD         80.00   100.00     0.1234   POS         
21     IMVT        80.00   100.00     0.1565   POS         
22     ICUI        80.00   100.00     0.1271   POS         
23     IDYA        80.00   100.00     0.0957   POS         
24     IGAC        80.00   100.00     0.2735   POS         
25     IGF         80.00   100.00     0.0944   POS         
26     IGIB        80.00   100.00     0.0668   POS         
27     IGOV        80.00   100.00     0.0734   POS         
28     IIIV        80.00   100.00     0.1540   POS         
29     ILIT        80.00   100.00     0.1256   POS         
30     ILMN        80.00   100.00     0.1772   POS         
31     ILPT        80.00   100.00     0.1694   POS         
32     IMA         80.00   100.00     0.1848   POS         
33     IMAQ        80.00   100.00     0.2809   POS         
34     IMMR        80.00   100.00     0.1516   POS         
35     IMPP        80.00   100.00     0.0830   POS         
36     IMPPP       80.00   100.00     0.1056   POS         
37     IRON        80.00   100.00     0.1058   POS         
38     IRTC        80.00   100.00     0.0537   POS         
39     ISBA        80.00   100.00     0.1920   POS         
40     ITIC        80.00   100.00     0.1119   POS         
41     KAT         80.00   100.00     0.1315   POS         
42     KBWD        80.00   100.00     0.0978   POS         
43     KBWP        80.00   100.00     0.2329   POS         
44     KBWR        80.00   100.00     1.0000   nan         
45     KBWY        80.00   100.00     0.0738   POS         
46     KCHV        80.00   100.00     0.3185   POS         
47     KCLI        80.00   100.00     0.1103   POS         
48     KDP         80.00   100.00     0.1553   POS         
49     KEAT        80.00   100.00     0.0711   POS         
50     KEQU        80.00   100.00     0.0994   POS         

================================================================================
