================================================================================
TOP 50 STOCKS - ML + FUNDAMENTAL RANKING
Database: NASDAQ_Yahoo
Date: 2026-08-24
Ranking Method: Baseline (Rule-Based)
Fallback Reason: ML diverging from baseline (corr=-0.00, min=0.5)
Scoring: Technical Only (Fundamental scoring disabled)
Fundamental Filter: DISABLED
================================================================================

Rank  Symbol    Score   Baseline  IC_10d  Pattern     
--------------------------------------------------------------------------------
1      AACB        80.00   100.00     0.2664   POS         
2      INMD        80.00   100.00     0.1297   POS         
3      INBX        80.00   100.00     0.0741   POS         
4      INCR        80.00   100.00     0.0460   CupHandle   
5      INDB        80.00   100.00     0.0641   POS         
6      INDH        80.00   100.00     0.1084   POS         
7      INDV        80.00   100.00     0.1100   POS         
8      INDY        80.00   100.00     0.0942   POS         
9      INKT        80.00   100.00     0.1337   POS         
10     INRO        80.00   100.00     0.1165   POS         
11     INBK        80.00   100.00     0.0852   POS         
12     INSE        80.00   100.00     0.1312   POS         
13     INTG        80.00   100.00     0.0811   POS         
14     INTR        80.00   100.00     0.0792   POS         
15     INTW        80.00   100.00     0.1416   POS         
16     INVA        80.00   100.00     0.1012   POS         
17     IONS        80.00   100.00     0.0830   POS         
18     IONX        80.00   100.00     0.1397   POS         
19     INBKZ       80.00   100.00     0.1633   POS         
20     INACU       80.00   100.00     0.2845   POS         
21     IPAR        80.00   100.00     0.1427   POS         
22     ILPT        80.00   100.00     0.1708   POS         
23     IGF         80.00   100.00     0.0916   POS         
24     IGOV        80.00   100.00     0.0740   POS         
25     IIIN        80.00   100.00     0.2041   POS         
26     IIIV        80.00   100.00     0.1597   POS         
27     IJT         80.00   100.00     0.1217   POS         
28     ILIT        80.00   100.00     0.1254   POS         
29     ILMN        80.00   100.00     0.1766   POS         
30     IMA         80.00   100.00     0.1847   POS         
31     INAC        80.00   100.00     0.4026   POS         
32     IMAQ        80.00   100.00     0.2803   POS         
33     IMKTA       80.00   100.00     0.1227   POS         
34     IMOM        80.00   100.00     0.1156   POS         
35     IMPP        80.00   100.00     0.0808   POS         
36     IMPPP       80.00   100.00     0.1047   POS         
37     IMSR        80.00   100.00     0.1798   POS         
38     IMVT        80.00   100.00     0.1582   POS         
39     IOSP        80.00   100.00     0.1035   POS         
40     IPKW        80.00   100.00     0.1745   POS         
41     KEAT        80.00   100.00     0.0884   POS         
42     JYNT        80.00   100.00     0.1136   POS         
43     JHAI        80.00   100.00     0.1331   POS         
44     JKHY        80.00   100.00     0.0601   POS         
45     JMID        80.00   100.00     0.0893   POS         
46     JOUT        80.00   100.00     0.1022   POS         
47     JPEF        80.00   100.00     0.1116   POS         
48     JPY         80.00   100.00     0.2509   POS         
49     JSMD        80.00   100.00     0.1011   POS         
50     KARO        80.00   100.00     0.1542   POS         

================================================================================
