================================================================================
TOP 50 STOCKS - ML + FUNDAMENTAL RANKING
Database: NASDAQ_Yahoo
Date: 2026-09-14
Ranking Method: Baseline (Rule-Based)
Fallback Reason: model_stale
Scoring: Technical Only (Fundamental scoring disabled)
Fundamental Filter: DISABLED
================================================================================

Rank  Symbol    Score   Baseline  IC_10d  Pattern     
--------------------------------------------------------------------------------
1      NEWTG       80.00   100.00     0.3344   POS         
2      DVLU        80.00   100.00     0.0716   POS         
3      PQOC        80.00   100.00     0.1228   POS         
4      TLNCU       80.00   100.00     0.2894   POS         
5      TMB         80.00   100.00     0.2424   POS         
6      PQJA        80.00   100.00     0.1061   POS         
7      PQAP        80.00   100.00     0.0999   POS         
8      MBNKO       80.00   100.00     0.4025   POS         
9      FFBW        80.00   100.00     0.1445   POS         
10     PPYA        80.00   100.00     0.5364   POS         
11     CGABL       80.00   100.00     0.1232   POS         
12     TPLS        80.00   100.00     0.2458   POS         
13     ASPCU       80.00   100.00     0.1583   POS         
14     POWWP       80.00   100.00     0.2109   POS         
15     DVOL        80.00   100.00     0.1144   POS         
16     TRINI       80.00   100.00     0.1324   POS         
17     MMTXU       80.00   100.00     0.3228   POS         
18     ASCI        80.00   100.00     0.2659   POS         
19     TRINZ       80.00   100.00     0.2179   POS         
20     FGSI        80.00   100.00     0.3040   POS         
21     DVAL        80.00   100.00     0.1168   POS         
22     FIGXU       80.00   100.00     0.4667   POS         
23     MBWM        80.00   100.00     0.1767   POS         
24     CHAR        80.00   100.00     0.2793   POS         
25     MCDS        80.00   100.00     0.0984   POS         
26     FITBI       80.00   100.00     0.1788   nan         
27     PLMKU       80.00   100.00     0.2634   POS         
28     PLBC        80.00   100.00     0.1596   POS         
29     IBGB        80.00   100.00     0.3068   POS         
30     CHPG        80.00   100.00     0.3346   POS         
31     ATHA        80.00   100.00     0.0945   nan         
32     MBINL       80.00   100.00     0.1091   POS         
33     THMZ        80.00   100.00     0.1227   POS         
34     ATLCL       80.00   100.00     0.2839   POS         
35     DYORU       80.00   100.00     0.2301   POS         
36     FCAL        80.00   100.00     0.1010   POS         
37     CCNEP       80.00   100.00     0.2293   POS         
38     FCEF        80.00   100.00     1.0000   POS         
39     PUCK        80.00   100.00     0.1742   POS         
40     TAXE        80.00   100.00     0.1075   POS         
41     TAXS        80.00   100.00     0.0924   POS         
42     TAXT        80.00   100.00     0.1457   POS         
43     DYNB        80.00   100.00     0.2250   POS         
44     MACIU       80.00   100.00     0.2837   POS         
45     TCBIO       80.00   100.00     0.0926   POS         
46     MAGH        80.00   100.00     0.3168   nan         
47     INBKZ       80.00   100.00     0.1621   POS         
48     PSTR        80.00   100.00     0.1938   POS         
49     MAQCU       80.00   100.00     0.2894   POS         
50     DWUS        80.00   100.00     0.1288   POS         

================================================================================
