================================================================================
TOP 50 STOCKS - ML + FUNDAMENTAL RANKING
Database: NYSE_Yahoo
Date: 2026-08-17
Ranking Method: Baseline (Rule-Based)
Fallback Reason: ML diverging from baseline (corr=0.00, min=0.5)
Scoring: Technical Only (Fundamental scoring disabled)
Fundamental Filter: DISABLED
================================================================================

Rank  Symbol    Score   Baseline  IC_10d  Pattern     
--------------------------------------------------------------------------------
1      KEYS        80.00   100.00     0.1525   POS         
2      JENA        80.00   100.00     0.2331   POS         
3      KTH         80.00   100.00     0.3195   POS         
4      KTB         80.00   100.00     0.1139   POS         
5      KSS         80.00   100.00     1.0000   POS         
6      KRP         80.00   100.00     0.1960   POS         
7      KOF         80.00   100.00     0.0837   POS         
8      KODK        80.00   100.00     0.1145   POS         
9      KNX         80.00   100.00     1.0000   POS         
10     KNTK        80.00   100.00     0.1125   POS         
11     KNF         80.00   100.00     0.1316   POS         
12     KMI         80.00   100.00     0.1196   POS         
13     AA          80.00   100.00     1.0000   POS         
14     KEY         80.00   100.00     0.1174   POS         
15     KB          80.00   100.00     0.1818   POS         
16     KAI         80.00   100.00     0.1176   POS         
17     JXN         80.00   100.00     0.1130   POS         
18     JPC         80.00   100.00     0.1498   POS         
19     JOF         80.00   100.00     0.1310   POS         
20     JLL         80.00   100.00     0.0670   POS         
21     JKS         80.00   100.00     0.1958   POS         
22     KWR         80.00   100.00     0.0870   POS         
23     KYN         80.00   100.00     0.1799   POS         
24     L           80.00   100.00     0.4326   POS         
25     LOAR        80.00   100.00     0.1340   POS         
26     LUMN        80.00   100.00     0.2308   POS         
27     LTM         80.00   100.00     0.0984   POS         
28     LTC         80.00   100.00     0.2361   POS         
29     LRN         80.00   100.00     0.1330   POS         
30     LPX         80.00   100.00     0.0984   POS         
31     LPG         80.00   100.00     0.0775   POS         
32     LOW         80.00   100.00     1.0000   POS         
33     LOB         80.00   100.00     0.0853   POS         
34     LLY         80.00   100.00     1.0000   POS         
35     LB          80.00   100.00     0.1945   POS         
36     LION        80.00   100.00     0.1379   nan         
37     LIN         80.00   100.00     0.1303   POS         
38     LII         80.00   100.00     0.1506   POS         
39     LGI         80.00   100.00     0.1217   POS         
40     LEVI        80.00   100.00     0.1477   POS         
41     LEG         80.00   100.00     0.1007   POS         
42     LEA         80.00   100.00     0.1705   POS         
43     LBRT        80.00   100.00     0.2104   POS         
44     JFR         80.00   100.00     0.1033   POS         
45     JEF         80.00   100.00     0.0872   POS         
46     LXFR        80.00   100.00     0.1186   POS         
47     JCI         80.00   100.00     0.1038   POS         
48     IDA         80.00   100.00     0.1283   POS         
49     ICL         80.00   100.00     0.1387   POS         
50     IBN         80.00   100.00     0.2070   POS         

================================================================================
