================================================================================
TOP 50 STOCKS - ML + FUNDAMENTAL RANKING
Database: NYSE_Yahoo
Date: 2026-08-20
Ranking Method: Baseline (Rule-Based)
Fallback Reason: ML diverging from baseline (corr=-0.00, min=0.5)
Scoring: Technical Only (Fundamental scoring disabled)
Fundamental Filter: DISABLED
================================================================================

Rank  Symbol    Score   Baseline  IC_10d  Pattern     
--------------------------------------------------------------------------------
1      ZYME        80.00   100.00     0.1536   POS         
2      PCF         80.00   100.00     0.1232   POS         
3      PCGpX       80.00   100.00     0.1159   POS         
4      PCI         80.00   100.00     0.1132   POS         
5      ENOV        80.00   100.00     0.1121   POS         
6      ENJ         80.00   100.00     0.1010   POS         
7      PCN         80.00   100.00     0.1303   POS         
8      PCOR        80.00   100.00     0.0892   POS         
9      ENB         80.00   100.00     0.1258   POS         
10     EMR         80.00   100.00     1.0000   POS         
11     EMP         80.00   100.00     0.1154   POS         
12     PCQ         80.00   100.00     0.1204   POS         
13     PD          80.00   100.00     0.1730   POS         
14     EMO         80.00   100.00     0.1934   POS         
15     PDM         80.00   100.00     0.1210   POS         
16     EMF         80.00   100.00     0.1005   POS         
17     PDPA        80.00   100.00     0.2639   POS         
18     EOG         80.00   100.00     0.1621   POS         
19     PBR         80.00   100.00     0.1615   POS         
20     EMA         80.00   100.00     0.1662   POS         
21     PBI         80.00   100.00     0.1926   POS         
22     ET          80.00   100.00     0.1419   POS         
23     PAM         80.00   100.00     0.1144   POS         
24     ESS         80.00   100.00     0.1362   POS         
25     PAXS        80.00   100.00     0.1470   POS         
26     PAY         80.00   100.00     0.1285   POS         
27     PB          80.00   100.00     0.1027   POS         
28     ES          80.00   100.00     0.1031   POS         
29     EQT         80.00   100.00     0.1454   POS         
30     PBA         80.00   100.00     0.1576   POS         
31     EQR         80.00   100.00     0.1381   POS         
32     EQNR        80.00   100.00     0.0867   POS         
33     EPRT        80.00   100.00     0.2172   POS         
34     EPR         80.00   100.00     0.0920   POS         
35     EPD         80.00   100.00     0.1394   POS         
36     EPAC        80.00   100.00     0.1668   POS         
37     PDS         80.00   100.00     0.1616   POS         
38     ELV         80.00   100.00     0.1081   POS         
39     ECCU        80.00   100.00     0.2131   POS         
40     PFS         80.00   100.00     0.1008   POS         
41     EFXT        80.00   100.00     0.1581   POS         
42     PFSI        80.00   100.00     0.1259   POS         
43     EFC         80.00   100.00     0.1615   POS         
44     EEA         80.00   100.00     0.1244   POS         
45     EE          80.00   100.00     0.0682   POS         
46     EDU         80.00   100.00     0.1158   POS         
47     EDN         80.00   100.00     0.0989   POS         
48     EDF         80.00   100.00     0.1522   POS         
49     EDD         80.00   100.00     0.1472   POS         
50     ED          80.00   100.00     0.1075   POS         

================================================================================
