================================================================================
TOP 50 STOCKS - ML + FUNDAMENTAL RANKING
Database: NYSE_Yahoo
Date: 2026-08-26
Ranking Method: Baseline (Rule-Based)
Fallback Reason: model_stale
Scoring: Technical Only (Fundamental scoring disabled)
Fundamental Filter: DISABLED
================================================================================

Rank  Symbol    Score   Baseline  IC_10d  Pattern     
--------------------------------------------------------------------------------
1      KEYS        80.00   100.00     0.1682   POS         
2      LION        80.00   100.00     0.1320   POS         
3      LXFR        80.00   100.00     0.1184   POS         
4      LUXE        80.00   100.00     0.1377   POS         
5      LUMN        80.00   100.00     0.2312   POS         
6      LTC         80.00   100.00     0.2435   POS         
7      LRN         80.00   100.00     0.1351   POS         
8      LPX         80.00   100.00     0.0992   POS         
9      LOMA        80.00   100.00     0.0853   POS         
10     LOAR        80.00   100.00     0.1340   POS         
11     LNC         80.00   100.00     0.1319   POS         
12     LMT         80.00   100.00     0.1286   POS         
13     LIN         80.00   100.00     0.1346   POS         
14     KTH         80.00   100.00     0.3203   POS         
15     LII         80.00   100.00     0.1256   POS         
16     LHX         80.00   100.00     0.0739   POS         
17     LEVI        80.00   100.00     0.1388   POS         
18     LEA         80.00   100.00     0.1727   POS         
19     LDP         80.00   100.00     1.0000   nan         
20     LBRT        80.00   100.00     0.2192   POS         
21     LB          80.00   100.00     0.1967   POS         
22     KYN         80.00   100.00     0.1826   POS         
23     KWR         80.00   100.00     0.0798   POS         
24     KVYO        80.00   100.00     1.0000   POS         
25     LYG         80.00   100.00     0.1251   POS         
26     LYV         80.00   100.00     0.0924   POS         
27     LZB         80.00   100.00     0.1431   POS         
28     MA          80.00   100.00     0.0833   POS         
29     MFSG        80.00   100.00     0.0687   POS         
30     MFSB        80.00   100.00     1.0000   POS         
31     MFAO        80.00   100.00     0.3234   POS         
32     MFAN        80.00   100.00     0.3491   POS         
33     MFA         80.00   100.00     0.1113   POS         
34     MEI         80.00   100.00     0.0660   POS         
35     MED         80.00   100.00     0.0888   POS         
36     MEC         80.00   100.00     0.1039   POS         
37     MDU         80.00   100.00     0.0661   POS         
38     MDT         80.00   100.00     0.0991   POS         
39     MDST        80.00   100.00     0.3064   POS         
40     MCO         80.00   100.00     0.1730   POS         
41     MCK         80.00   100.00     0.0865   POS         
42     MCI         80.00   100.00     0.1877   POS         
43     MBI         80.00   100.00     0.1339   POS         
44     MATX        80.00   100.00     0.0896   POS         
45     MARw        80.00   100.00     0.2242   POS         
46     MARW        80.00   100.00     0.2242   POS         
47     MANU        80.00   100.00     0.1136   POS         
48     MAGN        80.00   100.00     0.1794   POS         
49     MAC         80.00   100.00     1.0000   POS         
50     KTN         80.00   100.00     0.2774   POS         

================================================================================
